target_date,knmi_filename,interval_end_utc,created_at_utc,last_modified_at_utc,created_delay_sec,last_modified_delay_sec,revision_lag_after_created_sec
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220510.nc,2026-07-22T05:10:00+00:00,2026-07-22T05:13:40+00:00,2026-07-22T05:23:38+00:00,220.0,818.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220520.nc,2026-07-22T05:20:00+00:00,2026-07-22T05:23:40+00:00,2026-07-22T05:33:38+00:00,220.0,818.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220530.nc,2026-07-22T05:30:00+00:00,2026-07-22T05:33:40+00:00,2026-07-22T05:43:38+00:00,220.0,818.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220540.nc,2026-07-22T05:40:00+00:00,2026-07-22T05:43:40+00:00,2026-07-22T05:53:38+00:00,220.0,818.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220550.nc,2026-07-22T05:50:00+00:00,2026-07-22T05:53:40+00:00,2026-07-22T06:03:37+00:00,220.0,817.0,597.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220600.nc,2026-07-22T06:00:00+00:00,2026-07-22T06:03:40+00:00,2026-07-22T06:13:38+00:00,220.0,818.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220610.nc,2026-07-22T06:10:00+00:00,2026-07-22T06:13:40+00:00,2026-07-22T06:23:37+00:00,220.0,817.0,597.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220620.nc,2026-07-22T06:20:00+00:00,2026-07-22T06:23:39+00:00,2026-07-22T06:33:38+00:00,219.0,818.0,599.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220630.nc,2026-07-22T06:30:00+00:00,2026-07-22T06:33:39+00:00,2026-07-22T06:43:38+00:00,219.0,818.0,599.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220640.nc,2026-07-22T06:40:00+00:00,2026-07-22T06:43:40+00:00,2026-07-22T06:53:37+00:00,220.0,817.0,597.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220650.nc,2026-07-22T06:50:00+00:00,2026-07-22T06:53:39+00:00,2026-07-22T07:03:38+00:00,219.0,818.0,599.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220700.nc,2026-07-22T07:00:00+00:00,2026-07-22T07:03:40+00:00,2026-07-22T07:13:40+00:00,220.0,820.0,600.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220710.nc,2026-07-22T07:10:00+00:00,2026-07-22T07:13:42+00:00,2026-07-22T07:23:43+00:00,222.0,823.0,601.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220720.nc,2026-07-22T07:20:00+00:00,2026-07-22T07:23:46+00:00,2026-07-22T07:33:39+00:00,226.0,819.0,593.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220730.nc,2026-07-22T07:30:00+00:00,2026-07-22T07:33:41+00:00,2026-07-22T07:43:37+00:00,221.0,817.0,596.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220740.nc,2026-07-22T07:40:00+00:00,2026-07-22T07:43:39+00:00,2026-07-22T07:53:38+00:00,219.0,818.0,599.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220750.nc,2026-07-22T07:50:00+00:00,2026-07-22T07:53:44+00:00,2026-07-22T08:03:38+00:00,224.0,818.0,594.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220800.nc,2026-07-22T08:00:00+00:00,2026-07-22T08:03:40+00:00,2026-07-22T08:13:38+00:00,220.0,818.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220810.nc,2026-07-22T08:10:00+00:00,2026-07-22T08:13:41+00:00,2026-07-22T08:23:38+00:00,221.0,818.0,597.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220820.nc,2026-07-22T08:20:00+00:00,2026-07-22T08:23:40+00:00,2026-07-22T08:33:37+00:00,220.0,817.0,597.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220830.nc,2026-07-22T08:30:00+00:00,2026-07-22T08:33:39+00:00,2026-07-22T08:43:37+00:00,219.0,817.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220840.nc,2026-07-22T08:40:00+00:00,2026-07-22T08:43:39+00:00,2026-07-22T08:53:38+00:00,219.0,818.0,599.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220850.nc,2026-07-22T08:50:00+00:00,2026-07-22T08:53:41+00:00,2026-07-22T09:03:39+00:00,221.0,819.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220900.nc,2026-07-22T09:00:00+00:00,2026-07-22T09:03:41+00:00,2026-07-22T09:13:38+00:00,221.0,818.0,597.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220910.nc,2026-07-22T09:10:00+00:00,2026-07-22T09:13:40+00:00,2026-07-22T09:23:39+00:00,220.0,819.0,599.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220920.nc,2026-07-22T09:20:00+00:00,2026-07-22T09:23:41+00:00,2026-07-22T09:33:40+00:00,221.0,820.0,599.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220930.nc,2026-07-22T09:30:00+00:00,2026-07-22T09:33:41+00:00,2026-07-22T09:53:38+00:00,221.0,1418.0,1197.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220940.nc,2026-07-22T09:40:00+00:00,2026-07-22T09:43:41+00:00,2026-07-22T09:53:40+00:00,221.0,820.0,599.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607220950.nc,2026-07-22T09:50:00+00:00,2026-07-22T09:53:43+00:00,2026-07-22T10:03:40+00:00,223.0,820.0,597.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221000.nc,2026-07-22T10:00:00+00:00,2026-07-22T10:03:42+00:00,2026-07-22T10:13:40+00:00,222.0,820.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221010.nc,2026-07-22T10:10:00+00:00,2026-07-22T10:13:42+00:00,2026-07-22T10:23:39+00:00,222.0,819.0,597.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221020.nc,2026-07-22T10:20:00+00:00,2026-07-22T10:23:41+00:00,2026-07-22T10:33:39+00:00,221.0,819.0,598.0
2026-07-22,KMDS__OPER_P___10M_OBS_L2_202607221030.nc,2026-07-22T10:30:00+00:00,2026-07-22T10:33:40+00:00,2026-07-22T10:43:39+00:00,220.0,819.0,599.0
