model,rows,active_dates,actual_rate,mean_pred,auc,brier,logloss
base_current_yes_model,461,13,0.8980477223427332,0.883838863455546,0.8619590913762976,0.05976622888001783,0.21812438233870504
fade_confirmed_specialist,461,13,0.8980477223427332,0.8703000612743859,0.8162195497995682,0.07146137444243915,0.25932558325629484
