decision_hour_local,city_days,cities,p50_residual_c,p90_residual_c,p95_residual_c,residual_ge_1_0c_rate,bucket_delta_ge_1_rate
18,37550,49,0.0,0.0,0.0,0.010838881491344873,0.012090545938748335
19,37551,49,0.0,0.0,0.0,0.007483156240845783,0.008388591515538868
20,37551,49,0.0,0.0,0.0,0.005672285691459615,0.00655109051689702
21,37551,49,0.0,0.0,0.0,0.004367393677931346,0.0051396767063460365
