cost,pnl,roi,rows,target_date,wins
80.0,-51.42857142857143,-0.6428571428571429,16,2026-06-27,1
65.0,-26.832061068702295,-0.41280093951849683,13,2026-06-28,1
15.0,129.92753623188403,8.661835748792269,3,2026-06-30,1
