label,wallet,target_date_min,target_date_max,events,target_dates,buy_cost,pnl,lifetime_turnover_roi,mean_target_date_roi,median_target_date_roi,ci95_low,ci95_high,late_half_roi,latest_30_target_dates_roi,without_top_five_pnl_dates_roi,max_drawdown_by_target_date,yes_buy_cost_share,target_day_buy_cost_share,sell_event_share,median_first_buy_to_first_sell_hours,median_buy_sessions_gap_gt_5m,median_buy_span_minutes,median_unique_buy_transactions,sell_proceeds_share_ge_95c,sell_proceeds_share_ge_99c
HighTempTation,0x6011655c4afb76f36dd1b08a137a1ba73466b31e,2026-04-03,2026-07-30,1004,73,516876.985207,49945.455279999995,0.09662928841762558,0.09306649723015424,0.09146268033800911,0.08077640797985973,0.11164546336957201,0.10353645662954834,0.10110180561284175,0.0863865268787972,-1339.4339260000015,0.041037148778581146,0.9882035188990239,0.9990069513406157,0.0030555555555555557,1.0,0.0,1.0,0.9972797984667259,0.9602691375799656
badatmath,0x8fbd7cf5f806f563080864694415829f7229a959,2026-04-27,2026-07-30,3847,90,749742.519077,45561.199112999995,0.060769128005558365,0.08334507338730841,0.06350326705501602,0.014972947549998606,0.11323386357821241,0.051126210872361535,0.04077039830361234,0.024590217438705073,-18310.885392000004,0.7207737951822458,0.4385293320912761,0.2530549898167006,48.69611111111111,21.0,2453.583333333333,40.0,0.9954072471568016,0.9954072471568016
MidYes56b,0x56b381017b589fb0afb049137c8d4af2e7233fa2,2026-02-12,2026-07-30,544,122,191437.979429,13268.524105999999,0.06930977931116847,0.06141936160036164,0.05888526742841817,-0.002840122685037737,0.14303058290785464,0.06014060996473742,0.1400400402337096,0.011464519654644166,-5303.555669000001,0.8249224310431599,0.9390834698241245,0.6129032258064516,1.3658333333333332,4.0,116.39166666666667,9.0,0.8554990023053289,0.7929917663307431
jjavi,0x6ff2cb14da8be7eb57541d250a0196c5f295f140,2026-05-19,2026-07-29,418,71,141804.048032,28265.852879,0.19933036659589173,0.2564268007970269,0.12064872778840921,0.10518939620697083,0.30854217822619184,0.15455411064151697,0.16688482518930256,0.11173044804933781,-1665.758694000001,0.8449895506208007,0.550312959651533,0.5754060324825986,13.649444444444445,7.0,790.75,20.0,0.40232865157143805,0.2598605480058398
