window,cushion,mode,rows,dates,cities,wins,win_rate,avg_snapshot_ask,avg_fresh_ask,avg_lag_min,cost,pnl,roi,losing_days,le_minus_50pct_days,max_daily_loss
pre_choice_2026-05-29_2026-06-30,0.01,per_share,120,32,37,15,0.125,0.09482499999999999,0.09853333333333333,0.28277777777777774,12.3481065,2.6518935,0.21476114576757172,18,18,-0.66879
pre_choice_2026-05-29_2026-06-30,0.01,price_tier,120,32,37,15,0.125,0.09482499999999999,0.09853333333333333,0.28277777777777774,96.8016194,23.1983806,0.2396486829847394,18,18,-5.7872775
post_choice_2026-07-01_2026-07-07,0.01,per_share,8,4,7,2,0.25,0.0861875,0.093875,0.0,0.78472235,1.21527765,1.5486721513666586,2,2,-0.1625832
post_choice_2026-07-01_2026-07-07,0.01,price_tier,8,4,7,2,0.25,0.0861875,0.093875,0.0,5.7974169,6.202583100000001,1.069887366561477,2,2,-1.6258320000000002
full_2026-05-29_2026-07-07,0.01,per_share,128,36,38,17,0.1328125,0.09428515625,0.09824218750000001,0.26510416666666664,13.132828850000001,3.86717115,0.294465967246653,20,20,-0.66879
full_2026-05-29_2026-07-07,0.01,price_tier,128,36,38,17,0.1328125,0.09428515625,0.09824218750000001,0.26510416666666664,102.59903630000001,29.400963700000002,0.2865617920038884,20,20,-5.7872775
pre_choice_2026-05-29_2026-06-30,0.02,per_share,180,32,44,19,0.10555555555555556,0.09558055555555556,0.10331666666666667,0.21592592592592594,19.41765675,-0.4176567500000002,-0.02150912210352056,17,16,-1.07582495
pre_choice_2026-05-29_2026-06-30,0.02,price_tier,180,32,44,19,0.10555555555555556,0.09558055555555556,0.10331666666666667,0.21592592592592594,154.9266107,1.0733893000000025,0.006928372699500375,17,16,-9.2271847
post_choice_2026-07-01_2026-07-07,0.02,per_share,16,5,13,5,0.3125,0.1010625,0.112,1.9177083333333333,1.8701391,3.1298609,1.6735979157913976,1,1,-0.269163
post_choice_2026-07-01_2026-07-07,0.02,price_tier,16,5,13,5,0.3125,0.1010625,0.112,1.9177083333333333,15.626767,24.373233000000003,1.5597105274558714,1,1,-2.4784704
full_2026-05-29_2026-07-07,0.02,per_share,196,37,45,24,0.12244897959183673,0.0960280612244898,0.10402551020408163,0.3548469387755102,21.287795850000002,2.71220415,0.12740652762319682,18,17,-1.07582495
full_2026-05-29_2026-07-07,0.02,price_tier,196,37,45,24,0.12244897959183673,0.0960280612244898,0.10402551020408163,0.3548469387755102,170.5533777,25.446622300000005,0.14920034210498082,18,17,-9.2271847
pre_choice_2026-05-29_2026-06-30,0.03,per_share,198,32,44,22,0.1111111111111111,0.09672474747474746,0.10605555555555556,0.23905723905723902,21.92268985,0.07731014999999979,0.003526490158323331,16,14,-1.16888
pre_choice_2026-05-29_2026-06-30,0.03,price_tier,198,32,44,22,0.1111111111111111,0.09672474747474746,0.10605555555555556,0.23905723905723902,177.5847366,2.415263400000003,0.01360062495371014,15,14,-9.30568
post_choice_2026-07-01_2026-07-07,0.03,per_share,18,5,14,5,0.2777777777777778,0.09708333333333334,0.10933333333333334,1.7046296296296297,2.0541643,2.9458357,1.434079883483517,1,1,-0.3590932
post_choice_2026-07-01_2026-07-07,0.03,price_tier,18,5,14,5,0.2777777777777778,0.09708333333333334,0.10933333333333334,1.7046296296296297,17.0989686,22.9010314,1.33932238462617,1,1,-3.1979119999999996
full_2026-05-29_2026-07-07,0.03,per_share,216,37,45,27,0.125,0.09675462962962963,0.1063287037037037,0.36118827160493827,23.97685415,3.02314585,0.12608600907721665,17,15,-1.16888
full_2026-05-29_2026-07-07,0.03,price_tier,216,37,45,27,0.125,0.09675462962962963,0.1063287037037037,0.36118827160493827,194.6837052,25.316294800000005,0.13003807778361517,16,15,-9.30568
