orders,active_dates,cities,notional_usd,yes_wins,yes_win_rate,yes_roi,d1_no_win_rate,d1_no_roi,yes_minus_d1_no_roi,pnl_usd,avg_yes_ask,avg_d1_no_ask,avg_p_yes_win,avg_edge_snapshot,avg_gfs_delta,avg_ecmwf_delta,models_agree_rate,orders_per_active_day,date_min,date_max,yes_roi_ci95,yes_minus_d1_no_roi_ci95,rule,description,period,taker_cushion
23,11,12,115.0,22,0.9565217391304348,0.1466092551129759,0.9565217391304348,0.08907935267389336,0.05752990243908254,16.860064337992227,0.822913043478261,0.8617391304347828,0.9228758708843694,0.0999628274061088,0.043478260869565216,-0.17391304347826086,0.782608695652174,2.090909090909091,2026-05-20,2026-05-31,"[0.00822360565394874, 0.2671011747080466]","[0.02491958659814313, 0.09729198045002571]",v9_fixed_fade_confirmed,original fixed local h13-15 fade-confirmed v9 gate,train,0.02
31,11,14,155.0,29,0.9354838709677419,0.1618750195978798,0.9354838709677419,0.12058106247589512,0.0412939571219847,25.090628037671372,0.7935161290322581,0.8229677419354838,0.8878618117633276,0.09434568273106964,0.5161290322580645,-0.03225806451612903,0.45161290322580644,2.8181818181818183,2026-06-01,2026-06-13,"[0.026504964836366798, 0.275994987401426]","[0.013162579981727597, 0.07203124456529768]",v9_fixed_fade_confirmed,original fixed local h13-15 fade-confirmed v9 gate,holdout,0.02
54,22,17,270.0,51,0.9444444444444444,0.15537293472468003,0.9444444444444444,0.10716366756022769,0.04820926716445234,41.95069237566361,0.8060370370370371,0.8394814814814815,0.9027752073148825,0.09673817027784558,0.3148148148148148,-0.09259259259259259,0.5925925925925926,2.4545454545454546,2026-05-20,2026-06-13,"[0.060522606426448265, 0.2417519326766501]","[0.02649796333894896, 0.07216067065497411]",v9_fixed_fade_confirmed,original fixed local h13-15 fade-confirmed v9 gate,all,0.02
18,10,11,90.0,17,0.9444444444444444,0.13714057251523368,0.9444444444444444,0.07167304187554203,0.06546753063969166,12.342651526371032,0.8203888888888888,0.8638888888888889,0.9279859094164485,0.10759702052755965,0.2777777777777778,-0.2777777777777778,1.0,1.8,2026-05-20,2026-05-31,"[-0.042878200269590556, 0.2848038352587755]","[0.02666224135412522, 0.11436902419166727]",v9_fixed_fade_models_agree,v9 plus GFS/ECMWF forecast peak hours agree within 1h,train,0.02
14,9,8,70.0,13,0.9285714285714286,0.1251041701559533,0.9285714285714286,0.09155430763800688,0.033549862517946415,8.75729191091673,0.8074285714285715,0.8359285714285714,0.9001769842734137,0.09274841284484227,0.0,0.14285714285714285,1.0,1.5555555555555556,2026-06-01,2026-06-13,"[-0.04557846565825286, 0.23145573870209685]","[0.003480965234437038, 0.060154523136375114]",v9_fixed_fade_models_agree,v9 plus GFS/ECMWF forecast peak hours agree within 1h,holdout,0.02
32,19,13,160.0,30,0.9375,0.13187464648304853,0.9375,0.0803710956466204,0.05150355083642812,21.099943437287763,0.8147187499999999,0.85165625,0.9158195046663709,0.10110075466637079,0.15625,-0.09375,1.0,1.6842105263157894,2026-05-20,2026-06-13,"[0.011931319816755954, 0.2390905424506767]","[0.025048884840230677, 0.08314706846346656]",v9_fixed_fade_models_agree,v9 plus GFS/ECMWF forecast peak hours agree within 1h,all,0.02
15,9,10,75.0,15,1.0,0.12967056701377744,1.0,0.08835964069736026,0.041310926316417175,9.725292526033307,0.8671333333333334,0.9,0.9513972986493494,0.0842639653160163,1.0,0.6666666666666666,0.8666666666666667,1.6666666666666667,2026-05-20,2026-05-31,"[0.10466678106233275, 0.1447681357014348]","[0.02043225766102961, 0.056790396366717955]",v9_fixed_fade_both_peaks_passed,v9 plus both GFS and ECMWF say forecast peak hour has passed,train,0.02
14,9,9,70.0,14,1.0,0.17138914136061603,1.0,0.12362002253976893,0.04776911882084711,11.997239895243123,0.8371428571428573,0.8739285714285713,0.9342265488203341,0.09708369167747706,1.7142857142857142,1.2142857142857142,0.5,1.5555555555555556,2026-06-03,2026-06-13,"[0.14838784277409395, 0.20841877647152315]","[0.026516179903317352, 0.08733900342762466]",v9_fixed_fade_both_peaks_passed,v9 plus both GFS and ECMWF say forecast peak hour has passed,holdout,0.02
29,18,12,145.0,29,1.0,0.1498105684225961,1.0,0.10538189400059203,0.04442867442200406,21.722532421276433,0.8526551724137931,0.8874137931034481,0.943107971145687,0.09045279873189394,1.3448275862068966,0.9310344827586207,0.6896551724137931,1.6111111111111112,2026-05-20,2026-06-13,"[0.1326461690409476, 0.1670767063473996]","[0.029614850260037965, 0.06242247790022765]",v9_fixed_fade_both_peaks_passed,v9 plus both GFS and ECMWF say forecast peak hour has passed,all,0.02
13,9,9,65.0,13,1.0,0.1300578867304945,1.0,0.08908485684963238,0.04097302988086212,8.453762637482143,0.8666923076923078,0.8992307692307692,0.9529037262343908,0.08621141854208322,1.1538461538461537,0.46153846153846156,1.0,1.4444444444444444,2026-05-20,2026-05-31,"[0.10375577109496108, 0.15855371895947779]","[0.020021828378638258, 0.06282469800165554]",v9_fixed_fade_after_peak_agree,v9 plus both peaks passed and models agree within 1h,train,0.02
