city,decision_snapshot_ts_utc,expression,history_delay_min,history_point_ts_utc,history_price,status,target_date,token_id
SaoPaulo,2026-07-07T16:36:35Z,current_yes,0.5166666666666667,2026-07-07T16:37:06Z,0.93,ok,2026-07-07,60905403235543923718406726840821473030069300729504072920133513953932631010830
SaoPaulo,2026-07-07T16:36:35Z,d1_no,0.5333333333333333,2026-07-07T16:37:07Z,0.925,ok,2026-07-07,99037445228329943305231143009071104720768152157891239904120180596140218295750
Taipei,2026-07-07T05:19:06Z,current_yes,0.95,2026-07-07T05:20:03Z,0.975,ok,2026-07-07,87366164003849812399760046582193695803496964161460893340231352441110186359457
Taipei,2026-07-07T05:19:06Z,d1_no,0.9666666666666667,2026-07-07T05:20:04Z,0.97,ok,2026-07-07,54309441978702512151548865165546021561558810078698810551083056658548654310573
Warsaw,2026-07-07T12:37:11Z,current_yes,0.9333333333333333,2026-07-07T12:38:07Z,0.735,ok,2026-07-07,56791494144926352928317651522882240996548818656902586845948902772464964027711
Warsaw,2026-07-07T12:37:11Z,d1_no,0.9333333333333333,2026-07-07T12:38:07Z,0.805,ok,2026-07-07,56950489557954449272893333706302395207660585233776826374607430859758112090737
Wellington,2026-07-07T02:37:50Z,current_yes,0.25,2026-07-07T02:38:05Z,0.94,ok,2026-07-07,98368676224414617490698225407387562675678635957722427919585241948902696208768
Wellington,2026-07-07T02:37:50Z,d1_no,0.23333333333333334,2026-07-07T02:38:04Z,0.935,ok,2026-07-07,47784281997173681006141819316271036348785544405320623186808991321625529791730
BuenosAires,2026-07-08T19:18:54Z,current_yes,0.18333333333333332,2026-07-08T19:19:05Z,0.9975,ok,2026-07-08,19179980003299297180827318578475874867469351393262821097655186476406650009215
BuenosAires,2026-07-08T19:18:54Z,d1_no,0.18333333333333332,2026-07-08T19:19:05Z,0.9965,ok,2026-07-08,28825507699724160998441624096397465666578494909502503127050686145658924381343
Busan,2026-07-08T07:12:01Z,current_yes,0.13333333333333333,2026-07-08T07:12:09Z,0.9795,ok,2026-07-08,33276975339163811526363036021261070922385659207990448700577827153846029684919
Busan,2026-07-08T07:12:01Z,d1_no,0.11666666666666667,2026-07-08T07:12:08Z,0.985,ok,2026-07-08,65661226120611919173689101297757444350728695334824818344280510935807085460966
Denver,2026-07-08T19:18:54Z,current_yes,0.18333333333333332,2026-07-08T19:19:05Z,0.8925,ok,2026-07-08,60243253316152051421230155596948475012285097140379003661233253544625372642030
Denver,2026-07-08T19:18:54Z,d1_no,0.18333333333333332,2026-07-08T19:19:05Z,0.9365,ok,2026-07-08,196195419504640000736574102939873735076674804608591937893824649981403639113
Helsinki,2026-07-08T13:54:33Z,current_yes,0.7833333333333333,2026-07-08T13:55:20Z,0.994,ok,2026-07-08,27780668576458573742172683458197899248207789137216490195576135416315994097441
Helsinki,2026-07-08T13:54:33Z,d1_no,0.7666666666666667,2026-07-08T13:55:19Z,0.9945,ok,2026-07-08,62015063220811970318986613130556583969187995829761433904067428825281486231482
Karachi,2026-07-08T11:50:17Z,current_yes,0.8,2026-07-08T11:51:05Z,0.9965,ok,2026-07-08,83834026006003033950840084049734440019031936413102284812765037680167824380235
Karachi,2026-07-08T11:50:17Z,d1_no,0.8,2026-07-08T11:51:05Z,0.9945,ok,2026-07-08,11929865194077645343965015050839013725209870009572701794808546365348911599618
KualaLumpur,2026-07-08T08:16:40Z,current_yes,0.4166666666666667,2026-07-08T08:17:05Z,0.994,ok,2026-07-08,18573523442396648069033093890043353575999508414496153658226037258143210855061
KualaLumpur,2026-07-08T08:16:40Z,d1_no,0.4166666666666667,2026-07-08T08:17:05Z,0.995,ok,2026-07-08,114768846157528746879734460548697169439027392051400600475930512950172672335123
LA,2026-07-08T21:05:38Z,current_yes,0.4166666666666667,2026-07-08T21:06:03Z,0.988,ok,2026-07-08,13533315997966598126295167284365919620408928657816374030359371161408202917288
LA,2026-07-08T21:05:38Z,d1_no,0.43333333333333335,2026-07-08T21:06:04Z,0.985,ok,2026-07-08,51988378809845376543803335283481821675751140944626257649502110371397000004303
Lucknow,2026-07-08T08:52:13Z,current_yes,0.85,2026-07-08T08:53:04Z,0.925,ok,2026-07-08,85867975879730799830028570104951677661569837305488169138737531062989930977920
Lucknow,2026-07-08T08:52:13Z,d1_no,0.8833333333333333,2026-07-08T08:53:06Z,0.9535,ok,2026-07-08,44643844088841308193044135898851525273466219266739374564933715676164516851151
Miami,2026-07-08T19:03:18Z,current_yes,0.7833333333333333,2026-07-08T19:04:05Z,0.965,ok,2026-07-08,30242332133516529162913863934644323463966574117849517270494466300083124664911
Miami,2026-07-08T19:03:18Z,d1_no,0.7666666666666667,2026-07-08T19:04:04Z,0.9575,ok,2026-07-08,20983140718113667915545528661870174527045091114735582662936080939595831019699
NYC,2026-07-08T21:05:38Z,current_yes,0.4166666666666667,2026-07-08T21:06:03Z,0.983,ok,2026-07-08,60150803969884027337040397305640624278203276530042278681406600696878262858079
NYC,2026-07-08T21:05:38Z,d1_no,0.4166666666666667,2026-07-08T21:06:03Z,0.981,ok,2026-07-08,49394257175167455825277947095922755705432646917822145857164894280328775880228
PanamaCity,2026-07-08T20:05:26Z,current_yes,0.6333333333333333,2026-07-08T20:06:04Z,0.985,ok,2026-07-08,48048726933348033220966634686887779806620515166855374624848197635795395425330
PanamaCity,2026-07-08T21:05:38Z,current_yes,0.4166666666666667,2026-07-08T21:06:03Z,0.996,ok,2026-07-08,48048726933348033220966634686887779806620515166855374624848197635795395425330
PanamaCity,2026-07-08T20:05:26Z,d1_no,0.65,2026-07-08T20:06:05Z,0.994,ok,2026-07-08,49119411645791442773244589303277543622600897873627053308446832770509873071483
PanamaCity,2026-07-08T21:05:38Z,d1_no,0.43333333333333335,2026-07-08T21:06:04Z,0.997,ok,2026-07-08,49119411645791442773244589303277543622600897873627053308446832770509873071483
SanFrancisco,2026-07-08T23:05:17Z,current_yes,0.8,2026-07-08T23:06:05Z,0.996,ok,2026-07-08,49279219112825324296115164014194322782201407800681086797877748231070508111397
SanFrancisco,2026-07-08T23:05:17Z,d1_no,0.8,2026-07-08T23:06:05Z,0.996,ok,2026-07-08,96149665728513231438633810378051179412414034943152887462907590074833928876844
