changed_since_last,city,current_native,current_temp_c,decision_hour_local_at_detect,decline_native,detected_after_report_sec,estimated_cadence_min,live_observation_source,local_detect_ts_utc,mapping_rule,minutes_since_running_max_at_detect,payload_hash,physical_support_count_partial,physical_support_reasons_partial,prebase_without_forecast_clock,precip_state,producer,raw_metar,raw_payload_hash,record_count,registry_class,relative_humidity_pct,report_kind,running_max_c,running_native,settlement_source,settlement_source_class,sky_cover_code,source,source_age_sec,source_detect_ts_utc,source_fetch_end_utc,source_fetch_latency_sec,source_fetch_start_utc,source_file_ts_utc,source_lane,source_report_ts_utc,station,status,target_date,temp_c,temp_trend_1h_f,ts_utc,unit,warming_state
True,Beijing,29.0,29.0,14.633333333333333,4.0,480.676,30.0,aviationweather_metar,2026-07-07T06:38:00.676368+00:00,whole-degree WU station max,98.0112728,5e3708e3294a54ad,0,[],True,none_observed,weather_data_feed_service.source_events,METAR ZBAA 070630Z 11006G11MPS 060V160 9999 FEW050CB 29/22 Q0996 NOSIG,83e07f721559d589,30,same_station_source_profile,65.97640502342368,METAR,33.0,33.0,WU market rules station matches configured station,default_wu_station_by_rules,,aviationweather_metar,480.676,2026-07-07T06:38:00.676368Z,2026-07-07T06:38:00.676368+00:00,0.99,2026-07-07T06:37:59.686290+00:00,,metar_speci_capable,2026-07-07T06:30:00Z,ZBAA,ok,2026-07-07,29.0,-5.4,2026-07-07T06:38:00.676368+00:00,C,cooling
True,Taipei,32.0,32.0,14.633888888888889,3.0,482.639,30.0,aviationweather_metar,2026-07-07T06:38:02.639178+00:00,whole-degree WU station max,158.0439863,a7224c51f3165bf9,2,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",True,none_observed,weather_data_feed_service.source_events,METAR RCSS 070630Z VRB05KT 9999 VCSH FEW020 BKN032 BKN220 32/26 Q1008 NOSIG RMK A2978,b05e2e0a4c17ec62,24,same_station_source_profile,70.6570356447408,METAR,35.0,35.0,WU market rules station matches configured station,default_wu_station_by_rules,3,aviationweather_metar,482.639,2026-07-07T06:38:02.639178Z,2026-07-07T06:38:02.639178+00:00,0.961,2026-07-07T06:38:01.678583+00:00,,metar_speci_capable,2026-07-07T06:30:00Z,RCSS,ok,2026-07-07,32.0,0.0,2026-07-07T06:38:02.639178+00:00,C,flat
True,Busan,28.0,28.0,16.125555555555557,1.0,452.949,48.0,aviationweather_metar,2026-07-07T07:07:32.949337+00:00,whole-degree WU station max,67.54915561666667,50dfe946e8893e83,3,"['cloud_limited_flat_or_cooling', 'moisture_cloud_suppression', 'onshore_marine_cooling']",True,none_observed,weather_data_feed_service.source_events,METAR RKPK 070700Z 19010KT 9999 FEW005 SCT020 BKN030 28/25 Q1008,f1b36697f95b749e,24,same_station_source_profile,83.78747242805218,METAR,29.0,29.0,WU market rules station matches configured station,default_wu_station_by_rules,3,aviationweather_metar,452.949,2026-07-07T07:07:32.949337Z,2026-07-07T07:07:32.949337+00:00,1.007,2026-07-07T07:07:31.941905+00:00,,metar_speci_capable,2026-07-07T07:00:00Z,RKPK,ok,2026-07-07,28.0,-1.8,2026-07-07T07:07:32.949337+00:00,C,cooling
True,Beijing,27.0,27.0,15.125833333333334,6.0,453.14,30.0,aviationweather_metar,2026-07-07T07:07:33.139557+00:00,whole-degree WU station max,127.55232595000001,3b1400b9b98b8482,0,[],True,thunderstorm,weather_data_feed_service.source_events,METAR ZBAA 070700Z 12007MPS 090V170 9999 FEW050CB 27/21 Q0997 BECMG TL0740 18006MPS TS,00723bf3389dfb7f,31,same_station_source_profile,69.73535987777385,METAR,33.0,33.0,WU market rules station matches configured station,default_wu_station_by_rules,,aviationweather_metar,453.14,2026-07-07T07:07:33.139557Z,2026-07-07T07:07:33.139557+00:00,1.198,2026-07-07T07:07:31.941470+00:00,,metar_speci_capable,2026-07-07T07:00:00Z,ZBAA,ok,2026-07-07,27.0,-5.4,2026-07-07T07:07:33.139557+00:00,C,cooling
True,Chengdu,35.0,35.0,15.125833333333334,1.0,453.16,60.0,aviationweather_metar,2026-07-07T07:07:33.159800+00:00,whole-degree WU station max,67.55266333333333,1de231790f1965cf,0,[],True,none_observed,weather_data_feed_service.source_events,METAR ZUUU 070700Z VRB02MPS 9999 FEW023 35/23 Q1000 NOSIG,5398d2310652d1ae,16,same_station_source_profile,49.91150957114025,METAR,36.0,36.0,WU market rules station matches configured station,default_wu_station_by_rules,1,aviationweather_metar,453.16,2026-07-07T07:07:33.159800Z,2026-07-07T07:07:33.159800+00:00,1.218,2026-07-07T07:07:31.941718+00:00,,routine_metar_only,2026-07-07T07:00:00Z,ZUUU,ok,2026-07-07,35.0,-1.8,2026-07-07T07:07:33.159800+00:00,C,cooling
True,Taipei,31.0,31.0,15.12638888888889,4.0,335.084,30.0,aviationweather_metar,2026-07-07T07:07:35.084431+00:00,whole-degree WU station max,187.58474051666664,792558cfaeb74b69,3,"['observed_precipitation', 'cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",True,rain_or_drizzle,weather_data_feed_service.source_events,SPECI RCSS 070702Z 32004KT 270V080 9999 -RA FEW020 FEW025TCU BKN032 BKN220 31/26 Q1008 NOSIG RMK TCU SW A2978,666ba2a59c6ca16f,26,same_station_source_profile,74.78895610099171,SPECI,35.0,35.0,WU market rules station matches configured station,default_wu_station_by_rules,3,aviationweather_metar,335.084,2026-07-07T07:07:35.084431Z,2026-07-07T07:07:35.084431+00:00,1.011,2026-07-07T07:07:34.073758+00:00,,metar_speci_capable,2026-07-07T07:02:00Z,RCSS,ok,2026-07-07,31.0,-3.6,2026-07-07T07:07:35.084431+00:00,C,cooling
True,Beijing,26.0,26.0,15.619722222222222,7.0,431.467,30.0,aviationweather_metar,2026-07-07T07:37:11.466617+00:00,whole-degree WU station max,157.19111028333333,f88c6c9b1b49e500,1,['observed_precipitation'],True,thunderstorm,weather_data_feed_service.source_events,METAR ZBAA 070730Z 16007G12MPS 120V190 9999 -TSRA FEW050CB 26/22 Q0998 NOSIG,ac42f8d5b6a73cc5,32,same_station_source_profile,78.6398510724195,METAR,33.0,33.0,WU market rules station matches configured station,default_wu_station_by_rules,,aviationweather_metar,431.467,2026-07-07T07:37:11.466617Z,2026-07-07T07:37:11.466617+00:00,1.17,2026-07-07T07:37:10.296161+00:00,,metar_speci_capable,2026-07-07T07:30:00Z,ZBAA,ok,2026-07-07,26.0,-5.4,2026-07-07T07:37:11.466617+00:00,C,cooling
True,Taipei,29.0,29.0,15.620277777777778,6.0,433.768,30.0,aviationweather_metar,2026-07-07T07:37:13.768129+00:00,whole-degree WU station max,217.22946881666667,a4130a0e38ebd87b,3,"['observed_precipitation', 'cloud_limited_flat_or_cooling', 'moisture_cloud_suppression']",True,rain_or_drizzle,weather_data_feed_service.source_events,METAR RCSS 070730Z 33004KT 290V010 9999 -RA FEW020 BKN032 BKN220 29/26 Q1008 NOSIG RMK A2978,2a03bf762774ba7b,27,same_station_source_profile,83.89690993013957,METAR,35.0,35.0,WU market rules station matches configured station,default_wu_station_by_rules,3,aviationweather_metar,433.768,2026-07-07T07:37:13.768129Z,2026-07-07T07:37:13.768129+00:00,1.081,2026-07-07T07:37:12.686991+00:00,,metar_speci_capable,2026-07-07T07:30:00Z,RCSS,ok,2026-07-07,29.0,-5.4,2026-07-07T07:37:13.768129+00:00,C,cooling
True,Beijing,25.0,25.0,16.12,8.0,432.191,30.0,aviationweather_metar,2026-07-07T08:07:12.190836+00:00,whole-degree WU station max,187.2031806,415084d413233098,1,['observed_precipitation'],True,thunderstorm,weather_data_feed_service.source_events,METAR ZBAA 070800Z 14006MPS 110V180 9999 -TSRA FEW033CB 25/22 Q0997 BECMG AT0840 35009G15MPS TSRA,745f68db0adbc9d1,33,same_station_source_profile,83.45262666598398,METAR,33.0,33.0,WU market rules station matches configured station,default_wu_station_by_rules,,aviationweather_metar,432.191,2026-07-07T08:07:12.190836Z,2026-07-07T08:07:12.190836+00:00,0.978,2026-07-07T08:07:11.213046+00:00,,metar_speci_capable,2026-07-07T08:00:00Z,ZBAA,ok,2026-07-07,25.0,-3.6,2026-07-07T08:07:12.190836+00:00,C,cooling
True,Chongqing,36.0,36.0,16.12027777777778,1.0,433.133,60.0,aviationweather_metar,2026-07-07T08:07:13.133031+00:00,whole-degree WU station max,67.21888385,ca1828139b83f783,0,[],True,none_observed,weather_data_feed_service.source_events,METAR ZUCK 070800Z 08002MPS 030V130 9999 SCT036 36/23 Q0998 NOSIG,630075cbb44dd9a2,17,same_station_source_profile,47.230490638829174,METAR,37.0,37.0,WU market rules station matches configured station,default_wu_station_by_rules,2,aviationweather_metar,433.133,2026-07-07T08:07:13.133031Z,2026-07-07T08:07:13.133031+00:00,1.92,2026-07-07T08:07:11.213272+00:00,,routine_metar_only,2026-07-07T08:00:00Z,ZUCK,ok,2026-07-07,36.0,-1.8,2026-07-07T08:07:13.133031+00:00,C,cooling
