expression,mean_ask_minus_indicative,median_ask_minus_indicative,overlap_rows,p90_ask_minus_indicative
current_yes,0.02415624999999997,0.008499999999999952,16,0.025000000000000022
d1_no,0.00931249999999998,0.0044999999999999485,16,0.025000000000000022
