expression,mean_direct_ask_minus_history,median_direct_ask_minus_history,overlap_rows,p90_direct_ask_minus_history
current_yes,0.01842105263157892,0.00649999999999995,19,0.02299999999999991
d1_no,0.006583333333333306,0.005499999999999949,18,0.020000000000000018
