snapshot_file,snapshot_ts_utc,ts_beijing,ts_local,local_hour,local_minute,city,city_pool,target_date,unit,bracket,leg,outcome,target_bracket_low_native,target_bracket_high_native,running_value,running_native,latest_native,decline_native,metar_current_max_f,metar_latest_temp_f,metar_latest_ts_utc,metar_obs_count_today,forecast_max_native,forecast_gap_to_running_native,forecast_peak_time_local,forecast_peak_delta_hours_local,forecast_source,entry_price,best_bid,spread,top_size,depth_5c,bid_depth_5c,residual_points,condition_id,market_id,yes_best_ask,yes_best_bid,no_best_ask,no_best_bid,question,heating_done_score_v1,heating_done_bucket_v1,heating_done_reasons_v1,leg_residual_done_score_v1,leg_residual_done_bucket_v1,leg_residual_done_reasons_v1,final_yes,settled,win,fee_per_share,cost_per_share,pnl_per_share,roi,period,price_band,residual_band,peak_delta_bucket,forecast_gap_bucket,path_state,hour,entry_policy
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260704_1511.json,2026-07-04T07:11:44Z,2026-07-04 15:11:44,2026-07-04 10:11:44,15,11,Moscow,t1_trading,2026-07-04,C,22,current_yes,yes,22.0,22.0,22,22.22222222222222,18.88888888888889,3.333333333333332,72.0,66.0,2026-07-04T07:00:00Z,22,20.4,-1.6000000000000014,2026-07-04T10:00,0.18,open_meteo_live_gfs,0.76,0.74,0.02,19.24,228.65,12.02,24.0,0x0aff473950dc2c3e9e6cb2361c4f9c97adb9f44eb36bd66aabcf839459cba859,2765870,0.76,0.74,0.26,0.24,Will the highest temperature in Moscow be 22°C on July 4?,0.55,heating_done_probable,near_forecast_peak;forecast_below_running_high;pulled_back_from_high,0.55,leg_residual_done_probable,near_forecast_peak;forecast_below_running_high;pulled_back_from_high;uses_day_heating_done,1.0,True,1.0,0.00912,0.76912,0.23087999999999997,0.3001872269606823,forward_2026-06-29_2026-07-06,lt90,gt10,near_peak,busted_lt_minus1,decline,15,heating_done_residual_combo
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260704_1511.json,2026-07-04T07:11:44Z,2026-07-04 15:11:44,2026-07-04 10:11:44,15,11,Moscow,t1_trading,2026-07-04,C,23,d1_no,no,23.0,23.0,22,22.22222222222222,18.88888888888889,3.333333333333332,72.0,66.0,2026-07-04T07:00:00Z,22,20.4,-1.6000000000000014,2026-07-04T10:00,0.18,open_meteo_live_gfs,0.76,0.65,0.11,13.33,40.0,293.84,24.0,0x0c944f204b95b0749a17d5c88660d646a77e26a4e4726c44d963228f597cb171,2765871,0.35,0.24,0.76,0.65,Will the highest temperature in Moscow be 23°C on July 4?,0.55,heating_done_probable,near_forecast_peak;forecast_below_running_high;pulled_back_from_high,0.55,leg_residual_done_probable,near_forecast_peak;forecast_below_running_high;pulled_back_from_high;uses_day_heating_done,0.0,True,1.0,0.00912,0.76912,0.23087999999999997,0.3001872269606823,forward_2026-06-29_2026-07-06,lt90,gt10,near_peak,busted_lt_minus1,decline,15,heating_done_residual_combo
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260704_1511.json,2026-07-04T07:11:44Z,2026-07-04 15:11:44,2026-07-04 10:11:44,15,11,Moscow,t1_trading,2026-07-04,C,24,d2_no,no,24.0,24.0,22,22.22222222222222,18.88888888888889,3.333333333333332,72.0,66.0,2026-07-04T07:00:00Z,22,20.4,-1.6000000000000014,2026-07-04T10:00,0.18,open_meteo_live_gfs,0.981,0.943,0.038,315.79,2640.42,131.35,1.9000000000000017,0xb8de7f4ac288a0b3cb40a515a0533ef6adb266cc2f1726a4b238de4ab5dba3f7,2765872,0.057,0.019,0.981,0.943,Will the highest temperature in Moscow be 24°C on July 4?,0.55,heating_done_probable,near_forecast_peak;forecast_below_running_high;pulled_back_from_high,1.0,leg_residual_done_confirmed,near_forecast_peak;forecast_below_running_high;pulled_back_from_high;forecast_below_far_no_by_2_steps,0.0,True,1.0,0.00093,0.98193,0.01807000000000003,0.01840253378550409,forward_2026-06-29_2026-07-06,97_99,1_3,near_peak,busted_lt_minus1,decline,15,heating_done_residual_combo
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260704_1511.json,2026-07-04T07:11:44Z,2026-07-04 15:11:44,2026-07-04 10:11:44,15,11,Moscow,t1_trading,2026-07-04,C,25,d3_no,no,25.0,25.0,22,22.22222222222222,18.88888888888889,3.333333333333332,72.0,66.0,2026-07-04T07:00:00Z,22,20.4,-1.6000000000000014,2026-07-04T10:00,0.18,open_meteo_live_gfs,0.998,0.991,0.007,42.61,1395.68,632.94,0.20000000000000018,0xaa515a7164ad02f96bc9ca0a3290dcdf765840094b8bf80a57c11713af127384,2765873,0.009,0.002,0.998,0.991,Will the highest temperature in Moscow be 25°C on July 4?,0.55,heating_done_probable,near_forecast_peak;forecast_below_running_high;pulled_back_from_high,1.0,leg_residual_done_confirmed,near_forecast_peak;forecast_below_running_high;pulled_back_from_high;forecast_below_far_no_by_2_steps,0.0,True,1.0,0.0001,0.9981,0.0019000000000000128,0.001903616872056921,forward_2026-06-29_2026-07-06,99_plus,lt1,near_peak,busted_lt_minus1,decline,15,heating_done_residual_combo
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260704_1511.json,2026-07-04T07:11:44Z,2026-07-04 15:11:44,2026-07-04 02:11:44,15,11,PanamaCity,t2_research,2026-07-04,C,29,d2_no,no,29.0,29.0,27,27.22222222222222,27.22222222222222,0.0,81.0,81.0,2026-07-04T06:00:00Z,2,26.8,-0.1999999999999993,2026-07-04T16:00,-13.82,open_meteo_live_gfs,0.63,0.6,0.03,11.16,5280.65,934.54,37.0,0x92b0b89879c071d1ae8f07b87431e3012e15a0ffed2bb0721865a2e9db08a111,2777870,0.4,0.37,0.63,0.6,Will the highest temperature in Panama City be 29°C on July 4?,0.1,runway_still_open,peak_still_ahead;forecast_below_running_high;at_running_high_plateau,0.55,leg_residual_done_probable,peak_still_ahead;forecast_below_running_high;at_running_high_plateau;forecast_below_far_no_by_2_steps,,False,,0.01166,0.64166,,,forward_2026-06-29_2026-07-06,lt90,gt10,peak_gt1h_ahead,capped_minus1_0,at_high,15,heating_done_residual_combo
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260704_1511.json,2026-07-04T07:11:44Z,2026-07-04 15:11:44,2026-07-04 02:11:44,15,11,PanamaCity,t2_research,2026-07-04,C,30,d3_no,no,30.0,30.0,27,27.22222222222222,27.22222222222222,0.0,81.0,81.0,2026-07-04T06:00:00Z,2,26.8,-0.1999999999999993,2026-07-04T16:00,-13.82,open_meteo_live_gfs,0.7,0.67,0.03,29.74,1167.74,1132.58,30.000000000000004,0xd5cf7b2abe54895609661428f2a787980deb34bdda7f23940357684b7af739f6,2777871,0.33,0.3,0.7,0.67,Will the highest temperature in Panama City be 30°C on July 4?,0.1,runway_still_open,peak_still_ahead;forecast_below_running_high;at_running_high_plateau,0.55,leg_residual_done_probable,peak_still_ahead;forecast_below_running_high;at_running_high_plateau;forecast_below_far_no_by_2_steps,,False,,0.0105,0.7104999999999999,,,forward_2026-06-29_2026-07-06,lt90,gt10,peak_gt1h_ahead,capped_minus1_0,at_high,15,heating_done_residual_combo
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260704_1528.json,2026-07-04T07:28:21Z,2026-07-04 15:28:21,2026-07-04 12:28:21,15,28,Karachi,t1_trading,2026-07-04,C,35,d3_no,no,35.0,35.0,32,32.22222222222222,32.22222222222222,0.0,90.0,90.0,2026-07-04T07:00:00Z,25,33.1,1.1000000000000014,2026-07-04T14:00,-1.53,open_meteo_live_gfs,0.75,0.61,0.14,9.14,26.53,99.1,25.0,0x885ccd470841b15c72dbae88e5f7946393013030e6172982a1c761b35826d67a,2765937,0.39,0.25,0.75,0.61,Will the highest temperature in Karachi be 35°C on July 4?,0.0,runway_still_open,peak_still_ahead;forecast_room_open;at_running_high_plateau,0.45,leg_residual_marginal,peak_still_ahead;forecast_room_open;at_running_high_plateau;forecast_below_far_no_by_2_steps,0.0,True,1.0,0.00938,0.7593799999999999,0.24062000000000006,0.31686375727567234,forward_2026-06-29_2026-07-06,lt90,gt10,peak_gt1h_ahead,room_1_2,at_high,15,heating_done_residual_combo
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260704_1545.json,2026-07-04T07:45:27Z,2026-07-04 15:45:27,2026-07-04 15:45:27,15,45,Chongqing,t2_research,2026-07-04,C,32,current_yes,yes,32.0,32.0,32,32.22222222222222,32.22222222222222,0.0,90.0,90.0,2026-07-04T07:00:00Z,16,31.5,-0.5,2026-07-04T16:00,-0.25,open_meteo_live_gfs,0.15,0.08,0.07,10.38,39.36,307.0,85.0,0xa196a73da184e561f8ac9756e96bdc62413f17454292892717f3f9a74dfe17a1,2764640,0.15,0.08,0.92,0.85,Will the highest temperature in Chongqing be 32°C on July 4?,0.4,heating_done_uncertain,near_forecast_peak;forecast_below_running_high;at_running_high_plateau,0.4,leg_residual_marginal,near_forecast_peak;forecast_below_running_high;at_running_high_plateau;uses_day_heating_done,0.0,True,0.0,0.00637,0.15636999999999998,-0.15636999999999998,-1.0,forward_2026-06-29_2026-07-06,lt90,gt10,peak_1h_to_15m_ahead,capped_minus1_0,at_high,15,heating_done_residual_combo
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260704_1545.json,2026-07-04T07:45:27Z,2026-07-04 15:45:27,2026-07-04 15:45:27,15,45,Chongqing,t2_research,2026-07-04,C,33,d1_no,no,33.0,33.0,32,32.22222222222222,32.22222222222222,0.0,90.0,90.0,2026-07-04T07:00:00Z,16,31.5,-0.5,2026-07-04T16:00,-0.25,open_meteo_live_gfs,0.483,0.31,0.173,24.3,64.68,9.84,51.7,0x90fb31c538ce95cb65c9d1968d4bd69dd31fb23c1f13d43bc0c5e2fc9951c920,2764641,0.69,0.517,0.483,0.31,Will the highest temperature in Chongqing be 33°C on July 4?,0.4,heating_done_uncertain,near_forecast_peak;forecast_below_running_high;at_running_high_plateau,0.4,leg_residual_marginal,near_forecast_peak;forecast_below_running_high;at_running_high_plateau;uses_day_heating_done,0.0,True,1.0,0.01249,0.49549,0.50451,1.0182042019011484,forward_2026-06-29_2026-07-06,lt90,gt10,peak_1h_to_15m_ahead,capped_minus1_0,at_high,15,heating_done_residual_combo
runtime/weather_edge_v1/market_data.pre_external_20260706T215828/paper_snapshots/snapshot_20260704_1545.json,2026-07-04T07:45:27Z,2026-07-04 15:45:27,2026-07-04 12:45:27,15,45,Karachi,t1_trading,2026-07-04,C,35,d2_no,no,35.0,35.0,33,32.77777777777778,32.77777777777778,0.0,91.0,91.0,2026-07-04T07:30:00Z,26,33.1,0.10000000000000142,2026-07-04T14:00,-1.25,open_meteo_live_gfs,0.75,0.62,0.13,9.14,26.53,172.23,25.0,0x885ccd470841b15c72dbae88e5f7946393013030e6172982a1c761b35826d67a,2765937,0.38,0.25,0.75,0.62,Will the highest temperature in Karachi be 35°C on July 4?,0.0,runway_still_open,peak_still_ahead;forecast_room_le_1_step;at_running_high_plateau,0.45,leg_residual_marginal,peak_still_ahead;forecast_room_le_1_step;at_running_high_plateau;forecast_below_far_no_by_2_steps,0.0,True,1.0,0.00938,0.7593799999999999,0.24062000000000006,0.31686375727567234,forward_2026-06-29_2026-07-06,lt90,gt10,peak_gt1h_ahead,room_0_1,at_high,15,heating_done_residual_combo
