city,target_date,snapshot_ts_utc,legs,leg_set,cost,pnl,wins,worst_leg_pnl,depth_5c_sum,roi,period
Chicago,2026-06-30,2026-06-30T07:26:03Z,2,"d3_no,d3_no",1.99715,0.002850000000000019,2.0,0.0009500000000000064,498.59000000000003,0.0014270335227699567,forward_2026-06-29_2026-07-04
Chicago,2026-07-01,2026-07-01T07:15:54Z,2,"d3_no,d3_no",1.99525,0.004750000000000032,2.0,0.0019000000000000128,70156.39,0.002380654053376786,forward_2026-06-29_2026-07-04
Chicago,2026-07-04,2026-07-04T07:11:44Z,2,"d3_no,d3_no",1.9981,0.0019000000000000128,2.0,0.0009500000000000064,2950.09,0.0009509033581902871,forward_2026-06-29_2026-07-04
Chongqing,2026-06-30,2026-06-30T07:26:03Z,4,"current_yes,d1_no,d2_no,d3_no",3.92194,-1.92194,2.0,-0.96192,1399.9099999999999,-0.49004829242670717,forward_2026-06-29_2026-07-04
Chongqing,2026-06-30,2026-06-30T09:19:27Z,3,"current_yes,d1_no,d2_no",2.98765,0.012350000000000083,3.0,0.0019000000000000128,1104.79,0.0041336836644185505,forward_2026-06-29_2026-07-04
Chongqing,2026-07-01,2026-07-01T07:15:54Z,1,current_yes,0.99905,0.0009500000000000064,1.0,0.0009500000000000064,921.86,0.0009509033581902871,forward_2026-06-29_2026-07-04
Chongqing,2026-07-04,2026-07-04T07:11:44Z,4,"current_yes,d1_no,d2_no,d3_no",3.39452,-1.39452,2.0,-0.92272,5113.55,-0.41081507842051307,forward_2026-06-29_2026-07-04
Chongqing,2026-07-04,2026-07-04T08:18:41Z,2,"current_yes,d1_no",1.8588200000000001,0.14117999999999997,2.0,0.05527000000000004,1977.28,0.07595141003432283,forward_2026-06-29_2026-07-04
Dallas,2026-06-30,2026-06-30T07:26:03Z,2,"d2_no,d3_no",1.93997,0.06003000000000003,2.0,0.002850000000000019,1449.44,0.030943777481095083,forward_2026-06-29_2026-07-04
Dallas,2026-07-01,2026-07-01T07:15:54Z,1,d3_no,0.9962,0.0038000000000000256,1.0,0.0038000000000000256,11609.0,0.0038144950813089997,forward_2026-06-29_2026-07-04
