target_date,rows,cost,pnl,expression
2026-06-17,1,0.10345999999999998,-0.10345999999999998,current_yes
2026-06-18,25,7.5784899999999995,-0.5784899999999997,current_yes
2026-06-19,32,10.91743,-1.9174299999999995,current_yes
2026-06-20,14,6.211359999999999,-0.21135999999999955,current_yes
2026-06-21,18,6.521,0.4789999999999999,current_yes
2026-06-22,16,4.97337,0.02663000000000007,current_yes
2026-06-23,9,1.87329,1.1267099999999999,current_yes
2026-06-24,5,2.27834,-0.27834000000000003,current_yes
2026-06-25,7,2.68532,0.3146800000000001,current_yes
2026-06-26,4,0.97325,0.02675000000000008,current_yes
2026-06-27,6,2.35827,-0.35827,current_yes
2026-06-28,1,0.03145,-0.03145,current_yes
2026-06-29,24,11.06312,-0.06311999999999962,current_yes
2026-06-30,59,20.94295,-3.9429499999999993,current_yes
2026-07-01,27,6.113729999999999,-0.11372999999999979,current_yes
2026-07-02,11,2.6462,-0.6462000000000001,current_yes
2026-07-03,28,9.706,3.294,current_yes
2026-07-04,39,12.71627,-1.71627,current_yes
2026-07-05,38,10.59624,-2.59624,current_yes
2026-07-06,24,7.92275,-3.9227499999999997,current_yes
2026-07-07,13,2.78669,-0.78669,current_yes
2026-07-08,8,1.7730799999999998,-0.7730799999999999,current_yes
2026-07-09,11,3.65298,0.3470200000000002,current_yes
2026-07-10,5,1.85976,0.1402400000000001,current_yes
2026-07-11,1,0.0021,-0.0021,current_yes
2026-06-17,1,0.98003,0.019970000000000043,current_no
2026-06-18,25,18.65135,-0.6513499999999995,current_no
2026-06-19,26,18.26519,-0.26518999999999954,current_no
2026-06-20,9,6.0793099999999995,-1.07931,current_no
2026-06-21,10,7.45058,-2.45058,current_no
2026-06-22,11,8.51165,-0.5116499999999999,current_no
2026-06-23,5,4.01234,-0.012339999999999844,current_no
2026-06-24,1,0.99715,0.002850000000000019,current_no
2026-06-25,2,1.53058,-0.53058,current_no
2026-06-29,23,13.55555,-1.5555499999999998,current_no
2026-06-30,57,39.89281,1.1071900000000006,current_no
2026-07-01,27,21.77231,-0.7723099999999998,current_no
2026-07-02,11,9.186399999999999,-0.1863999999999998,current_no
2026-07-03,26,18.49951,-4.49951,current_no
2026-07-04,37,26.68073,-0.6807299999999997,current_no
2026-07-05,35,27.71598,0.28402000000000044,current_no
2026-07-06,23,16.37936,2.6206400000000003,current_no
2026-07-07,12,9.5898,0.41020000000000034,current_no
2026-07-08,9,6.74112,0.2588800000000001,current_no
2026-07-09,10,6.701,-0.701,current_no
2026-07-10,5,3.24721,-0.24720999999999999,current_no
2026-07-11,1,0.99905,0.0009500000000000064,current_no
2026-06-17,1,0.43218,-0.43218,d1_yes
2026-06-18,24,8.55878,-1.55878,d1_yes
2026-06-19,27,7.20871,-2.20871,d1_yes
2026-06-20,9,3.39301,0.60699,d1_yes
2026-06-21,11,3.7533499999999997,-1.7533499999999997,d1_yes
2026-06-22,11,4.02646,-1.0264599999999997,d1_yes
2026-06-23,5,1.5762,0.42380000000000007,d1_yes
2026-06-24,1,0.09825999999999997,-0.09825999999999997,d1_yes
2026-06-25,1,0.0084,-0.0084,d1_yes
2026-06-29,22,6.908379999999999,-0.9083799999999997,d1_yes
2026-06-30,56,15.465829999999999,-3.465829999999999,d1_yes
2026-07-01,22,4.260759999999999,-0.2607599999999998,d1_yes
2026-07-03,21,7.39855,-3.3985499999999997,d1_yes
2026-07-04,40,9.73715,-1.7371499999999993,d1_yes
2026-07-05,35,8.90931,-2.909309999999999,d1_yes
2026-07-06,11,2.87321,-0.87321,d1_yes
2026-06-17,1,0.81769,0.18230999999999997,d1_no
2026-06-18,25,18.10768,-0.10767999999999994,d1_no
2026-06-19,34,25.81665,0.18335000000000012,d1_no
2026-06-20,15,10.63931,-1.63931,d1_no
2026-06-21,16,11.44912,-0.44911999999999996,d1_no
2026-06-22,16,11.22247,-0.22246999999999995,d1_no
2026-06-23,10,7.00936,-0.009360000000000146,d1_no
2026-06-24,4,2.8791700000000002,0.12082999999999999,d1_no
2026-06-25,7,5.30877,-0.30877,d1_no
2026-06-26,5,3.62136,0.37863999999999987,d1_no
2026-06-27,6,4.5744299999999996,0.42557,d1_no
2026-06-28,1,0.9236800000000001,0.07631999999999994,d1_no
2026-06-29,23,17.54431,-1.5443099999999998,d1_no
2026-06-30,56,43.77349,-0.7734899999999991,d1_no
2026-07-01,25,20.53615,-1.5361499999999997,d1_no
2026-07-02,11,9.04027,0.9597300000000001,d1_no
2026-07-03,27,20.89706,1.1029399999999998,d1_no
2026-07-04,39,32.55775,-1.5577499999999995,d1_no
2026-07-05,37,30.30642,-1.3064199999999997,d1_no
2026-07-06,22,18.34466,-0.34465999999999963,d1_no
2026-07-07,12,10.44581,-0.44580999999999965,d1_no
2026-07-08,8,6.0937399999999995,-0.09373999999999971,d1_no
2026-07-09,11,8.08483,-0.08482999999999974,d1_no
2026-07-10,5,4.35802,-0.3580199999999999,d1_no
2026-07-11,1,0.98764,0.012360000000000038,d1_no
2026-06-18,2,1.9981,0.0019000000000000128,previous_no
2026-06-19,3,2.99715,0.002850000000000019,previous_no
2026-06-20,3,2.9809799999999997,0.019020000000000037,previous_no
2026-06-22,3,2.8641199999999998,0.13588,previous_no
2026-06-25,1,0.99905,0.0009500000000000064,previous_no
2026-06-29,17,16.98195,0.01805000000000012,previous_no
2026-06-30,30,29.96865,0.03135000000000021,previous_no
2026-07-01,9,8.98575,0.014250000000000096,previous_no
2026-07-03,9,8.9886,0.011400000000000077,previous_no
2026-07-04,13,12.986699999999999,0.01330000000000009,previous_no
2026-07-05,5,4.99525,0.004750000000000032,previous_no
2026-07-06,1,0.99905,0.0009500000000000064,previous_no
2026-06-18,3,0.0063,-0.0063,previous_yes
2026-06-19,4,0.00945,-0.00945,previous_yes
2026-06-20,4,0.06078,-0.06078,previous_yes
2026-06-22,3,0.60839,-0.60839,previous_yes
2026-06-25,1,0.0021,-0.0021,previous_yes
2026-06-29,17,0.0462,-0.0462,previous_yes
2026-06-30,34,0.10289,-0.10289,previous_yes
2026-07-01,10,0.048279999999999997,-0.048279999999999997,previous_yes
2026-07-03,13,0.027299999999999998,-0.027299999999999998,previous_yes
2026-07-04,16,0.0336,-0.0336,previous_yes
2026-07-05,12,0.0189,-0.0189,previous_yes
2026-07-06,2,0.00315,-0.00315,previous_yes
