expression,rows,dates,cities,avg_ask,win_rate,roi,roi_ci_low,roi_ci_high,same_band_initial_rows,same_band_initial_roi,date_equal_excess_roi,excess_ci_low,excess_ci_high,recent_4_dates,recent_roi
current_yes,426,25,40,0.32016666666666665,0.29577464788732394,-0.08885078774634471,-0.17321788628992132,0.015730710531271185,1278,-0.055721945669952706,-0.07754316636722126,-0.2194190613784723,0.03985799485964148,"2026-07-08,2026-07-09,2026-07-10,2026-07-11",-0.039506470982118305
current_no,366,22,39,0.7266885245901639,0.7049180327868853,-0.035294065738577164,-0.09188007226690535,0.0078103868239028295,1227,-0.0352000901112797,-0.021925298984582748,-0.07271686664738057,0.021845292241276702,"2026-07-08,2026-07-09,2026-07-10,2026-07-11",-0.03891707437311951
d1_yes,297,16,39,0.27750168350168347,0.21885521885521886,-0.23175603786568114,-0.30276155876220157,-0.15639032351184615,1159,-0.22223856103333783,-0.017191235530759373,-0.22465474312122996,0.16597656861202525,"2026-07-03,2026-07-04,2026-07-05,2026-07-06",-0.30839450007642233
d1_no,417,25,38,0.7736522781774581,0.762589928057554,-0.02256053239590945,-0.04187900336860765,-0.0015640948306135866,1285,-0.016342736456995716,0.005824252902859909,-0.022938274356237586,0.03570612587987522,"2026-07-08,2026-07-09,2026-07-10,2026-07-11",-0.026850226615851146
