decision_hour_local,city_days,cities,p50_residual_c,p90_residual_c,p95_residual_c,residual_ge_1_0c_rate,bucket_delta_ge_1_rate
18,6618,9,0.0,0.0,0.0,0.01586582048957389,0.02085222121486854
19,6618,9,0.0,0.0,0.0,0.011483831973405863,0.014959202175883953
20,6618,9,0.0,0.0,0.0,0.009066183136899365,0.012088244182532487
21,6618,9,0.0,0.0,0.0,0.006648534300392868,0.00891508008461771
