orderbook_file,snapshot_ts_utc,snapshot_ts_local,decision_hour_local,city,target_date,unit_x,bracket,bracket_low,bracket_high,outcome,best_ask,best_ask_size,condition_id,market_id,token_id,icao,running_max_c,final_max_c,running_max_f,final_max_f,residual_c,floor_c_bucket_delta,running_market_value,final_market_value,final_hit,observed_bucket,below_running_max,strategy,side,entry_cost,payout,pnl,roi,city_day_key,pm_history_valid,winner_count,winner_labels,unit_y,predicted_label_floor,match_floor,official_settled,official_final_hit,official_payout,official_pnl,official_roi,observed_vs_official_payout_match
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-20/orderbook_snapshot_20260520_0700.jsonl.gz,2026-05-19T23:00:53+00:00,2026-05-19T20:00:53-03:00,20,BuenosAires,2026-05-19,C,18,18.0,18.0,yes,0.85,6.08,0x6e5c4f16905ccfe36b23692114432e63d0a0b58d05f96abd62a6bf3b21a5341e,2306436,55808087033473634510356080282619818415181321006165126840268344981815536426495,SAEZ,17.77777777777778,17.77777777777778,64.0,64.0,0.0,0,18.0,18.0,1,1,0,observed_bucket_buy_yes,BUY_YES,0.85,1.0,0.15,0.1764705882352941,BuenosAires|2026-05-19,True,1,18,C,17,0.0,True,1,1.0,0.15000000000000002,0.17647058823529416,True
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-21/orderbook_snapshot_20260521_0130.jsonl.gz,2026-05-20T17:30:53+00:00,2026-05-20T20:30:53+03:00,20,Helsinki,2026-05-20,C,16,16.0,16.0,yes,0.85,7.75,0x9a183917e2e7356f7722ef426476bac295838aa30284320750c3976947870a97,2290003,12062163406381175111157001111526175876372866912267873579959651008994379264868,EFHK,16.11111111111111,16.11111111111111,61.0,61.0,0.0,0,16.0,16.0,1,1,0,observed_bucket_buy_yes,BUY_YES,0.85,1.0,0.15,0.1764705882352941,Helsinki|2026-05-20,True,1,16,C,16,1.0,True,1,1.0,0.15000000000000002,0.17647058823529416,True
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-21/orderbook_snapshot_20260521_0130.jsonl.gz,2026-05-20T17:30:53+00:00,2026-05-20T20:30:53+03:00,20,Istanbul,2026-05-20,C,19,19.0,19.0,yes,0.992,30.28,0x3a11123cefb5de0ef7fee0436cfb5f7120e4150b8d4d48157e4f6fe0422bd6f4,2289962,19759862868928429509600156879390149369611700812904243519823677508349669928469,LTFM,18.88888888888889,18.88888888888889,66.0,66.0,0.0,0,19.0,19.0,1,1,0,observed_bucket_buy_yes,BUY_YES,0.992,1.0,0.008,0.0080645161290322,Istanbul|2026-05-20,True,1,19,C,18,0.0,True,1,1.0,0.008000000000000007,0.008064516129032265,True
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-21/orderbook_snapshot_20260521_0200.jsonl.gz,2026-05-20T18:00:53+00:00,2026-05-20T20:00:53+02:00,20,Paris,2026-05-20,C,20,20.0,20.0,yes,0.99,312.08,0xaa34fd2ddf2d41458a811c14ec28a096dc5c7ee549fb100da7f76b3e820875ae,2289577,59629157944411204169188704286888759493548486357394483506151427702756503644810,LFPG,20.0,20.0,68.0,68.0,0.0,0,20.0,20.0,1,1,0,observed_bucket_buy_yes,BUY_YES,0.99,1.0,0.01,0.0101010101010101,Paris|2026-05-20,True,1,20,C,20,1.0,True,1,1.0,0.010000000000000009,0.01010101010101011,True
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-21/orderbook_snapshot_20260521_0200.jsonl.gz,2026-05-20T18:00:53+00:00,2026-05-20T20:00:53+02:00,20,Milan,2026-05-20,C,27,27.0,27.0,yes,0.006,715.19,0x4f9f5ded4ffdf1472ae9196092c4a34b1037223568209249d04b2d8aa97c4fa7,2289799,84190145442634253801758282253444497156892507848662051816427032802433148336894,LIML,27.22222222222222,27.22222222222222,81.0,81.0,0.0,0,27.0,27.0,1,1,0,observed_bucket_buy_yes,BUY_YES,0.006,1.0,0.994,165.66666666666666,Milan|2026-05-20,True,1,25,C,27,0.0,True,0,0.0,-0.006,-1.0,False
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-21/orderbook_snapshot_20260521_0230.jsonl.gz,2026-05-20T18:30:53+00:00,2026-05-20T21:30:53+03:00,21,Istanbul,2026-05-20,C,19,19.0,19.0,yes,0.991,26.28,0x3a11123cefb5de0ef7fee0436cfb5f7120e4150b8d4d48157e4f6fe0422bd6f4,2289962,19759862868928429509600156879390149369611700812904243519823677508349669928469,LTFM,18.88888888888889,18.88888888888889,66.0,66.0,0.0,0,19.0,19.0,1,1,0,observed_bucket_buy_yes,BUY_YES,0.991,1.0,0.009,0.0090817356205852,Istanbul|2026-05-20,True,1,19,C,18,0.0,True,1,1.0,0.009000000000000008,0.009081735620585276,True
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-21/orderbook_snapshot_20260521_0230.jsonl.gz,2026-05-20T18:30:53+00:00,2026-05-20T21:30:53+03:00,21,Helsinki,2026-05-20,C,16,16.0,16.0,yes,0.99,329.84,0x9a183917e2e7356f7722ef426476bac295838aa30284320750c3976947870a97,2290003,12062163406381175111157001111526175876372866912267873579959651008994379264868,EFHK,16.11111111111111,16.11111111111111,61.0,61.0,0.0,0,16.0,16.0,1,1,0,observed_bucket_buy_yes,BUY_YES,0.99,1.0,0.01,0.0101010101010101,Helsinki|2026-05-20,True,1,16,C,16,1.0,True,1,1.0,0.010000000000000009,0.01010101010101011,True
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-22/orderbook_snapshot_20260522_0230.jsonl.gz,2026-05-21T18:30:53+00:00,2026-05-21T20:30:53+02:00,20,Milan,2026-05-21,C,28,28.0,28.0,yes,0.007,30.0,0x397de5ff72a7b179869e7e1b01ed4f09b823957f7c730e03139f718fe5bfe017,2299541,50833655405039347273126909727082232658672018917371137616392682197385818739251,LIML,27.77777777777778,27.77777777777778,82.0,82.0,0.0,0,28.0,28.0,1,1,0,observed_bucket_buy_yes,BUY_YES,0.007,1.0,0.993,141.85714285714286,Milan|2026-05-21,True,1,27,C,27,1.0,True,0,0.0,-0.007,-1.0,False
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-22/orderbook_snapshot_20260522_0300.jsonl.gz,2026-05-21T19:00:53+00:00,2026-05-21T21:00:53+02:00,21,Milan,2026-05-21,C,28,28.0,28.0,yes,0.007,30.0,0x397de5ff72a7b179869e7e1b01ed4f09b823957f7c730e03139f718fe5bfe017,2299541,50833655405039347273126909727082232658672018917371137616392682197385818739251,LIML,27.77777777777778,27.77777777777778,82.0,82.0,0.0,0,28.0,28.0,1,1,0,observed_bucket_buy_yes,BUY_YES,0.007,1.0,0.993,141.85714285714286,Milan|2026-05-21,True,1,27,C,27,1.0,True,0,0.0,-0.007,-1.0,False
runtime/weather_edge_v1/market_data/orderbook_snapshots/2026-05-24/orderbook_snapshot_20260524_2100.jsonl.gz,2026-05-24T13:00:53+00:00,2026-05-24T21:00:53+08:00,21,Shanghai,2026-05-24,C,23,23.0,23.0,yes,0.989,30.0,0x98d757069d4823c8c00994fc6e725e7505fff667d6cabcd3be3e1b0e98f6a26c,2328445,12971016459757129873218068663276155777902109837108773808207984642343003832136,ZSPD,22.77777777777778,22.77777777777778,73.0,73.0,0.0,0,23.0,23.0,1,1,0,observed_bucket_buy_yes,BUY_YES,0.989,1.0,0.011,0.0111223458038422,Shanghai|2026-05-24,True,1,23,C,22,0.0,True,1,1.0,0.01100000000000001,0.011122345803842274,True
