scope,reanchor_group,grouping,rows,dates,cities,v1_incoherence_mean,v2_incoherence_mean,v2_minus_v1_mean,positive_rate_v1,positive_rate_v2,v1_ci_low,v1_ci_high,v2_ci_low,v2_ci_high
,d1_reanchor,reanchor_group,1292,31,36,0.008506127672631805,0.008506127672631805,0.0,0.5386996904024768,0.5386996904024768,-0.0017499293790843693,0.01566225392653492,-0.0017499293790843712,0.015662253926534926
,d2_reanchor,reanchor_group,246,31,36,-0.05201660802290568,-0.0520166080229057,-1.3877787807814457e-17,0.2845528455284553,0.2845528455284553,-0.0698528795934822,-0.03799020766813481,-0.06985287959348226,-0.03799020766813482
,no_reanchor,reanchor_group,2941,31,36,0.07134145777802882,-0.0015099159048642863,-0.0728513736828931,0.7830669840190412,0.5052703162189731,0.06593145647230608,0.07754198126328034,-0.00813118405868942,0.004660198094809755
dev_cv,d1_reanchor,scope+reanchor_group,870,19,36,0.01767019682808789,0.017670196828087893,3.469446951953614e-18,0.5632183908045977,0.5632183908045977,0.00612561111358525,0.027766949266871184,0.006125611113585256,0.027766949266871177
dev_cv,d2_reanchor,scope+reanchor_group,170,19,36,-0.04881923345247608,-0.04881923345247609,-6.938893903907228e-18,0.32941176470588235,0.32941176470588235,-0.06597399045384937,-0.02276477114411428,-0.0659739904538494,-0.022764771144114293
dev_cv,no_reanchor,scope+reanchor_group,2039,19,36,0.07198422808587375,-0.002329359114565889,-0.07431358720043964,0.7896027464443355,0.510544384502207,0.06444233428287653,0.0787427617836985,-0.009161106068758983,0.004712982983086279
verified_forward,d1_reanchor,scope+reanchor_group,422,12,36,-0.01038662153411415,-0.010386621534114151,-1.734723475976807e-18,0.4881516587677725,0.4881516587677725,-0.01919420377865024,0.005833456543715042,-0.019194203778650238,0.005833456543715051
verified_forward,d2_reanchor,scope+reanchor_group,76,12,28,-0.05916863008834033,-0.05916863008834036,-3.469446951953614e-17,0.18421052631578946,0.18421052631578946,-0.09226833386296884,-0.043369391859346754,-0.09226833386296888,-0.043369391859346795
verified_forward,no_reanchor,scope+reanchor_group,902,12,36,0.06988845483158111,0.0003424618164013061,-0.0695459930151798,0.7682926829268293,0.4933481152993348,0.059208566549549424,0.08109020123323772,-0.013682556386790556,0.011284339248811986
