target_date,jma_observation_jst,jma_first_seen_jst,decision_jst,first_seen_latency_seconds,book_after_first_seen_seconds,current_bracket,evaluation_status,not_scorable_reason,captured_brackets,jma_temp_c,jma_running_max_c,jma_slope_60m_cph,minutes_since_jma_strict_high,prior_metar_temp_c,prior_metar_running_max_c,official_last_obs_utc,official_snapshot_fetched_at_utc,no_bid,no_ask,no_mid,fee_per_share,model_p_no_v2,edge_after_fee_v2,would_enter_v2,model_p_no_no_floor,edge_after_fee_no_floor,would_enter_no_floor,final_bracket,no_label,hypothetical_no_entry_cost_1share,hypothetical_no_pnl_1share_fee_adjusted,hypothetical_no_pnl_5shares_fee_adjusted,model_direction_buy_no,model_direction_pnl_1share_fee_adjusted,model_direction_pnl_5shares_fee_adjusted,v2_policy_pnl_1share_fee_adjusted,v2_policy_pnl_5shares_fee_adjusted,v2_prediction_correct_at_050,availability_clock_class,book_snapshot_id,capture_cycle_id,source_payload_hash
2026-08-02,2026-08-02T10:00:00+09:00,2026-08-02T10:07:04.675161+09:00,2026-08-02T10:12:50.777435+09:00,424.675,346.102,32,scored,,,31.9,31.9,1.2999999999999972,0.0,32.0,32.0,2026-08-02T01:00:00+00:00,2026-08-02T01:12:03.146928+00:00,0.959,0.97,0.9644999999999999,0.00146,0.9686446131851505,-0.0028153868148494796,0,0.9686446131851505,-0.0028153868148494796,0,33,1,0.97146,0.02854000000000001,0.14270000000000005,1,0.02854000000000001,0.14270000000000005,0.0,0.0,1,collector_exact_hash_verified,,9f7e04870b6f975541b3cde7613c58ccf5634b629879632ba8a32fc9038b263b,995cd67df25d612cfc254f2fa8e76a863654dbeb988192c702fbb157fd6e47ff
2026-08-02,2026-08-02T10:10:00+09:00,2026-08-02T10:17:07.470636+09:00,2026-08-02T10:17:49.887215+09:00,427.471,42.417,32,scored,,,31.7,31.9,0.3999999999999986,10.0,32.0,32.0,2026-08-02T01:00:00+00:00,2026-08-02T01:17:26.749079+00:00,0.959,0.97,0.9644999999999999,0.00146,0.958584643707937,-0.012875356292063028,0,0.958584643707937,-0.012875356292063028,0,33,1,0.97146,0.02854000000000001,0.14270000000000005,1,0.02854000000000001,0.14270000000000005,0.0,0.0,1,collector_exact_hash_verified,,7a83c3c6ec603978adafe8f3c27b90dd5f3c6d06c6a9961e684e3090ca95ab95,c198d2b9d8ac5bb2ada845a74f7f941abe2165653e4184d7b0cdd09d919e5b5d
2026-08-02,2026-08-02T10:20:00+09:00,2026-08-02T10:27:09.276278+09:00,2026-08-02T10:27:50.491401+09:00,429.276,41.215,32,scored,,,31.8,31.9,0.6000000000000014,20.0,32.0,32.0,2026-08-02T01:00:00+00:00,2026-08-02T01:22:39.765477+00:00,0.97,0.99,0.98,0.0005,0.9777063710003197,-0.01279362899968034,0,0.9777063710003197,-0.01279362899968034,0,33,1,0.9904999999999999,0.009500000000000064,0.04750000000000032,1,0.009500000000000064,0.04750000000000032,0.0,0.0,1,collector_exact_hash_verified,,ecdf081d4a872ab95cc8db399e35744bdd9aba7ba85130ec4fd509e02b8bc470,d37857ffc5352b596844625304e9457d342bde473d29480b4c3bb465e9527a1b
2026-08-02,2026-08-02T10:30:00+09:00,2026-08-02T10:37:22.151591+09:00,2026-08-02T10:37:54.004908+09:00,442.152,31.853,32,scored,,,32.3,32.3,1.0999999999999979,0.0,32.0,32.0,2026-08-02T01:00:00+00:00,2026-08-02T01:33:11.437830+00:00,0.97,0.99,0.98,0.0005,0.9787463848947374,-0.011753615105262571,0,0.9787463848947374,-0.011753615105262571,0,33,1,0.9904999999999999,0.009500000000000064,0.04750000000000032,1,0.009500000000000064,0.04750000000000032,0.0,0.0,1,collector_exact_hash_verified,,0b76b1e355eccb2e3b391163a364db0c2c11cf85056f460601ec141090983865,4b399dcd8ecd45e449b0f30aabce711459e2cccb63750006b1e5e6877a0f65ff
2026-08-02,2026-08-02T10:40:00+09:00,2026-08-02T10:46:35.363915+09:00,2026-08-02T10:46:50.401050+09:00,395.364,15.037,32,scored,,,32.0,32.3,0.5,10.0,32.0,32.0,2026-08-02T01:30:00+00:00,2026-08-02T01:44:06.479931+00:00,0.989,0.99,0.9895,0.0005,0.986443550034331,-0.004056449965668951,0,0.986443550034331,-0.004056449965668951,0,33,1,0.9904999999999999,0.009500000000000064,0.04750000000000032,1,0.009500000000000064,0.04750000000000032,0.0,0.0,1,collector_exact_hash_verified,,c66d95100fa68c2ad747734a16bd904ed87fcee7ab4fc7352c9b0d3494c1a5ed,0f1fbf0de38f483c20ce9adc2b70e279e1a3ed2b48f13a4b5f9ae8b7ce5e8f5b
2026-08-02,2026-08-02T10:50:00+09:00,2026-08-02T10:57:14.237966+09:00,2026-08-02T10:57:50.579969+09:00,434.238,36.342,32,scored,,,32.1,32.3,0.40000000000000213,20.0,32.0,32.0,2026-08-02T01:30:00+00:00,2026-08-02T01:54:30.731852+00:00,0.97,0.99,0.98,0.0005,0.9731533107904957,-0.017346689209504274,0,0.9731533107904957,-0.017346689209504274,0,33,1,0.9904999999999999,0.009500000000000064,0.04750000000000032,1,0.009500000000000064,0.04750000000000032,0.0,0.0,1,collector_exact_hash_verified,,6abcb1b8b6809570c0ec45344fa81781e56840e434090c202ce547c20d49d583,ae3ec9901c3645a9d34fbfae2cb5f6382a8a5891c6e82ba94f3fe6635ffeec53
2026-08-02,2026-08-02T11:00:00+09:00,2026-08-02T11:07:21.022422+09:00,2026-08-02T11:07:50.785446+09:00,441.022,29.763,32,scored,,,32.2,32.3,0.30000000000000426,30.0,32.0,32.0,2026-08-02T01:30:00+00:00,2026-08-02T02:05:15.596102+00:00,0.97,0.989,0.9795,0.00054,0.9713172115922752,-0.018222788407724747,0,0.9713172115922752,-0.018222788407724747,0,33,1,0.98954,0.010460000000000025,0.052300000000000124,1,0.010460000000000025,0.052300000000000124,0.0,0.0,1,collector_exact_hash_verified,,774ec78f2a288097655c0e34ffba4ee2c7d01f8c3beaa4de07dc4c378e3a8309,fca93e0673c2019b2d9544c9a54bc0ef8481c7242ab1d3ef50700f629c50e979
2026-08-02,2026-08-02T11:10:00+09:00,2026-08-02T11:17:04.828583+09:00,2026-08-02T11:17:51.536699+09:00,424.829,46.708,32,scored,,,32.4,32.4,0.6999999999999993,0.0,32.0,32.0,2026-08-02T02:00:00+00:00,2026-08-02T02:15:59.887251+00:00,0.961,0.984,0.9724999999999999,0.00079,0.9652696058308445,-0.01952039416915545,0,0.9652696058308445,-0.01952039416915545,0,33,1,0.9847899999999999,0.015210000000000057,0.07605000000000028,1,0.015210000000000057,0.07605000000000028,0.0,0.0,1,collector_exact_hash_verified,,7557ee7bc5300f58e8bd7bb0468544a6648cf0418a791611a7cc269e4f53405a,b842d2f80f9df57d6edb46da8dcc6ec535962fdac4cf9d2c4327220a6a77bc20
2026-08-02,2026-08-02T11:20:00+09:00,2026-08-02T11:27:08.358780+09:00,2026-08-02T11:27:49.781698+09:00,428.359,41.423,32,scored,,,32.6,32.6,0.8000000000000007,0.0,32.0,32.0,2026-08-02T02:00:00+00:00,2026-08-02T02:26:25.932974+00:00,0.981,0.998,0.9895,0.0001,0.9894692589169607,-0.008630741083039305,0,0.9894692589169607,-0.008630741083039305,0,33,1,0.9981,0.0019000000000000128,0.009500000000000064,1,0.0019000000000000128,0.009500000000000064,0.0,0.0,1,collector_exact_hash_verified,,e837b1e3c98e0b00ac1d82f61a28581d932d79e7dbaf834d5be500fdf34e265e,417fedc97a9f2f9879e3e2ba56b6f1dd6450cbe33c140fda3ea44c0cdb3d4b39
2026-08-02,2026-08-02T11:30:00+09:00,2026-08-02T11:37:06.240041+09:00,2026-08-02T11:37:52.279879+09:00,426.24,46.04,32,scored,,,32.3,32.6,0.0,10.0,32.0,32.0,2026-08-02T02:00:00+00:00,2026-08-02T02:37:12.954597+00:00,0.97,0.991,0.9804999999999999,0.00045,0.9748327224173231,-0.016617277582676886,0,0.9748327224173231,-0.016617277582676886,0,33,1,0.9914499999999999,0.008550000000000058,0.04275000000000029,1,0.008550000000000058,0.04275000000000029,0.0,0.0,1,collector_exact_hash_verified,,fce80a8a0d368edece7a59ff58292c8b6d31ed6ede170b97f647d4206697d50b,eec5a8247a7cedb9232b2e8b016205d9b174f2d5a9cc59bb12f4f7add04d0662
