day_regime,expression,state_rows,active_dates,avg_ask,hit_rate,unit_pnl,cost,roi
day_forecast_busted,current_bracket_no,2940,36,0.14893401360544217,0.1108843537414966,-111.86599999999999,437.866,-0.25547998702799485
day_forecast_busted,current_yes,2609,35,0.8541115369873514,0.8597163664239172,14.62300000000001,2228.377,0.00656217507181236
day_forecast_busted,d1_no,2354,36,0.87974893797791,0.8738317757009346,-13.928999999999988,2070.929,-0.006725966945269484
day_forecast_busted,d2_no,1644,36,0.96136800486618,0.9604622871046229,-1.488999999999994,1580.489,-0.0009421134851302313
day_forecast_busted,lottery_yes,2815,36,0.01856341030195382,0.010657193605683837,-22.256000000000004,52.256,-0.4259032455603185
day_forecast_capped,current_bracket_no,2502,36,0.25813988808952837,0.21782573940847322,-100.86600000000001,645.866,-0.15617171363719412
day_forecast_capped,current_yes,2368,36,0.7473652871621621,0.7428209459459459,-10.761,1769.761,-0.006080482053791443
day_forecast_capped,d1_no,2264,36,0.821363074204947,0.801678445229682,-44.56599999999999,1859.566,-0.023965807075414364
day_forecast_capped,d2_no,1809,36,0.9280381426202322,0.9176340519624102,-18.820999999999994,1678.8210000000001,-0.011210843800500466
day_forecast_capped,lottery_yes,2554,36,0.01563586530931872,0.0074393108848864525,-20.934000000000005,39.934000000000005,-0.5242149546752142
day_marginal_runway,current_bracket_no,1873,36,0.4602172984516818,0.46342765616657766,6.013000000000007,861.987,0.0069757432536685674
day_marginal_runway,current_yes,1853,36,0.5315536967080411,0.48569886670264434,-84.969,984.969,-0.08626565912226679
day_marginal_runway,d1_no,1793,36,0.7516107083100948,0.7116564417177914,-71.63799999999999,1347.638,-0.05315819233354951
day_marginal_runway,d2_no,1597,36,0.8288328115216032,0.7795867251095805,-78.64599999999999,1323.6460000000002,-0.05941618831621141
day_marginal_runway,lottery_yes,1967,36,0.02382968988307067,0.015251652262328419,-16.873000000000005,46.873000000000005,-0.3599726921681992
day_open_runway,current_bracket_no,2241,36,0.6743186077643909,0.6555109326193663,-42.14799999999999,1511.148,-0.02789137794577367
day_open_runway,current_yes,2433,36,0.3031763255240444,0.2889436909165639,-34.628,737.628,-0.04694507258401254
day_open_runway,d1_no,2631,36,0.8300672748004562,0.8320030406689471,5.0930000000000035,2183.907,0.00233205901167037
day_open_runway,d2_no,2700,36,0.806082222222222,0.7866666666666666,-52.42199999999998,2176.4219999999996,-0.024086321494636607
day_open_runway,lottery_yes,3281,36,0.015718988113380065,0.0121914050594331,-11.574000000000003,51.574,-0.2244154031100943
day_space_unknown,current_bracket_no,437,3,0.3561510297482838,0.34782608695652173,-3.637999999999999,155.638,-0.02337475423739703
day_space_unknown,current_yes,430,3,0.6418813953488373,0.6162790697674418,-11.008999999999999,276.009,-0.03988638051657735
day_space_unknown,d1_no,431,3,0.841600928074246,0.814385150812065,-11.73,362.73,-0.03233810272103217
day_space_unknown,d2_no,352,3,0.8740056818181817,0.8693181818181818,-1.6499999999999995,307.65,-0.005363237445148707
day_space_unknown,lottery_yes,499,3,0.007805611222444889,0.008016032064128256,0.10499999999999976,3.895,0.026957637997432546
