day_regime,state_rows,cities,active_dates,reheat_any_rate,reheat_step_rate,capped_day_rate,avg_remaining_heat_native,avg_forecast_error_native,current_yes_n,current_yes_hit_rate,current_yes_roi,current_bracket_no_n,current_bracket_no_hit_rate,current_bracket_no_roi,d1_no_n,d1_no_hit_rate,d1_no_roi,d2_no_n,d2_no_hit_rate,d2_no_roi,lottery_yes_n,lottery_yes_hit_rate,lottery_yes_roi
day_open_runway,4705,36,50,0.6886291179596175,0.6886291179596175,0.2682252922422954,2.9030582123036957,1.57963632069902,3400,0.34,-0.03295563391180321,3205,0.6065522620904836,-0.03782524748530382,3688,0.8145336225596529,-0.02065683802563897,3746,0.810998398291511,-0.009083294409898985,4524,0.009946949602122016,-0.3326709474589594
day_forecast_busted,4461,36,50,0.15512216991705896,0.15512216991705896,0.811477247253979,0.22902189344691026,-2.023153752272784,3786,0.8372952984680402,-0.002112876458426194,4172,0.13231064237775647,-0.19749012127785162,3456,0.8642939814814815,-0.010845596209753713,2465,0.9464503042596348,-0.004531451344501238,3977,0.011817953231078702,-0.40329583830586807
day_forecast_capped,2841,36,50,0.307286166842661,0.307286166842661,0.6546990496304118,0.5398333919981227,-0.576929093824553,2505,0.6706586826347305,-0.050562089848474226,2597,0.2837889872930304,-0.06091082730315761,2418,0.771712158808933,-0.03379541316896463,1899,0.8915218536071616,-0.024425099415865157,2679,0.008212019410227697,-0.4633491889254787
day_marginal_runway,2362,36,50,0.4826418289585097,0.4826418289585097,0.5080440304826418,1.103772697337473,0.09163138583121679,2142,0.5028011204481793,-0.06987991346515073,2165,0.4457274826789838,-0.011541912671520525,2055,0.7659367396593674,-0.010155029594729546,1800,0.7755555555555556,-0.06403514829612157,2233,0.01701746529332736,-0.14735117912356682
