snapshot_ts_utc,city,target_date,leg,bracket,unit,win,entry_price,p_market_entry_v1,p_heating_done_score_v1,p_leg_win_physical_lodo_v1,p_leg_win_physical_expanding_v1,p_leg_win_physical_v1,local_time_float,forecast_peak_delta_hours_local,forecast_gap_to_running_native,decline_native,target_distance_native,forecast_margin_to_target_native,metar_obs_count_today,running_value,leg,unit,path_state,peak_delta_bucket,forecast_gap_bucket
2026-06-21T10:06:43Z,Ankara,2026-06-21,current_yes,23,C,0.0,0.012,0.012,1e-06,0.2494079465199146,,0.2385612552154726,18.1,-1.9,1.5,0.5555555555555571,0.0,-1.5,26,23,current_yes,C,decline,peak_gt1h_ahead,room_1_2
2026-06-21T10:06:43Z,Ankara,2026-06-21,d1_no,24,C,1.0,0.96,0.96,1e-06,0.7141828897462222,,0.7070582284583484,18.1,-1.9,1.5,0.5555555555555571,1.0,-0.5,26,23,d1_no,C,decline,peak_gt1h_ahead,room_1_2
2026-06-21T10:42:29Z,Amsterdam,2026-06-21,current_yes,25,C,0.0,0.068,0.068,1e-06,0.2544457860663473,,0.23981656156484443,18.7,-3.3,1.8999999999999984,0.0,0.0,-1.8999999999999986,25,25,current_yes,C,at_high,peak_gt1h_ahead,room_1_2
2026-06-21T10:42:29Z,Amsterdam,2026-06-21,d1_no,26,C,0.0,0.86,0.86,1e-06,0.7196082611078389,,0.7084849773097963,18.7,-3.3,1.8999999999999984,0.0,1.0,-0.8999999999999986,25,25,d1_no,C,at_high,peak_gt1h_ahead,room_1_2
2026-06-22T07:35:24Z,Ankara,2026-06-22,d1_no,23,C,1.0,0.999,0.999,1e-06,0.8187487253822086,,0.8219554609223223,15.583333333333334,-4.42,2.6000000000000014,0.0,1.0,-1.6000000000000014,21,22,d1_no,C,at_high,peak_gt1h_ahead,room_gt2
2026-06-22T08:47:28Z,Ankara,2026-06-22,d1_no,24,C,1.0,0.995,0.995,1e-06,0.8140654185072786,,0.8123011345468506,16.783333333333335,-3.22,2.5,0.0,1.0,-1.5,23,23,d1_no,C,at_high,peak_gt1h_ahead,room_gt2
2026-06-22T09:59:18Z,Amsterdam,2026-06-22,d3_no,25,C,0.0,0.673,0.673,0.35,0.8731416620522704,,0.8631483706923511,17.983333333333334,-4.02,2.1000000000000014,0.0,3.0,0.8999999999999986,24,22,d3_no,C,at_high,peak_gt1h_ahead,room_gt2
2026-06-22T09:59:18Z,Ankara,2026-06-22,current_yes,24,C,0.0,0.01,0.01,1e-06,0.22533939966911354,,0.2150067548513364,17.983333333333334,-2.02,1.5,0.0,0.0,-1.5,26,24,current_yes,C,at_high,peak_gt1h_ahead,room_1_2
2026-06-22T09:59:18Z,Ankara,2026-06-22,d1_no,25,C,1.0,0.95,0.95,1e-06,0.6868070713540575,,0.678462954388489,17.983333333333334,-2.02,1.5,0.0,1.0,-0.5,26,24,d1_no,C,at_high,peak_gt1h_ahead,room_1_2
2026-06-22T10:35:52Z,Amsterdam,2026-06-22,d2_no,25,C,0.0,0.67,0.67,0.35,0.7287185767148974,,0.7110899744374658,18.583333333333332,-3.42,1.1000000000000014,0.0,2.0,0.8999999999999986,25,23,d2_no,C,at_high,peak_gt1h_ahead,room_1_2
2026-06-22T10:35:52Z,Ankara,2026-06-22,current_yes,25,C,0.0,0.12,0.12,1e-06,0.2287052193417876,,0.21299639663353215,18.583333333333332,-1.42,0.5,0.0,0.0,-0.5,27,25,current_yes,C,at_high,peak_gt1h_ahead,room_0_1
2026-06-22T10:35:52Z,Ankara,2026-06-22,d1_no,26,C,0.0,0.56,0.56,1e-06,0.6909180173012773,,0.6758500912182581,18.583333333333332,-1.42,0.5,0.0,1.0,0.5,27,25,d1_no,C,at_high,peak_gt1h_ahead,room_0_1
2026-06-23T07:01:38Z,Ankara,2026-06-23,d3_no,23,C,1.0,0.999,0.999,1e-06,0.9165205382012347,,0.916881842122096,15.016666666666667,-4.98,5.699999999999999,0.0,3.0,-2.6999999999999993,20,20,d3_no,C,at_high,peak_gt1h_ahead,room_gt2
2026-06-23T07:37:23Z,Atlanta,2026-06-23,d1_no,78-79,F,1.0,0.989,0.989,1e-06,0.9133550248352335,,0.9159716801793917,15.616666666666667,-12.38,5.799999999999997,3.0,1.0,-4.799999999999997,9,77,d1_no,F,decline,peak_gt1h_ahead,room_gt2
2026-06-23T10:02:13Z,Amsterdam,2026-06-23,d2_no,26,C,1.0,0.989,0.989,1e-06,0.8602711367021177,,0.8613853691761669,18.033333333333335,-4.97,3.3000000000000007,0.0,2.0,-1.3000000000000007,24,24,d2_no,C,at_high,peak_gt1h_ahead,room_gt2
2026-06-23T10:02:13Z,Ankara,2026-06-23,d1_no,25,C,1.0,0.998,0.998,1e-06,0.684026549095398,,0.6889039120079654,18.033333333333335,-2.97,1.3999999999999986,0.0,1.0,-0.3999999999999986,26,24,d1_no,C,at_high,peak_gt1h_ahead,room_1_2
2026-06-24T08:24:01Z,Amsterdam,2026-06-24,d3_no,31,C,1.0,0.996,0.996,1e-06,0.8840625508136697,,0.8848712738685328,16.4,-5.6,4.0,0.0,3.0,-1.0,19,28,d3_no,C,at_high,peak_gt1h_ahead,room_gt2
2026-06-24T09:37:22Z,Amsterdam,2026-06-24,d1_no,31,C,1.0,0.997,0.997,1e-06,0.6811210849931136,,0.693559846067257,17.616666666666667,-4.38,2.0,0.0,1.0,-1.0,22,30,d1_no,C,at_high,peak_gt1h_ahead,room_1_2
2026-06-24T09:37:22Z,Ankara,2026-06-24,d1_no,26,C,1.0,0.999,0.999,1e-06,0.8075738102174304,,0.8141007423948583,17.616666666666667,-4.38,2.1000000000000014,0.0,1.0,-1.1000000000000014,25,25,d1_no,C,at_high,peak_gt1h_ahead,room_gt2
