leg,p_bucket,rows,dates,avg_p,hit_rate,avg_entry,roi
current_yes,0_25,28,8,0.22626795024227575,0.17857142857142858,0.23603571428571435,-0.2619370609448091
current_yes,25_50,38,8,0.3637936848281149,0.18421052631578946,0.14115789473684212,0.26771633579270304
current_yes,50_70,20,7,0.6280284217114269,0.9,0.7702,0.16209179104814866
current_yes,70_85,27,6,0.7766317176961627,0.8148148148148148,0.7423703703703703,0.09161855275197037
current_yes,85_100,17,4,0.8887832719804843,0.8235294117647058,0.9414117647058824,-0.12740780907682864
d1_no,50_70,21,6,0.6707052740124398,0.8571428571428571,0.8356190476190475,0.01983060613632073
d1_no,70_85,76,13,0.7748394927590642,0.75,0.7773289473684212,-0.04244585535287888
d1_no,85_100,107,9,0.9357918734868277,0.9345794392523364,0.9154205607476634,0.018151503183607018
d2_no,50_70,24,4,0.6750983561075156,0.7083333333333334,0.7195416666666667,-0.02699404692063649
d2_no,70_85,50,8,0.7791676627698252,0.72,0.7780800000000002,-0.08252298025079746
d2_no,85_100,108,8,0.9344507171957862,0.9722222222222222,0.9626296296296296,0.008425636292566362
d3_no,50_70,7,1,0.6527723785059164,1.0,0.7859999999999999,0.2605072281085909
d3_no,70_85,35,3,0.7818977463046636,0.8571428571428571,0.8537428571428571,-0.0010166320740925966
d3_no,85_100,123,10,0.9403342921491025,0.9024390243902439,0.9260731707317074,-0.027935811186251967
