rows,dates,label_rate,prob_mean,auc,brier,log_loss,evidence_layer,scope,model,prob_col,active_numeric,active_categorical,dropped_numeric_all_missing_in_train
31,6,0.45161290322580644,0.5807529210585725,0.5756302521008403,0.2624853062459833,0.720424280126186,historical_best_ask_diagnostic,forward_2026-06-21_plus,logit_mechanism_plus_heuristic_score,p_no_logit_mechanism_plus_heuristic_score,router_ask;forecast_peak_delta_hours_local;minutes_since_running_max;temp_trend_1h_f;wind_speed_kt;relative_humidity_pct;score_route_mult;score_price_mult;score_peak_mult;score_freshness_mult;score_momentum_mult;score_weather_mult;city_source_bias;city_source_hot_underforecast_rate;city_source_cold_overforecast_rate;score_deployed_weight;score_deployed_ratio,router_route;city_family;moisture_cloud_regime;row_forecast_model;city_source_bias_regime,city_source_bias_mae;city_source_bias_p90
283,38,0.5406360424028268,0.5547682068873862,0.7040723981900453,0.21621218712938425,0.6197990896760102,historical_best_ask_diagnostic,all_trainfit_forward_scored,logit_mechanism_plus_heuristic_score,p_no_logit_mechanism_plus_heuristic_score,router_ask;forecast_peak_delta_hours_local;minutes_since_running_max;temp_trend_1h_f;wind_speed_kt;relative_humidity_pct;score_route_mult;score_price_mult;score_peak_mult;score_freshness_mult;score_momentum_mult;score_weather_mult;city_source_bias;city_source_hot_underforecast_rate;city_source_cold_overforecast_rate;score_deployed_weight;score_deployed_ratio,router_route;city_family;moisture_cloud_regime;row_forecast_model;city_source_bias_regime,city_source_bias_mae;city_source_bias_p90
88,21,0.5,0.4628747330752798,0.5,0.25647547851894303,0.7067011371035025,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,p_no_wf_logit_market_route,date_varying,date_varying,date_varying
88,21,0.5,0.4631153098483509,0.540289256198347,0.2682085512785455,0.7395711955800476,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,date_varying,date_varying,date_varying
88,21,0.5,0.4700832952095169,0.5604338842975207,0.26242876879598864,0.7318962748621215,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,date_varying,date_varying,date_varying
88,21,0.5,0.46960092157706657,0.5537190082644629,0.26324267844884064,0.732116232510333,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_plus_heuristic_score,p_no_wf_logit_mechanism_plus_heuristic_score,date_varying,date_varying,date_varying
153,20,0.5490196078431373,0.546309995147362,0.5654761904761905,0.24897799811437452,0.6914017220246994,historical_best_ask_diagnostic,expanding_walk_forward,logit_market_route,p_no_wf_logit_market_route,date_varying,date_varying,date_varying
153,20,0.5490196078431373,0.5381229366229111,0.6157694962042788,0.24219800421674406,0.6791842695840595,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,date_varying,date_varying,date_varying
153,20,0.5490196078431373,0.5360798586554477,0.61783988957902,0.24194938042272846,0.6796200042656855,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,date_varying,date_varying,date_varying
153,20,0.5490196078431373,0.5383152657755326,0.6185300207039338,0.24182337254106848,0.6792445765717787,historical_best_ask_diagnostic,expanding_walk_forward,logit_mechanism_plus_heuristic_score,p_no_wf_logit_mechanism_plus_heuristic_score,date_varying,date_varying,date_varying
