evidence_layer,target_date,city,router_route,router_ask,label_no_win,score_deployed_weight,score_deployed_ratio,p_no_logit_market_route,p_no_wf_logit_market_route,p_no_logit_mechanism_weather,p_no_wf_logit_mechanism_weather,p_no_logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,p_no_logit_mechanism_plus_heuristic_score,p_no_wf_logit_mechanism_plus_heuristic_score
frozen_live_like_route_price,2026-05-20,Beijing,fresh_runway_current_no,0.27,0.0,0.32000000000000006,1.1851851851851853,0.40445660549619766,,0.32818665394054286,,0.3970875053261461,,0.37672904925936024,
frozen_live_like_route_price,2026-05-20,Jeddah,false_fade_reheat_current_no,0.587,0.0,0.11352250000000003,0.1933943781942079,0.5814960541495139,,0.34828644939054504,,0.4257276789462242,,0.4643929292182631,
frozen_live_like_route_price,2026-05-20,Lucknow,fresh_runway_current_no,0.15,1.0,0.6400000000000001,4.2666666666666675,0.3964477080424942,,0.5804507154681977,,0.39962099278768276,,0.4293152258454981,
frozen_live_like_route_price,2026-05-20,Shanghai,cheap_stale_tail_current_no,0.22,1.0,0.23399999999999999,1.0636363636363635,0.4117773681219632,,0.5444798846189925,,0.5974731518481559,,0.5850927191595916,
frozen_live_like_route_price,2026-05-20,Singapore,capped_d2_no,0.62,0.0,0.15380820000000003,0.24807774193548393,0.5520871352418812,,0.46076046750147387,,0.49196836302893904,,0.4932334944859898,
frozen_live_like_route_price,2026-05-21,Guangzhou,false_fade_reheat_current_no,0.65,1.0,0.22713600000000003,0.34944000000000003,0.5857518878781759,,0.6917217142735179,,0.6588943251133617,,0.6537851581406916,
frozen_live_like_route_price,2026-05-21,Jeddah,capped_d2_no,0.6,1.0,0.19597500000000004,0.32662500000000005,0.5507118775023708,,0.6396247065418492,,0.6650833860257719,,0.6546029699624489,
frozen_live_like_route_price,2026-05-21,Manila,capped_d2_no,0.6,0.0,0.17637750000000002,0.29396250000000007,0.5507118775023708,,0.49797271838912904,,0.554184627157339,,0.5499628398054345,
frozen_live_like_route_price,2026-05-21,Munich,capped_d2_no,0.56,0.0,0.25582499999999997,0.456830357142857,0.547959055500568,,0.5970905610649123,,0.5716988181433542,,0.5665585779611431,
frozen_live_like_route_price,2026-05-21,TelAviv,false_fade_reheat_current_no,0.58,0.0,0.19956300000000005,0.3440741379310346,0.5810224217745531,,0.324559939792326,,0.2544258252540018,,0.2812271866548827,
frozen_live_like_route_price,2026-05-21,Warsaw,false_fade_reheat_current_no,0.43,1.0,0.26,0.6046511627906977,0.5708386227474825,,0.41535654774678954,,0.43086449368386553,,0.4192876579147261,
frozen_live_like_route_price,2026-05-22,Helsinki,fresh_runway_current_no,0.31,0.0,0.16000000000000003,0.5161290322580646,0.40713781510714353,,0.2730626475166808,,0.18440271195418073,,0.17111098175022443,
frozen_live_like_route_price,2026-05-22,Manila,capped_d2_no,0.58,0.0,0.18796050000000003,0.32406982758620695,0.5493358440457061,,0.4933012386311576,,0.5474913818191038,,0.5415170441230169,
frozen_live_like_route_price,2026-05-22,Munich,capped_d2_no,0.55,0.0,0.26325,0.4786363636363636,0.5472703845288954,,0.5567832463336533,,0.5402219445938701,,0.5379549217655564,
frozen_live_like_route_price,2026-05-22,NYC,fresh_runway_current_no,0.28,1.0,0.6400000000000001,2.285714285714286,0.40512638013602875,,0.5542476456866016,,0.6295706524809876,,0.6284677037872476,
frozen_live_like_route_price,2026-05-22,Shanghai,fresh_runway_current_no,0.12,0.0,0.4608000000000001,3.8400000000000007,0.3944539477920035,,0.36704950785367224,,0.4361394628587263,,0.4632496302739384,
frozen_live_like_route_price,2026-05-23,Amsterdam,fresh_runway_current_no,0.43,0.0,0.6400000000000001,1.488372093023256,0.4152141020811525,,0.482845376014089,,0.5181109396070253,,0.5235098020623005,
frozen_live_like_route_price,2026-05-23,CapeTown,fresh_runway_current_no,0.49,1.0,0.7296,1.4889795918367348,0.41926968259479763,,0.5581908656058437,,0.5853962216595793,,0.5913275988856903,
frozen_live_like_route_price,2026-05-23,Lucknow,fresh_runway_current_no,0.5,0.0,0.4556800000000001,0.9113600000000002,0.41994669001036256,,0.5172152529543107,,0.32550809626735117,,0.321676909772117,
frozen_live_like_route_price,2026-05-23,Shanghai,fresh_runway_current_no,0.55,1.0,0.44928,0.8168727272727272,0.4233361995064519,,0.4511925842589572,,0.5198964813381022,,0.5169248154378521,
frozen_live_like_route_price,2026-05-25,CapeTown,fresh_runway_current_no,0.55,0.0,0.24960000000000002,0.4538181818181818,0.4233361995064519,,0.2798909948193483,,0.3061261906494799,,0.2965041080982122,
frozen_live_like_route_price,2026-05-25,Shanghai,fresh_runway_current_no,0.17,0.0,0.4992000000000001,2.9364705882352946,0.39777880003101507,,0.5081216982939283,,0.5974570170024163,,0.597536311718451,
frozen_live_like_route_price,2026-05-25,TelAviv,fresh_runway_current_no,0.23,0.0,0.16000000000000003,0.6956521739130436,0.4017810868260978,,0.17679228278229075,,0.1313838522302328,,0.12494004296462503,
frozen_live_like_route_price,2026-05-25,Wuhan,false_fade_reheat_current_no,0.47,0.0,0.19387680000000004,0.41250382978723416,0.5735605456094578,,0.47076833137533897,,0.32031157091863005,,0.32793479397190933,
frozen_live_like_route_price,2026-05-26,Beijing,fresh_runway_current_no,0.452,1.0,0.6371840000000001,1.409699115044248,0.41669984557358203,,0.5245663385298295,,0.5872349562966818,,0.5934001597820001,
frozen_live_like_route_price,2026-05-26,Chongqing,fresh_runway_current_no,0.44,1.0,0.2688000000000001,0.6109090909090911,0.41588925064857896,,0.20400942148094117,,0.3037053465672424,,0.30209273993082925,
frozen_live_like_route_price,2026-05-26,Shanghai,fresh_runway_current_no,0.55,1.0,0.38937600000000006,0.7079563636363637,0.4233361995064519,,0.552069996371835,,0.5864874791281403,,0.573564123112112,
frozen_live_like_route_price,2026-05-26,Taipei,fresh_runway_current_no,0.3,1.0,0.7200000000000001,2.4000000000000004,0.40646698725567343,,0.47069779883087154,,0.4788691511998848,,0.49896607603192655,
frozen_live_like_route_price,2026-05-26,Wuhan,fresh_runway_current_no,0.45,0.0,0.6240000000000001,1.386666666666667,0.41656471501474857,,0.5893941847545278,,0.45149027022337496,,0.45968119960784765,
frozen_live_like_route_price,2026-05-27,SaoPaulo,false_fade_reheat_current_no,0.35,0.0,0.36607999999999996,1.045942857142857,0.5653820615114953,,0.5829462493116031,,0.4321005448775402,,0.4275255025694329,
frozen_live_like_route_price,2026-05-28,Ankara,fresh_runway_current_no,0.5,0.0,0.4556800000000001,0.9113600000000002,0.41994669001036256,,0.4320089348902749,,0.45182732923595603,,0.46180668321268664,
frozen_live_like_route_price,2026-05-28,Beijing,false_fade_reheat_current_no,0.29,1.0,0.65,2.241379310344828,0.5612791421233781,,0.779977658387398,,0.8112368685150899,,0.8103991082604519,
frozen_live_like_route_price,2026-05-28,Chongqing,cheap_stale_tail_current_no,0.29,0.0,0.058499999999999996,0.2017241379310345,0.4164986833825151,,0.4082957825398443,,0.4503720955006768,,0.4773271785617234,
frozen_live_like_route_price,2026-05-28,Jeddah,fresh_runway_current_no,0.393,1.0,0.32000000000000006,0.8142493638676847,0.4127188376081084,,0.2984980763969927,,0.39774659598337586,,0.39499311815175436,
frozen_live_like_route_price,2026-05-28,LA,fresh_runway_current_no,0.41,1.0,0.6400000000000001,1.560975609756098,0.4138647618796547,,0.393474029135093,,0.4759439860627165,,0.48005536037055174,
frozen_live_like_route_price,2026-05-28,Manila,fresh_runway_current_no,0.48,0.0,0.4303872000000001,0.8966400000000002,0.4185929789812253,,0.35260254073601627,,0.44537690378952555,,0.4511584045151362,
frozen_live_like_route_price,2026-05-28,NYC,false_fade_reheat_current_no,0.49,0.0,0.139308,0.2843020408163265,0.5749198484178988,,0.379623387334021,,0.4340467355987178,,0.4185773821333729,
frozen_live_like_route_price,2026-05-28,TelAviv,fresh_runway_current_no,0.48,0.0,0.5977600000000001,1.2453333333333336,0.4185929789812253,,0.4414279433728466,,0.32353282784561244,,0.3451601021664329,
frozen_live_like_route_price,2026-05-28,Wellington,false_fade_reheat_current_no,0.44,1.0,0.45759999999999995,1.0399999999999998,0.571519511964243,,0.6390182470951681,,0.7499900206842093,,0.7392904227118791,
frozen_live_like_route_price,2026-05-28,Wuhan,fresh_runway_current_no,0.3,0.0,0.6720000000000002,2.2400000000000007,0.40646698725567343,,0.4536137569191097,,0.3270046976318727,,0.35296972185582326,
frozen_live_like_route_price,2026-05-29,Atlanta,fresh_runway_current_no,0.49,1.0,0.65664,1.3400816326530613,0.41926968259479763,,0.5260398852734415,,0.597066114846388,,0.6099607783616094,
frozen_live_like_route_price,2026-05-29,CapeTown,fresh_runway_current_no,0.53,1.0,0.52736,0.9950188679245283,0.4219795109164933,,0.41987635393052686,,0.470701903294495,,0.46215135794661094,
frozen_live_like_route_price,2026-05-29,SaoPaulo,fresh_runway_current_no,0.55,0.0,0.234624,0.42658909090909086,0.4233361995064519,,0.21326773031931948,,0.1586672078674752,,0.1709931979710831,
frozen_live_like_route_price,2026-05-29,Seattle,cheap_stale_tail_current_no,0.25,1.0,0.06599999999999999,0.26399999999999996,0.4137988546851891,,0.448425663229986,,0.4640515360827992,,0.48329221202588835,
frozen_live_like_route_price,2026-05-30,Karachi,capped_d2_no,0.56,1.0,0.2039778,0.36424607142857135,0.547959055500568,,0.5383946713186026,,0.5090697762351638,,0.5072813826186184,
frozen_live_like_route_price,2026-05-30,Shanghai,capped_d2_no,0.56,0.0,0.19954349999999998,0.3563276785714285,0.547959055500568,,0.5527217053242542,,0.609319892023503,,0.5970167985966041,
frozen_live_like_route_price,2026-05-30,Tokyo,capped_d2_no,0.42,1.0,0.405,0.9642857142857144,0.5383021353669386,,0.5533504036489819,,0.5384231690141875,,0.5495900585712533,
