trades,dates,cities,wins,win_rate,avg_ask,avg_cost,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_negative_100pct,evidence_layer,scope,model,prob_col,trade_variant
35,27,20,17,0.4857142857142857,0.30685714285714283,0.5197051428571431,18.189680000000006,15.259361420288045,0.8389021368318761,0.1644180034467912,1.4989759943480152,11,frozen_live_like_route_price,train_to_2026_06_20,logit_market_route,p_no_logit_market_route,current_heuristic_score_over_ask_ge_1_size_score
47,29,26,25,0.5319148936170213,0.29921276595744684,0.45669224628708593,21.464535575493038,19.71883769764384,0.91867059635605,0.3227199769120019,1.519955595288434,9,frozen_live_like_route_price,train_to_2026_06_20,logit_market_route,p_no_logit_market_route,model_p_ge_ask_size_probability
53,29,30,24,0.4528301886792453,0.32688679245283025,0.34820288867924537,18.454753100000005,16.634563062032708,0.9013701224771575,0.2132015481335538,1.6160101888729004,9,frozen_live_like_route_price,train_to_2026_06_20,logit_market_route,p_no_logit_market_route,model_p_ge_ask_size_current_score
41,26,22,20,0.4878048780487805,0.27324390243902436,0.45168417328113486,18.51905110452653,17.523711839934254,0.9462532254501426,0.3133896923857926,1.6390013015715288,9,frozen_live_like_route_price,train_to_2026_06_20,logit_market_route,p_no_logit_market_route,model_p_ge_ask_plus_05_size_probability
43,26,24,18,0.4186046511627907,0.284953488372093,0.36466449534883727,15.680573300000002,14.840264017048105,0.9464108061054185,0.16655238572640993,1.8227557060202046,10,frozen_live_like_route_price,train_to_2026_06_20,logit_market_route,p_no_logit_market_route,model_p_ge_ask_plus_05_size_current_score
5,4,5,3,0.6,0.34199999999999997,0.43168912000000004,2.1584456000000003,1.5006429781830464,0.6952424365863314,-0.44997921541702274,2.035841161700242,1,frozen_live_like_route_price,forward_2026-06-21_plus,logit_market_route,p_no_logit_market_route,current_heuristic_score_over_ask_ge_1_size_score
6,6,6,3,0.5,0.33199999999999996,0.47934653528280613,2.876079211696837,1.4076333951760955,0.48942789525800867,-0.6454715524820208,1.816410090791087,3,frozen_live_like_route_price,forward_2026-06-21_plus,logit_market_route,p_no_logit_market_route,model_p_ge_ask_size_probability
7,6,6,3,0.42857142857142855,0.3574285714285715,0.27388072,1.9171650400000002,0.5511297461894203,0.28747120602064613,-0.7463796109676732,2.041503426586944,3,frozen_live_like_route_price,forward_2026-06-21_plus,logit_market_route,p_no_logit_market_route,model_p_ge_ask_size_current_score
5,5,5,2,0.4,0.284,0.4591196533844511,2.2955982669222554,0.9732875134216885,0.42397989554443705,-1.0,2.2914097864117324,3,frozen_live_like_route_price,forward_2026-06-21_plus,logit_market_route,p_no_logit_market_route,model_p_ge_ask_plus_05_size_probability
5,5,5,2,0.4,0.284,0.27078,1.3539,0.5025111498257838,0.371158246418335,-1.0,2.5433640684746113,3,frozen_live_like_route_price,forward_2026-06-21_plus,logit_market_route,p_no_logit_market_route,model_p_ge_ask_plus_05_size_current_score
40,31,23,20,0.5,0.31125,0.50870314,20.348125600000003,16.76000439847109,0.823663305797124,0.2323246014046852,1.4739121194399427,12,frozen_live_like_route_price,all_trainfit_forward_scored,logit_market_route,p_no_logit_market_route,current_heuristic_score_over_ask_ge_1_size_score
53,35,28,28,0.5283018867924528,0.30292452830188676,0.4592568827771674,24.340614787189875,21.12647109281994,0.8679514169025224,0.33236897765194573,1.4201426296241388,12,frozen_live_like_route_price,all_trainfit_forward_scored,logit_market_route,p_no_logit_market_route,model_p_ge_ask_size_probability
60,35,30,27,0.45,0.33044999999999997,0.3395319690000001,20.371918140000005,17.185692808222132,0.8435971856021864,0.21945936382374023,1.5007327068218328,12,frozen_live_like_route_price,all_trainfit_forward_scored,logit_market_route,p_no_logit_market_route,model_p_ge_ask_size_current_score
46,31,23,22,0.4782608695652174,0.27441304347826084,0.452492377640191,20.814649371448787,18.496999353355942,0.8886529397285001,0.25912916707294975,1.5113363018827999,12,frozen_live_like_route_price,all_trainfit_forward_scored,logit_market_route,p_no_logit_market_route,model_p_ge_ask_plus_05_size_probability
48,31,25,20,0.4166666666666667,0.2848541666666667,0.3548848604166667,17.034473300000002,15.342775166873889,0.9006897305638377,0.14274061451757913,1.7066799637591044,13,frozen_live_like_route_price,all_trainfit_forward_scored,logit_market_route,p_no_logit_market_route,model_p_ge_ask_plus_05_size_current_score
35,27,20,17,0.4857142857142857,0.30685714285714283,0.5197051428571431,18.189680000000006,15.259361420288045,0.8389021368318761,0.1644180034467912,1.4989759943480152,11,frozen_live_like_route_price,train_to_2026_06_20,logit_mechanism_weather,p_no_logit_mechanism_weather,current_heuristic_score_over_ask_ge_1_size_score
42,29,23,24,0.5714285714285714,0.3332142857142857,0.5049551382996524,21.208115808585404,18.431642204475228,0.8690843812260676,0.28830747042097754,1.453976749078246,10,frozen_live_like_route_price,train_to_2026_06_20,logit_mechanism_weather,p_no_logit_mechanism_weather,model_p_ge_ask_size_probability
54,29,27,31,0.5740740740740741,0.3702777777777778,0.37294203629629646,20.138869960000008,18.096839003712258,0.8986025054859756,0.27436070814236263,1.5725255642727942,6,frozen_live_like_route_price,train_to_2026_06_20,logit_mechanism_weather,p_no_logit_mechanism_weather,model_p_ge_ask_size_current_score
33,24,19,18,0.5454545454545454,0.28763636363636363,0.4998477643270018,16.49497622279106,16.887083359269806,1.023771306559204,0.32519468439633364,1.7279023785700138,9,frozen_live_like_route_price,train_to_2026_06_20,logit_mechanism_weather,p_no_logit_mechanism_weather,model_p_ge_ask_plus_05_size_probability
39,24,21,21,0.5384615384615384,0.3144102564102564,0.4130952092307693,16.110713160000003,16.261765009810137,1.0093758636448924,0.25496233212911795,1.8552480461711196,6,frozen_live_like_route_price,train_to_2026_06_20,logit_mechanism_weather,p_no_logit_mechanism_weather,model_p_ge_ask_plus_05_size_current_score
5,4,5,3,0.6,0.34199999999999997,0.43168912000000004,2.1584456000000003,1.5006429781830464,0.6952424365863314,-0.44997921541702274,2.035841161700242,1,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather,p_no_logit_mechanism_weather,current_heuristic_score_over_ask_ge_1_size_score
4,4,4,1,0.25,0.2525,0.4756388565760927,1.9025554263043707,1.0235785536280007,0.5380019627687045,-1.0,2.787680197037006,3,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather,p_no_logit_mechanism_weather,model_p_ge_ask_size_probability
5,4,5,2,0.4,0.32599999999999996,0.26721280000000003,1.3360640000000001,0.2886014377880181,0.2160086925386943,-1.0,2.972015346422929,2,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather,p_no_logit_mechanism_weather,model_p_ge_ask_size_current_score
4,4,4,1,0.25,0.2525,0.4756388565760927,1.9025554263043707,1.0235785536280007,0.5380019627687045,-1.0,2.787680197037006,3,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather,p_no_logit_mechanism_weather,model_p_ge_ask_plus_05_size_probability
4,4,4,1,0.25,0.2525,0.27705,1.1082,0.14894285714285682,0.13440070126588777,-1.0,2.972015346422929,3,frozen_live_like_route_price,forward_2026-06-21_plus,logit_mechanism_weather,p_no_logit_mechanism_weather,model_p_ge_ask_plus_05_size_current_score
40,31,23,20,0.5,0.31125,0.50870314,20.348125600000003,16.76000439847109,0.823663305797124,0.2323246014046852,1.4739121194399427,12,frozen_live_like_route_price,all_trainfit_forward_scored,logit_mechanism_weather,p_no_logit_mechanism_weather,current_heuristic_score_over_ask_ge_1_size_score
