trades,dates,cities,wins,win_rate,avg_ask,avg_cost,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_negative_100pct,target_date,evidence_layer,model,dropped_numeric_all_missing_in_train
2,1,2,2,1.0,0.42000000000000004,0.4556337964084439,0.9112675928168879,1.273584479213757,1.3975965888097526,,,0,2026-06-08,frozen_live_like_route_price,logit_market_route,
2,1,2,1,0.5,0.23,0.35658963752190487,0.7131792750438097,1.2237268866997077,1.715875558252216,,,0,2026-06-09,frozen_live_like_route_price,logit_market_route,
1,1,1,0,0.0,0.1,0.37836130882063385,0.37836130882063385,-0.37836130882063385,-1.0,,,1,2026-06-10,frozen_live_like_route_price,logit_market_route,
2,1,2,1,0.5,0.29,0.48495047833208815,0.9699009566641763,1.121564397517774,1.156370029137017,,,0,2026-06-11,frozen_live_like_route_price,logit_market_route,
2,1,2,2,1.0,0.23500000000000001,0.4131344255537474,0.8262688511074948,2.740255192990068,3.3164207864270194,,,0,2026-06-12,frozen_live_like_route_price,logit_market_route,
0,0,0,0,,,,0.0,0.0,,,,0,2026-06-13,frozen_live_like_route_price,logit_market_route,
2,1,2,1,0.5,0.135,0.4292428474014762,0.8584856948029524,3.0710565456483145,3.577294955803791,,,0,2026-06-14,frozen_live_like_route_price,logit_market_route,
2,1,2,1,0.5,0.245,0.429570647383821,0.859141294767642,0.7879395582402661,0.917124532412759,,,0,2026-06-15,frozen_live_like_route_price,logit_market_route,
1,1,1,1,1.0,0.39,0.4272483853141406,0.4272483853141406,0.6682602949785275,1.5641025641025637,,,0,2026-06-16,frozen_live_like_route_price,logit_market_route,
1,1,1,0,0.0,0.38,0.5432256996738362,0.5432256996738362,-0.5432256996738362,-1.0,,,1,2026-06-17,frozen_live_like_route_price,logit_market_route,
0,0,0,0,,,,0.0,0.0,,,,0,2026-06-18,frozen_live_like_route_price,logit_market_route,
2,1,2,1,0.5,0.33,0.4810332363225661,0.9620664726451322,0.3345848433378364,0.3477772616043043,,,0,2026-06-19,frozen_live_like_route_price,logit_market_route,
1,1,1,0,0.0,0.11,0.4473482969918573,0.4473482969918573,-0.4473482969918573,-1.0,,,1,2026-06-20,frozen_live_like_route_price,logit_market_route,
1,1,1,0,0.0,0.29,0.5293090270418533,0.5293090270418533,-0.5293090270418533,-1.0,,,1,2026-06-21,frozen_live_like_route_price,logit_market_route,
1,1,1,0,0.0,0.22,0.3974945080874208,0.3974945080874208,-0.3974945080874208,-1.0,,,1,2026-06-22,frozen_live_like_route_price,logit_market_route,
1,1,1,1,1.0,0.21,0.3660766507426621,0.3660766507426621,1.377145495650967,3.761904761904762,,,0,2026-06-23,frozen_live_like_route_price,logit_market_route,
0,0,0,0,,,,0.0,0.0,,,,0,2026-06-24,frozen_live_like_route_price,logit_market_route,
0,0,0,0,,,,0.0,0.0,,,,0,2026-06-25,frozen_live_like_route_price,logit_market_route,
1,1,1,0,0.0,0.29,0.406501214011684,0.406501214011684,-0.406501214011684,-1.0,,,1,2026-06-26,frozen_live_like_route_price,logit_market_route,
1,1,1,1,1.0,0.31,0.6014878692405673,0.6014878692405673,1.3387955799225528,2.225806451612903,,,0,2026-06-08,frozen_live_like_route_price,logit_mechanism_weather,
2,1,2,2,1.0,0.28,0.47184614447732953,0.9436922889546591,2.5673558621876404,2.720543435860365,,,0,2026-06-09,frozen_live_like_route_price,logit_mechanism_weather,
2,1,2,0,0.0,0.295,0.3999025088655569,0.7998050177311138,-0.7998050177311138,-1.0,,,1,2026-06-10,frozen_live_like_route_price,logit_mechanism_weather,
2,1,2,2,1.0,0.275,0.4615474100509999,0.9230948201019998,3.019139436594263,3.2706709764232618,,,0,2026-06-11,frozen_live_like_route_price,logit_mechanism_weather,
2,1,2,1,0.5,0.26,0.4748105558681368,0.9496211117362736,1.8887201900289727,1.988919756191671,,,0,2026-06-12,frozen_live_like_route_price,logit_mechanism_weather,
0,0,0,0,,,,0.0,0.0,,,,0,2026-06-13,frozen_live_like_route_price,logit_mechanism_weather,
2,1,2,1,0.5,0.135,0.447432299037258,0.894864598074516,1.0722576189370026,1.1982344828973945,,,0,2026-06-14,frozen_live_like_route_price,logit_mechanism_weather,
1,1,1,0,0.0,0.23,0.6457962830998404,0.6457962830998404,-0.6457962830998404,-1.0,,,1,2026-06-15,frozen_live_like_route_price,logit_mechanism_weather,
1,1,1,1,1.0,0.52,0.5688876640108577,0.5688876640108577,0.5251270744715609,0.9230769230769231,,,0,2026-06-16,frozen_live_like_route_price,logit_mechanism_weather,
2,1,2,0,0.0,0.455,0.4921571664149623,0.9843143328299246,-0.9843143328299246,-1.0,,,1,2026-06-17,frozen_live_like_route_price,logit_mechanism_weather,
0,0,0,0,,,,0.0,0.0,,,,0,2026-06-18,frozen_live_like_route_price,logit_mechanism_weather,
2,1,2,1,0.5,0.33,0.47817369183046277,0.9563473836609255,0.4526407557287699,0.4733016092918537,,,0,2026-06-19,frozen_live_like_route_price,logit_mechanism_weather,
1,1,1,0,0.0,0.11,0.5160532742186877,0.5160532742186877,-0.5160532742186877,-1.0,,,1,2026-06-20,frozen_live_like_route_price,logit_mechanism_weather,
1,1,1,0,0.0,0.29,0.5268939744364414,0.5268939744364414,-0.5268939744364414,-1.0,,,1,2026-06-21,frozen_live_like_route_price,logit_mechanism_weather,
1,1,1,0,0.0,0.22,0.2748332536227755,0.2748332536227755,-0.2748332536227755,-1.0,,,1,2026-06-22,frozen_live_like_route_price,logit_mechanism_weather,
1,1,1,1,1.0,0.21,0.46520451568481397,0.46520451568481397,1.7500550828143004,3.7619047619047623,,,0,2026-06-23,frozen_live_like_route_price,logit_mechanism_weather,
0,0,0,0,,,,0.0,0.0,,,,0,2026-06-24,frozen_live_like_route_price,logit_mechanism_weather,
0,0,0,0,,,,0.0,0.0,,,,0,2026-06-25,frozen_live_like_route_price,logit_mechanism_weather,
1,1,1,0,0.0,0.29,0.5108542718809064,0.5108542718809064,-0.5108542718809064,-1.0,,,1,2026-06-26,frozen_live_like_route_price,logit_mechanism_weather,
1,1,1,1,1.0,0.31,0.6814148834050132,0.6814148834050132,1.5166976437079325,2.225806451612903,,,0,2026-06-08,frozen_live_like_route_price,logit_mechanism_weather_citybias,city_source_bias_mae;city_source_bias_p90
2,1,2,2,1.0,0.32499999999999996,0.46583972449423483,0.9316794489884697,2.376121227349272,2.550363464525317,,,0,2026-06-09,frozen_live_like_route_price,logit_mechanism_weather_citybias,city_source_bias_mae;city_source_bias_p90
2,1,2,0,0.0,0.295,0.4262758977321368,0.8525517954642736,-0.8525517954642736,-1.0,,,1,2026-06-10,frozen_live_like_route_price,logit_mechanism_weather_citybias,city_source_bias_mae;city_source_bias_p90
2,1,2,1,0.5,0.26,0.4762068199405932,0.9524136398811864,1.9203330990715828,2.0162805514956132,,,0,2026-06-11,frozen_live_like_route_price,logit_mechanism_weather_citybias,city_source_bias_mae;city_source_bias_p90
1,1,1,1,1.0,0.19,0.676760601791087,0.676760601791087,2.8851373023725286,4.263157894736842,,,0,2026-06-12,frozen_live_like_route_price,logit_mechanism_weather_citybias,city_source_bias_mae;city_source_bias_p90
1,1,1,1,1.0,0.4,0.4295002245303189,0.4295002245303189,0.6442503367954783,1.4999999999999998,,,0,2026-06-13,frozen_live_like_route_price,logit_mechanism_weather_citybias,city_source_bias_mae;city_source_bias_p90
2,1,2,1,0.5,0.16499999999999998,0.4407368184887457,0.8814736369774914,1.2279083161196591,1.3930176293531216,,,0,2026-06-14,frozen_live_like_route_price,logit_mechanism_weather_citybias,city_source_bias_mae;city_source_bias_p90
1,1,1,0,0.0,0.23,0.5030703197349532,0.5030703197349532,-0.5030703197349532,-1.0,,,1,2026-06-15,frozen_live_like_route_price,logit_mechanism_weather_citybias,city_source_bias_mae;city_source_bias_p90
0,0,0,0,,,,0.0,0.0,,,,0,2026-06-16,frozen_live_like_route_price,logit_mechanism_weather_citybias,city_source_bias_mae;city_source_bias_p90
1,1,1,1,1.0,0.61,0.8202206270034584,0.8202206270034584,0.5244033516907358,0.6393442622950821,,,0,2026-06-17,frozen_live_like_route_price,logit_mechanism_weather_citybias,city_source_bias_mae;city_source_bias_p90
0,0,0,0,,,,0.0,0.0,,,,0,2026-06-18,frozen_live_like_route_price,logit_mechanism_weather_citybias,city_source_bias_mae;city_source_bias_p90
2,1,2,1,0.5,0.33,0.46828684127998166,0.9365736825599633,0.6160771021909621,0.6577988615983968,,,0,2026-06-19,frozen_live_like_route_price,logit_mechanism_weather_citybias,city_source_bias_mae;city_source_bias_p90
1,1,1,0,0.0,0.11,0.5622368989745248,0.5622368989745248,-0.5622368989745248,-1.0,,,1,2026-06-20,frozen_live_like_route_price,logit_mechanism_weather_citybias,city_source_bias_mae;city_source_bias_p90
1,1,1,0,0.0,0.29,0.6354580455836776,0.6354580455836776,-0.6354580455836776,-1.0,,,1,2026-06-21,frozen_live_like_route_price,logit_mechanism_weather_citybias,city_source_bias_mae;city_source_bias_p90
1,1,1,0,0.0,0.22,0.28033649370948044,0.28033649370948044,-0.28033649370948044,-1.0,,,1,2026-06-22,frozen_live_like_route_price,logit_mechanism_weather_citybias,city_source_bias_mae;city_source_bias_p90
1,1,1,1,1.0,0.21,0.5196116729562166,0.5196116729562166,1.954729626835291,3.761904761904762,,,0,2026-06-23,frozen_live_like_route_price,logit_mechanism_weather_citybias,city_source_bias_mae;city_source_bias_p90
0,0,0,0,,,,0.0,0.0,,,,0,2026-06-24,frozen_live_like_route_price,logit_mechanism_weather_citybias,city_source_bias_mae;city_source_bias_p90
0,0,0,0,,,,0.0,0.0,,,,0,2026-06-25,frozen_live_like_route_price,logit_mechanism_weather_citybias,city_source_bias_mae;city_source_bias_p90
1,1,1,0,0.0,0.29,0.5523571361290041,0.5523571361290041,-0.5523571361290041,-1.0,,,1,2026-06-26,frozen_live_like_route_price,logit_mechanism_weather_citybias,city_source_bias_mae;city_source_bias_p90
1,1,1,1,1.0,0.31,0.6616379891195453,0.6616379891195453,1.472678104814472,2.2258064516129035,,,0,2026-06-08,frozen_live_like_route_price,logit_mechanism_plus_heuristic_score,city_source_bias_mae;city_source_bias_p90
2,1,2,2,1.0,0.32499999999999996,0.45117757946441617,0.9023551589288323,2.3318742185566914,2.584208884365234,,,0,2026-06-09,frozen_live_like_route_price,logit_mechanism_plus_heuristic_score,city_source_bias_mae;city_source_bias_p90
2,1,2,0,0.0,0.295,0.426421893222139,0.852843786444278,-0.852843786444278,-1.0,,,1,2026-06-10,frozen_live_like_route_price,logit_mechanism_plus_heuristic_score,city_source_bias_mae;city_source_bias_p90
2,1,2,1,0.5,0.26,0.47947657260462434,0.9589531452092487,2.02811999946662,2.1149312764640587,,,0,2026-06-11,frozen_live_like_route_price,logit_mechanism_plus_heuristic_score,city_source_bias_mae;city_source_bias_p90
1,1,1,1,1.0,0.19,0.7789779931129618,0.7789779931129618,3.3209061811657845,4.2631578947368425,,,0,2026-06-12,frozen_live_like_route_price,logit_mechanism_plus_heuristic_score,city_source_bias_mae;city_source_bias_p90
1,1,1,1,1.0,0.4,0.4318011782119027,0.4318011782119027,0.647701767317854,1.4999999999999998,,,0,2026-06-13,frozen_live_like_route_price,logit_mechanism_plus_heuristic_score,city_source_bias_mae;city_source_bias_p90
2,1,2,1,0.5,0.135,0.3813464380417228,0.7626928760834456,0.6308923309350539,0.8271905385753577,,,0,2026-06-14,frozen_live_like_route_price,logit_mechanism_plus_heuristic_score,city_source_bias_mae;city_source_bias_p90
1,1,1,0,0.0,0.23,0.5027832074792027,0.5027832074792027,-0.5027832074792027,-1.0,,,1,2026-06-15,frozen_live_like_route_price,logit_mechanism_plus_heuristic_score,city_source_bias_mae;city_source_bias_p90
0,0,0,0,,,,0.0,0.0,,,,0,2026-06-16,frozen_live_like_route_price,logit_mechanism_plus_heuristic_score,city_source_bias_mae;city_source_bias_p90
1,1,1,1,1.0,0.61,0.8051487502200311,0.8051487502200311,0.514767233747233,0.639344262295082,,,0,2026-06-17,frozen_live_like_route_price,logit_mechanism_plus_heuristic_score,city_source_bias_mae;city_source_bias_p90
0,0,0,0,,,,0.0,0.0,,,,0,2026-06-18,frozen_live_like_route_price,logit_mechanism_plus_heuristic_score,city_source_bias_mae;city_source_bias_p90
2,1,2,1,0.5,0.33,0.44117775916472934,0.8823555183294587,0.5944470264026178,0.6737046621843192,,,0,2026-06-19,frozen_live_like_route_price,logit_mechanism_plus_heuristic_score,city_source_bias_mae;city_source_bias_p90
1,1,1,0,0.0,0.11,0.5834049903365184,0.5834049903365184,-0.5834049903365184,-1.0,,,1,2026-06-20,frozen_live_like_route_price,logit_mechanism_plus_heuristic_score,city_source_bias_mae;city_source_bias_p90
1,1,1,0,0.0,0.29,0.6105807505676842,0.6105807505676842,-0.6105807505676842,-1.0,,,1,2026-06-21,frozen_live_like_route_price,logit_mechanism_plus_heuristic_score,city_source_bias_mae;city_source_bias_p90
