trades,dates,cities,wins,win_rate,avg_ask,avg_cost,cost,pnl,roi,roi_ci_low,roi_ci_high,daily_negative_100pct,evidence_layer,scope,model,prob_col,trade_variant
25,17,16,13,0.52,0.30639999999999995,0.46915382400000005,11.728845600000001,10.923432098930583,0.9313305393781108,0.18773118184658358,1.767156789922184,5,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,p_no_wf_logit_market_route,current_heuristic_score_over_ask_ge_1_size_score
23,16,19,12,0.5217391304347826,0.26826086956521744,0.43985523779327257,10.11667046924527,10.645314693359008,1.0522547636320487,0.3137442719659041,1.7986210113264531,6,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,p_no_wf_logit_market_route,model_p_ge_ask_size_probability
29,16,21,13,0.4482758620689655,0.31724137931034485,0.3411739655172414,9.894045,9.374913855559209,0.9475309497338256,0.14408245962045627,1.7820165403723796,5,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,p_no_wf_logit_market_route,model_p_ge_ask_size_current_score
20,14,17,9,0.45,0.24700000000000003,0.438907724555712,8.77815449111424,8.70346991916672,0.9914919961794794,0.11806814786131127,1.873394613105655,6,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,p_no_wf_logit_market_route,model_p_ge_ask_plus_05_size_probability
21,14,18,8,0.38095238095238093,0.24857142857142855,0.35840047619047627,7.526410000000002,7.488005591274123,0.9948973801950892,-0.06064612356745153,2.086989221900621,6,frozen_live_like_route_price,expanding_walk_forward,logit_market_route,p_no_wf_logit_market_route,model_p_ge_ask_plus_05_size_current_score
25,17,16,13,0.52,0.30639999999999995,0.46915382400000005,11.728845600000001,10.923432098930583,0.9313305393781108,0.18773118184658358,1.767156789922184,5,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,current_heuristic_score_over_ask_ge_1_size_score
22,15,16,10,0.45454545454545453,0.28363636363636363,0.4800795754220138,10.561750659284304,8.35554119286537,0.7911132786987766,-0.1036826238253912,1.6082553542093943,7,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,model_p_ge_ask_size_probability
33,15,19,17,0.5151515151515151,0.3727878787878787,0.3521471624242425,11.620856360000001,8.936272087220036,0.7689856763034661,0.0013506008852260797,1.542921699130108,3,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,model_p_ge_ask_size_current_score
19,14,14,9,0.47368421052631576,0.2757894736842105,0.49925189630762606,9.485786029844895,8.337491083822364,0.8789457254876213,-0.07861735786465618,1.7337227037683418,7,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,model_p_ge_ask_plus_05_size_probability
25,14,16,13,0.52,0.33887999999999996,0.3677324144,9.19331036,9.119008804447216,0.9919178671617496,0.04645264045792339,1.9475024000664212,4,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather,p_no_wf_logit_mechanism_weather,model_p_ge_ask_plus_05_size_current_score
25,17,16,13,0.52,0.30639999999999995,0.46915382400000005,11.728845600000001,10.923432098930583,0.9313305393781108,0.18773118184658358,1.767156789922184,5,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,current_heuristic_score_over_ask_ge_1_size_score
21,16,16,11,0.5238095238095238,0.2866666666666666,0.5066384470230482,10.639407387484011,10.889431426486276,1.0234998087672051,0.216225052928244,1.7923805098777774,6,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,model_p_ge_ask_size_probability
30,16,19,15,0.5,0.33973333333333333,0.36900156533333334,11.07004696,9.127708081610743,0.8245410443688617,0.056450706004336194,1.6380678717972101,4,frozen_live_like_route_price,expanding_walk_forward,logit_mechanism_weather_citybias,p_no_wf_logit_mechanism_weather_citybias,model_p_ge_ask_size_current_score
