label,period,rows,dates,cities,win_rate,avg_entry,avg_net_ev,cost,pnl,roi,roi_ci_low,roi_ci_high,top5_removed_roi,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi
current_selected_yes_baseline,full,333,53.0,47.0,0.15015015015015015,0.10407957957957958,,294.70511625,123.29488374999998,0.41836696057020006,0.10665506460761068,0.7630413743495473,0.28273762421471893,19.0,16.0,-11.037585,-1.0
current_selected_yes_baseline,train_le_2026_06_20,275,44.0,46.0,0.14545454545454545,0.1051509090909091,,247.1729376,86.82706239999999,0.3512806185137963,-0.0008053250059428215,0.7641134404618668,0.18652589086227245,18.0,15.0,-11.037585,-1.0
current_selected_yes_baseline,recent_ge_2026_06_21,58,9.0,28.0,0.1724137931034483,0.099,,47.532178650000006,36.467821349999994,0.7672238552019326,0.31739456109401154,1.3387156726271483,-0.08439214331853122,1.0,1.0,-4.2643981250000005,-1.0
current_selected_yes_baseline,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,
physics_ev_positive_cap20,full,315,53.0,45.0,0.06984126984126984,0.04758888888888889,0.04573149597133102,122.5768995,55.423100500000004,0.4521496360739652,-0.1110340138296745,1.1099994085092917,0.11841357019416332,35.0,35.0,-7.61349415,-1.0
physics_ev_positive_cap20,train_le_2026_06_20,260,44.0,44.0,0.08076923076923077,0.05138461538461539,0.0467631075429719,110.06919635,59.930803649999994,0.5444829765035347,-0.04651343521321148,1.213571167878823,0.17716163578021862,27.0,27.0,-7.61349415,-1.0
physics_ev_positive_cap20,recent_ge_2026_06_21,55,9.0,27.0,0.01818181818181818,0.02964545454545454,0.04085478672357414,12.507703150000003,-4.50770315,-0.3603941583791105,-1.0,1.4068970079472471,-1.0,8.0,8.0,-4.048410975,-1.0
physics_ev_positive_cap20,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,
physics_same_count_cap20,full,333,53.0,47.0,0.11411411411411411,0.07275375375375376,0.024494932863792694,214.00705167499999,117.99294832500001,0.5513507494331963,0.1331493245703176,1.0096706384844363,0.3676815286078652,24.0,23.0,-11.962969425,-1.0
physics_same_count_cap20,train_le_2026_06_20,275,44.0,46.0,0.11272727272727273,0.07574181818181819,0.025872265836190674,184.70809975,83.29190025,0.450937995478999,-0.002433070202003921,0.9655909408045094,0.23240850106395416,22.0,21.0,-11.962969425,-1.0
physics_same_count_cap20,recent_ge_2026_06_21,58,9.0,28.0,0.1206896551724138,0.05858620689655174,0.017964474805009144,29.298951925,34.701048074999996,1.1843784775588007,0.5493434076933181,2.064730503658031,-0.2411636677848069,2.0,2.0,-2.720543075,-1.0
physics_same_count_cap20,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,
market_blend_ev_positive_cap20,full,318,53.0,45.0,0.04716981132075472,0.034168238993710694,0.023512247108637207,87.822913125,28.177086875,0.3208398113018071,-0.29689818875169344,0.997270974806705,-0.13423974006864164,41.0,41.0,-3.941482,-1.0
market_blend_ev_positive_cap20,train_le_2026_06_20,263,44.0,44.0,0.049429657794676805,0.03543346007604562,0.024962748500443332,76.576725825,25.423274175000003,0.3319974039253069,-0.35543302702148505,1.0958264410916359,-0.1938991503773697,34.0,34.0,-3.941482,-1.0
market_blend_ev_positive_cap20,recent_ge_2026_06_21,55,9.0,27.0,0.03636363636363636,0.028118181818181823,0.0165762131805461,11.246187300000003,2.7538127000000023,0.24486633794548324,-1.0,1.4109217070750422,-1.0,7.0,7.0,-3.0469714,-1.0
market_blend_ev_positive_cap20,fresh_ge_2026_07_04,0,,,,,,,,,,,,,,,
market_blend_same_count_cap20,full,333,53.0,47.0,0.06906906906906907,0.05320570570570571,0.008305947551039783,152.362650075,33.637349925,0.22077162551610996,-0.2707872888081292,0.7612197666426544,-0.05287746678327093,37.0,37.0,-8.364791175,-1.0
market_blend_same_count_cap20,train_le_2026_06_20,275,44.0,46.0,0.05818181818181818,0.05119818181818182,0.00980227901065159,122.324458025,3.675541974999998,0.030047482198930414,-0.522839272385508,0.663275233907929,-0.3163123179916974,34.0,34.0,-8.364791175,-1.0
