model,period,rows,dates,wins,win_rate,avg_p,brier,logloss
physics,full,1176,53,160,0.1360544217687075,0.1453301250633756,0.11128698887732626,0.3660888667604372
physics,train_le_2026_06_20,970,44,133,0.13711340206185568,0.14736772131336276,0.11115366585542433,0.3651587884908038
physics,recent_ge_2026_06_21,206,9,27,0.13106796116504854,0.13573561844935833,0.1119147720387092,0.3704683615252161
market_blend,full,1176,53,160,0.1360544217687075,0.1451844323676934,0.09460064398342992,0.3048515710651211
market_blend,train_le_2026_06_20,970,44,133,0.13711340206185568,0.1487086973250256,0.09457643238449644,0.3038258189679825
market_blend,recent_ge_2026_06_21,206,9,27,0.13106796116504854,0.1285895925200613,0.09471465005607788,0.3096815688040748
attention_blend,full,1176,53,160,0.1360544217687075,0.14509983203730237,0.09440983189435855,0.30436330092067987
attention_blend,train_le_2026_06_20,970,44,133,0.13711340206185568,0.14877980081598724,0.09401552317415664,0.30241241412969766
attention_blend,recent_ge_2026_06_21,206,9,27,0.13106796116504854,0.12777182371048523,0.09626652829530928,0.31354951542190673
