target_date,current_bracket,decision_ts_utc,source_obs_ts_utc,market_probability,effective_cost,p_v2_compact_r16,fade_reheat_p_eod,fmi_minus_official_latest_temp_c,forecast_current_innovation_c,forecast_future_peak_margin_vs_boundary_c,forecast_future_reheat_strength_c,forecast_peak_h,global_radiation_slope_30m,local_hour_cos,local_hour_sin,official_latest_pullback_c,official_report_age_min,temp_slope_30m_cph,weather_market_logit_gap,bracket_transition_ts_utc,minutes_since_bracket_transition,log_minutes_since_bracket_transition,forecast_bias_corrected_future_peak_margin_vs_boundary_c,market_logit,p_structural_margin_r16,p_structural_margin_r16_would_enter,p_structural_margin_transition_r16,p_structural_margin_transition_r16_would_enter,p_structural_margin_transition_hgb,p_structural_margin_transition_hgb_would_enter
2026-07-31,21,2026-07-31 06:01:52.588772+00:00,2026-07-31 06:00:00+00:00,0.998,0.99904995,0.9992069134392063,0.0,0.0,1.1961600064814846,2.0,3.6961600064814846,5.968725341111111,,-0.7101853756232854,0.7040147244559682,0.0,11.876479533333333,1.2000000000000028,-2.3627348236034935,2026-07-31 06:00:00+00:00,1.8764795333333335,1.0565671621675596,3.1961600064814846,6.212606095751518,0.9992310393276826,True,0.999275282555306,True,0.9847343910913223,False
2026-07-31,21,2026-07-31 06:12:52.710956+00:00,2026-07-31 06:10:00+00:00,0.998,0.99904995,0.9992967236657153,0.0,0.3999999999999986,1.4433539453703723,2.0,3.5433539453703737,5.7853580677777785,,-0.743144825477394,0.6691306063588585,0.0,22.878515933333333,1.3999999999999986,-1.8867762648728368,2026-07-31 06:00:00+00:00,12.878515933333334,2.6303420281325893,3.4433539453703723,6.212606095751518,0.9993238831558809,True,0.9993388359527952,True,0.9847343910913223,False
2026-07-31,22,2026-07-31 06:31:52.507514+00:00,2026-07-31 06:30:00+00:00,0.997,0.9980998,0.99867987949484,0.0,-0.3999999999999986,1.3795121495370424,1.0,3.279512149537041,5.468747912777777,,-0.7960020025346219,0.6052939880428945,0.0,11.875125233333334,1.2000000000000028,-2.572551889408677,2026-07-31 06:30:00+00:00,1.8751252333333333,1.0560962327209196,2.3795121495370424,5.806138481293727,0.9987455061151455,True,0.9987945472576985,True,0.9847343910913223,False
2026-07-31,22,2026-07-31 06:42:52.892403+00:00,2026-07-31 06:40:00+00:00,0.997,0.9980998,0.9989485480421777,0.0,0.1999999999999993,1.8266452770833368,1.0,3.1266452770833375,5.285307665833333,,-0.8241261886220155,0.5664062369248332,0.0,22.88154005,1.6000000000000014,-2.091624985044826,2026-07-31 06:30:00+00:00,12.88154005,2.6305599035346017,2.826645277083337,5.806138481293727,0.9990151990181014,True,0.99902365957087,True,0.9847343910913223,False
2026-07-31,22,2026-07-31 06:52:52.552965+00:00,2026-07-31 06:50:00+00:00,0.997,0.9980998,0.9992093219171816,0.0,0.5,1.9878349618055609,1.0,2.987834961805561,5.118735287500001,,-0.848048096156426,0.529919264233205,0.0,2.87588275,2.0,-1.5598609455059833,2026-07-31 06:30:00+00:00,22.875882750000002,3.1728688595052685,2.987834961805561,5.806138481293727,0.9992606251608808,True,0.9991963462460842,True,0.9847343910913223,False
2026-07-31,22,2026-07-31 07:01:52.422619+00:00,2026-07-31 07:00:00+00:00,0.9975,0.99904995,0.9992871777887596,0.0,0.5,1.8576603836111154,1.0,2.8576603836111154,4.968771494722222,,-0.8681988144891424,0.49621650367520803,0.0,11.873710316666667,1.7999999999999972,-1.6791559425870748,2026-07-31 06:30:00+00:00,31.873710316666667,3.4926732598171353,2.8576603836111154,5.988961416889885,0.9993310195927853,True,0.9992861539036229,True,0.9847343910913223,False
2026-07-31,22,2026-07-31 07:12:52.680212+00:00,2026-07-31 07:10:00+00:00,0.9975,0.99904995,0.9990514491915076,0.0,0.6000000000000014,1.7742554966666688,1.0,2.6742554966666674,4.785366607777778,,-0.8910065241883676,0.4539904997395473,0.0,22.878003533333334,0.8000000000000043,-1.4437446735235184,2026-07-31 06:30:00+00:00,42.878003533333334,3.7814131360431738,2.774255496666669,5.988961416889885,0.9991115427667291,True,0.9991039112602246,True,0.9847343910913223,False
2026-07-31,23,2026-07-31 07:31:52.959368+00:00,2026-07-31 07:30:00+00:00,0.965,0.98098,0.9870860622400496,0.0,0.1999999999999993,2.057511286666667,0.0,2.357511286666668,4.468622397777778,,-0.9255405040175664,0.37864861735243294,0.0,11.882656133333334,1.3999999999999986,-0.8193520258816189,2026-07-31 07:30:00+00:00,1.8826561333333334,1.0587121376380697,2.057511286666667,3.3167800398495713,0.9881381251374359,True,0.988972339018923,True,0.9847343910913223,True
2026-07-31,23,2026-07-31 07:42:54.053786+00:00,2026-07-31 07:40:00+00:00,0.965,0.98098,0.9868914317816702,0.0,0.3000000000000007,1.9738739483333312,0.0,2.1738739483333305,4.284985059444445,,-0.9426414910921783,0.3338068592337712,0.0,22.900896433333333,1.3999999999999986,-0.8120501097639048,2026-07-31 07:30:00+00:00,12.900896433333333,2.6319533296638666,1.9738739483333312,3.3167800398495713,0.9879224760314901,True,0.988226337360002,True,0.9847343910913223,True
2026-07-31,24,2026-07-31 08:01:53.247325+00:00,2026-07-31 08:00:00+00:00,0.9299999999999999,0.94282,0.9667581537589406,0.0,-0.3000000000000007,1.9550584070216068,-0.7777777777777786,1.977280629243829,3.968542409722222,,-0.9670459389139432,0.2546019482055273,0.0,11.887455416666667,1.0,-1.2413193135041845,2026-07-31 08:00:00+00:00,1.8874554166666668,1.060375635613272,1.1772806292438283,2.5866893440979415,0.9696463463768751,True,0.9713717301059008,True,0.9847343910913223,True
