grain,evidence,metric,challenger,baseline,delta,ci_low,ci_high,probability_challenger_better
checkpoint,active_first_after_source,brier,p_structural_margin_transition_hgb,p_frozen_old,-0.01183188741426474,-0.050103010473981774,0.01669728520269542,0.7274
checkpoint,active_first_after_source,logloss,p_structural_margin_transition_hgb,p_frozen_old,-0.0267431740264846,-0.14092915522150343,0.06301343754175749,0.6678
checkpoint,active_first_after_source,brier,p_structural_margin_transition_hgb,p_v2_compact_r16,-0.0028928334952021168,-0.041978962129924004,0.036142184331260825,0.5752
checkpoint,active_first_after_source,logloss,p_structural_margin_transition_hgb,p_v2_compact_r16,-0.013259452073795452,-0.14158835574726353,0.12280806758838216,0.641
checkpoint,full_ladder_before_source,brier,p_v2_compact_r16,market_probability,-0.021190504689968883,-0.04077341297688785,-0.005018831261602831,1.0
checkpoint,full_ladder_before_source,logloss,p_v2_compact_r16,market_probability,-0.05634235065548608,-0.10440105387734877,-0.018317303064892678,1.0
checkpoint,full_ladder_before_source,brier,p_v2_compact_r16,p_frozen_old,0.0001339383897666981,-0.019427994015500504,0.01819855168693513,0.4888
checkpoint,full_ladder_before_source,logloss,p_v2_compact_r16,p_frozen_old,0.018901233473663705,-0.0338183488263719,0.07085450082177651,0.2374
checkpoint,full_ladder_before_source,brier,p_structural_margin_r16,market_probability,-0.01972967035595058,-0.03710659930852455,-0.004877523551107023,1.0
checkpoint,full_ladder_before_source,logloss,p_structural_margin_r16,market_probability,-0.05247360212030526,-0.09514842082347448,-0.019012896632156284,1.0
checkpoint,full_ladder_before_source,brier,p_structural_margin_r16,p_frozen_old,0.0015947727237849991,-0.019135132627104447,0.021802127752597853,0.4284
checkpoint,full_ladder_before_source,logloss,p_structural_margin_r16,p_frozen_old,0.02276998200884453,-0.03376338410678814,0.08172809333859136,0.2246
checkpoint,full_ladder_before_source,brier,p_structural_margin_r16,p_v2_compact_r16,0.0014608343340182998,-0.0006381648856514196,0.004193143905234571,0.1254
checkpoint,full_ladder_before_source,logloss,p_structural_margin_r16,p_v2_compact_r16,0.0038687485351808232,-0.002298725343190395,0.01214079381669827,0.1502
checkpoint,full_ladder_before_source,brier,p_structural_margin_transition_r16,market_probability,-0.020048730973220585,-0.03776248159537157,-0.004981164304608413,1.0
checkpoint,full_ladder_before_source,logloss,p_structural_margin_transition_r16,market_probability,-0.05306014077384469,-0.09452284180035933,-0.018422771238546715,1.0
checkpoint,full_ladder_before_source,brier,p_structural_margin_transition_r16,p_frozen_old,0.0012757121065149922,-0.019505721031198336,0.02093783184478823,0.4426
checkpoint,full_ladder_before_source,logloss,p_structural_margin_transition_r16,p_frozen_old,0.022183443355305105,-0.034580493383781274,0.08077172022908659,0.2308
