window,mode,arm,capacity,rows,dates,cities,wins,win_rate,avg_ask,cost,pnl,roi,top5_removed_roi,losing_days,max_daily_loss
oos_all,rank_all,old,1,41,41,17,9,0.21951219512195122,0.10709756097560975,4.391,4.416781575,1.005871458665452,-0.010935999225406699,32,-0.19253875
oos_all,rank_all,source,1,41,41,13,5,0.12195121951219512,0.12335365853658536,5.0575,-0.2747483875000002,-0.05432494068215525,-1.0431040265181954,36,-0.20800000000000002
oos_all,rank_all,overshoot,1,41,41,13,8,0.1951219512195122,0.1329512195121951,5.451,2.3166590500000006,0.42499707393138886,-0.42090648570244515,33,-0.20800000000000002
oos_all,rank_all,hybrid,1,41,41,17,9,0.21951219512195122,0.10709756097560975,4.391,4.416781575,1.005871458665452,-0.010935999225406699,32,-0.19253875
oos_all,rank_all,old,3,123,41,35,17,0.13821138211382114,0.10125609756097562,12.454500000000001,3.996760187499999,0.3209089234814725,-0.05409394204990721,26,-0.46389875
oos_all,rank_all,source,3,123,41,28,18,0.14634146341463414,0.11745121951219514,14.446500000000002,2.9276362874999995,0.2026536730349911,-0.12057537084353592,28,-0.53627625
oos_all,rank_all,overshoot,3,123,41,29,18,0.14634146341463414,0.12069918699186992,14.846,2.5129474999999997,0.16926764785127305,-0.14064944463727871,27,-0.53627625
oos_all,rank_all,hybrid,3,123,41,35,17,0.13821138211382114,0.10117479674796749,12.444500000000001,4.0071701875,0.322003309695046,-0.053279158926728604,26,-0.46389875
oos_all,rank_all,old,5,205,41,39,26,0.12682926829268293,0.10085853658536587,20.676000000000002,4.412325125,0.2134032271715999,-0.013477004711194009,19,-0.6780475
oos_all,rank_all,source,5,205,41,39,27,0.13170731707317074,0.11049512195121951,22.6515,3.3615782124999996,0.1484042210228903,-0.058942010897536326,22,-0.7831021375
oos_all,rank_all,overshoot,5,205,41,38,27,0.13170731707317074,0.11274878048780489,23.113500000000002,2.8818855875000002,0.1246840845177061,-0.07827331099607361,23,-0.7831021375
oos_all,rank_all,hybrid,5,205,41,39,27,0.13170731707317074,0.10110243902439024,20.726,5.360032624999999,0.2586139450448711,0.03295082856023883,19,-0.6780475
oos_all,policy,old,1,41,41,17,5,0.12195121951219512,0.09295121951219512,3.811,1.0186154499999998,0.2672829834689057,-1.0452315003178638,36,-0.1501632
oos_all,policy,source,1,39,39,13,5,0.1282051282051282,0.12658974358974356,4.936999999999999,-0.1485886500000001,-0.03009695159003446,-1.0429940613931523,34,-0.20800000000000002
oos_all,policy,overshoot,1,39,39,12,8,0.20512820512820512,0.13643589743589737,5.320999999999998,2.45273655,0.4609540593873334,-0.4035811754684839,31,-0.20800000000000002
oos_all,policy,hybrid,1,41,41,17,5,0.12195121951219512,0.09295121951219512,3.811,1.0186154499999998,0.2672829834689057,-1.0452315003178638,36,-0.1501632
oos_all,policy,old,3,122,41,34,18,0.14754098360655737,0.09920901639344261,12.103499999999999,5.3613997625000005,0.4429627597389186,0.05933100755453702,24,-0.46367375
oos_all,policy,source,3,111,39,27,15,0.13513513513513514,0.12143693693693695,13.479500000000002,0.9387706624999992,0.06964432378797426,-0.2752442382999962,28,-0.53627625
oos_all,policy,overshoot,3,110,39,27,16,0.14545454545454545,0.12476363636363638,13.724000000000002,1.6856336500000002,0.12282378679685223,-0.2138815458245403,27,-0.53627625
oos_all,policy,hybrid,3,122,41,34,19,0.1557377049180328,0.09957786885245902,12.1485,6.3145260125,0.519778245256616,0.1397010696769829,23,-0.46367375
oos_all,policy,old,5,191,41,39,24,0.1256544502617801,0.09991099476439792,19.083000000000002,4.07360615,0.21346780642456634,-0.032383042228020645,20,-0.750555
oos_all,policy,source,5,174,39,35,23,0.13218390804597702,0.11542241379310346,20.0835,2.0454454625,0.10184706164264197,-0.13038061965866157,23,-0.7831021375
oos_all,policy,overshoot,5,175,39,34,22,0.12571428571428572,0.11797428571428571,20.6455,0.4617672875000005,0.022366486038119714,-0.2048636567053777,24,-0.7831021375
oos_all,policy,hybrid,5,191,41,39,24,0.1256544502617801,0.09991099476439792,19.083000000000002,4.07360615,0.21346780642456634,-0.032383042228020645,20,-0.750555
recent_ge_2026_06_21,rank_all,old,1,20,20,11,4,0.2,0.10679999999999998,2.1359999999999997,1.7706352499999993,0.8289490870786514,-1.0442793666666668,16,-0.19253875
