label,period,rows,dates,cities,win_rate,avg_entry,avg_cost,stop_hit_rate,cost,pnl,roi,roi_ci_low,roi_ci_high,losing_days,le_minus50pct_days,max_daily_loss_usd,max_daily_loss_roi,avg_score,avg_shares
dist_gt0_all,full,333,53,47,0.15015015015015015,0.10407957957957958,0.8850003490990991,0.0,294.70511625,123.29488374999998,0.41836696057020006,0.10665506460761068,0.7630413743495473,19,16,-11.037585,-1.0,0.16560365665751475,7.60960960960961
dist_gt0_all,train_le_2026_06_20,275,44,46,0.14545454545454545,0.1051509090909091,0.8988106821818183,0.0,247.1729376,86.82706239999999,0.3512806185137963,-0.0008053250059428215,0.7641134404618668,18,15,-11.037585,-1.0,0.1674010244128661,7.658181818181818
dist_gt0_all,recent_ge_2026_06_21,58,9,28,0.1724137931034483,0.099,0.8195203215517243,0.0,47.532178650000006,36.467821349999994,0.7672238552019326,0.31739456109401154,1.3387156726271483,1,1,-4.2643981250000005,-1.0,0.15708165436921073,7.379310344827586
dist_gt0_score_mid_high,full,218,52,45,0.1926605504587156,0.12165825688073394,1.0949560699541285,0.0,238.70042325000003,127.29957674999999,0.5333026855033026,0.14998582620252335,0.9611179930381408,21,20,-10.252522500000001,-1.0,0.19870263614509454,8.229357798165138
dist_gt0_score_mid_high,train_le_2026_06_20,183,44,45,0.18579234972677597,0.12176229508196719,1.0981493599726775,0.0,200.96133287499998,93.038667125,0.462968003814301,0.031782365779690167,0.9637945210277225,20,19,-10.252522500000001,-1.0,0.19926670051775874,8.240437158469945
dist_gt0_score_mid_high,recent_ge_2026_06_21,35,8,25,0.22857142857142856,0.12111428571428573,1.0782597250000001,0.0,37.739090375,34.260909625,0.9078361265351509,0.33523579014406246,1.5352052633388291,1,1,-3.918805625,-1.0,0.19575338528230735,8.17142857142857
dist_gt0_score_high,full,110,47,39,0.2818181818181818,0.14835454545454543,1.4365374102272728,0.0,158.019115125,127.980884875,0.8099076163903433,0.2935870907763036,1.3520019108963008,21,21,-8.3491225,-1.0,0.24343820659058837,9.090909090909092
dist_gt0_score_high,train_le_2026_06_20,92,39,36,0.2608695652173913,0.14840760869565217,1.4408750823369563,0.0,132.56050757499997,89.439492425,0.6747069248689848,0.07069812970687456,1.3165345196800133,20,20,-8.3491225,-1.0,0.2449556141148341,9.108695652173912
dist_gt0_score_high,recent_ge_2026_06_21,18,8,16,0.3888888888888889,0.14808333333333337,1.414367086111111,0.0,25.45860755,38.54139245,1.513884542754578,0.7984837428248379,2.5439271064241042,1,1,-1.7188875000000001,-1.0,0.2356825681333323,9.0
dist_gt0_score_low,full,115,46,34,0.06956521739130435,0.07075652173913044,0.4869973304347827,0.0,56.00469300000001,-4.004693000000001,-0.07150638250976575,-0.6120170118633996,0.5304579022590674,38,38,-3.718003675,-1.0,0.10285950423758088,6.434782608695652
dist_gt0_score_low,train_le_2026_06_20,92,37,31,0.06521739130434782,0.07210869565217391,0.5023000513586957,0.0,46.211604725,-6.211604724999999,-0.13441655536449235,-0.7080522181092694,0.5051803976105993,31,31,-3.718003675,-1.0,0.1040160382476993,6.5
dist_gt0_score_low,recent_ge_2026_06_21,23,9,15,0.08695652173913043,0.06534782608695652,0.4257864467391305,0.0,9.793088275000002,2.2069117250000003,0.22535401121971402,-1.0,2.314721105972794,7,7,-1.8688685250000001,-1.0,0.09823336819710723,6.173913043478261
dist_gt0_all_score_tier_conservative,full,333,53,47,0.15015015015015015,0.10407957957957958,0.9615877530968469,0.0,320.20872178125,156.29127821875,0.4880918837854769,0.1504051603857666,0.8621000862317227,19,17,-12.9286,-1.0,0.16560365665751475,7.804804804804805
dist_gt0_all_score_tier_conservative,train_le_2026_06_20,275,44,46,0.14545454545454545,0.1051509090909091,0.9773096847727274,0.0,268.7601633125,110.7398366875,0.41203962418618423,0.025732272645591196,0.8592160591640979,18,16,-12.9286,-1.0,0.1674010244128661,7.876363636363636
dist_gt0_all_score_tier_conservative,recent_ge_2026_06_21,58,9,28,0.1724137931034483,0.099,0.8870441115301724,0.0,51.44855846875,45.55144153125,0.8853783835152169,0.43424946391871844,1.4451622752910447,1,1,-4.607721875,-1.0,0.15708165436921073,7.4655172413793105
dist_gt0_all_score_tier_balanced,full,333,53,47,0.15015015015015015,0.10407957957957958,1.0381751570945945,0.0,345.7123273125,189.2876726875,0.5475294275994881,0.18046664209688093,0.9453440178991611,20,17,-14.819615,-1.0,0.16560365665751475,8.0
