spread_bucket,rows,dates,cities,cost_usd,pnl_usd,roi,roi_ci_low,roi_ci_high,avg_spread,avg_top_ask_notional,win_rate
mid_3c_to_8c,4,4,4,10.19628,4.29372,0.42110652120185016,-1.0,2.261089730605631,0.05025,2.55005425,0.5
tight_le_3c,4,3,4,10.1217,6.358300000000001,0.628184988687671,-1.0,2.170028818443804,0.02,2.640758,0.5
wide_gt_8c,4,3,4,9.38072,2.659280000000001,0.28348357055748397,-1.0,1.7027027027027033,0.13125,2.6097182500000002,0.5
