quality_bucket,rows,dates,cities,cost_usd,pnl_usd,roi,roi_ci_low,roi_ci_high,avg_spread,avg_top_ask_notional,win_rate
thin_or_wide,8,4,7,17.6935,7.476500000000003,0.4225563059880749,-1.0,1.6577685354156946,0.0795,2.351305625,0.5
not_thin_or_wide,4,2,3,12.0052,5.8347999999999995,0.4860227234864891,,,0.0425,3.09791925,0.5
