depth_bucket,rows,dates,cities,cost_usd,pnl_usd,roi,roi_ci_low,roi_ci_high,avg_spread,avg_top_ask_notional,win_rate
small_2_5_to_5,6,2,5,17.858420000000002,6.311580000000001,0.35342320317250914,,,0.0725,3.0416706666666666,0.5
thin_lt_2_5,6,3,5,11.84028,6.999720000000002,0.5911785869928753,-1.0,2.3190897346715693,0.06183333333333333,2.158683,0.5
