source_path,created_at_utc,candidate_status,execution_skip_reason,strategy_instance,city,target_date,bracket,token_id,market_id,route_leg,expression,rule_id,decision_snapshot_ts_utc,ask,bid,spread,top_ask_notional,ask_size,spread_bucket,depth_bucket,quality_bucket,soft_weight_to_ask_ratio,soft_shares,city_source_bias_regime,dedupe_key,final_price,settlement_status
runtime/weather_edge_v1/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-06-27T08:29:22+00:00,blocked,ask_above_max|soft_size_below_min_shares,regime_routed_no_soft_balanced_tiny_live_v1,Ankara,2026-06-27,25,4130960004326732947129124377841796173273777997363198551024157272329349369805,2688148,runway_current_no,current_bracket_no,routed_d2_relaxed70_best_ask_soft_balanced_min5shares_v1,2026-06-27T08:00:17Z,0.99,0.971,0.019000000000000017,188.001,189.9,tight_le_3c,usable_ge_5,not_thin_or_wide,,0.41045454545454546,,Ankara|2026-06-27|25|4130960004326732947129124377841796173273777997363198551024157272329349369805|routed_d2_relaxed70_best_ask_soft_balanced_min5shares_v1,,
runtime/weather_edge_v1/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-06-27T10:32:42+00:00,blocked,soft_size_below_min_shares,regime_routed_no_soft_balanced_tiny_live_v1,Ankara,2026-06-27,28,15762328329362658766276764296069614114025454717137238495964321851630504414492,2679230,capped_d2_no,d2_no,routed_d2_relaxed70_best_ask_soft_balanced_min5shares_v1,2026-06-27T10:00:17Z,0.41,0.35,0.06,2.8699999999999997,7.0,mid_3c_to_8c,small_2_5_to_5,not_thin_or_wide,,1.2817198357391737,,Ankara|2026-06-27|28|15762328329362658766276764296069614114025454717137238495964321851630504414492|routed_d2_relaxed70_best_ask_soft_balanced_min5shares_v1,,
runtime/weather_edge_v1/remote_pm_agent/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-06-30T07:58:50+00:00,blocked,ask_above_route_price_cap|soft_size_below_min_shares,regime_routed_no_route_price_disciplined_tiny_live_v1,Ankara,2026-06-30,27,51229849421255130097400089605449760779852519013910856080650928149508729485325,2716918,fresh_runway_current_no,current_bracket_no,route_price_disciplined_no_pullback_row_risk_soft_min5shares_v1,2026-06-30T07:26:03Z,0.999,0.998,0.0010000000000000009,532.55691,533.09,tight_le_3c,usable_ge_5,not_thin_or_wide,,1.8018018018018016,,Ankara|2026-06-30|27|51229849421255130097400089605449760779852519013910856080650928149508729485325|route_price_disciplined_no_pullback_row_risk_soft_min5shares_v1,,
runtime/weather_edge_v1/remote_pm_agent/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-06-30T09:57:10+00:00,blocked,ask_above_route_price_cap|soft_size_below_min_shares,regime_routed_no_route_price_disciplined_tiny_live_v1,Ankara,2026-06-30,29,81257899698862858180246908686964163366592238479557957902142321909745009689217,2716920,fresh_runway_current_no,current_bracket_no,route_price_disciplined_no_pullback_row_risk_soft_min5shares_v1,2026-06-30T09:19:27Z,0.99,0.986,0.0040000000000000036,381.5064,385.36,tight_le_3c,usable_ge_5,not_thin_or_wide,,1.8181818181818181,,Ankara|2026-06-30|29|81257899698862858180246908686964163366592238479557957902142321909745009689217|route_price_disciplined_no_pullback_row_risk_soft_min5shares_v1,,
runtime/weather_edge_v1/remote_pm_agent/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-06-30T10:57:18+00:00,blocked,ask_above_route_price_cap|soft_size_below_min_shares,regime_routed_no_route_price_disciplined_tiny_live_v1,Ankara,2026-06-30,32,93711567208127724706345464509219951622950474631527117154420781120211707179890,2716923,capped_d2_no,d2_no,route_price_disciplined_no_pullback_row_risk_soft_min5shares_v1,2026-06-30T10:39:09Z,0.84,0.82,0.020000000000000018,235.30079999999998,280.12,tight_le_3c,usable_ge_5,not_thin_or_wide,,1.2053571428571428,,Ankara|2026-06-30|32|93711567208127724706345464509219951622950474631527117154420781120211707179890|route_price_disciplined_no_pullback_row_risk_soft_min5shares_v1,,
runtime/weather_edge_v1/remote_pm_agent/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-07-01T09:58:44+00:00,blocked,ask_above_route_price_cap|soft_weight_to_ask_ratio_below_min|soft_size_below_min_shares,regime_routed_no_route_price_disciplined_tiny_live_v1,Ankara,2026-07-01,29,11600698086135210570122769236376487227629548635644008166694066455709575072282,2725816,fresh_runway_current_no,current_bracket_no,route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,2026-07-01T09:18:21Z,0.999,0.995,0.0040000000000000036,29.22075,29.25,tight_le_3c,usable_ge_5,not_thin_or_wide,0.36036036036036034,1.8018018018018016,unclassified,Ankara|2026-07-01|29|11600698086135210570122769236376487227629548635644008166694066455709575072282|route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,,
runtime/weather_edge_v1/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-07-02T08:35:10+00:00,blocked,ask_above_route_price_cap|soft_weight_to_ask_ratio_below_min|soft_size_below_min_shares,regime_routed_no_route_price_disciplined_tiny_live_v1,Ankara,2026-07-02,30,66660429955343035851433646419840713172417540918805822468278693147706563823657,2739340,fresh_runway_current_no,current_bracket_no,route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,2026-07-02T08:29:40Z,0.999,0.998,0.0010000000000000009,3488.63787,3492.13,tight_le_3c,usable_ge_5,not_thin_or_wide,0.36036036036036034,3.243243243243243,hot_underforecast_clean,Ankara|2026-07-02|30|66660429955343035851433646419840713172417540918805822468278693147706563823657|route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,,
runtime/weather_edge_v1/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-07-02T09:05:29+00:00,blocked,ask_above_route_price_cap|soft_weight_to_ask_ratio_below_min|soft_size_below_min_shares,regime_routed_no_route_price_disciplined_tiny_live_v1,Ankara,2026-07-02,31,79238466070023470467115005427386999309848060231102841858896072262317629244151,2739341,fresh_runway_current_no,current_bracket_no,route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,2026-07-02T08:59:45Z,0.957,0.942,0.015000000000000013,1048.05855,1095.15,tight_le_3c,usable_ge_5,not_thin_or_wide,0.3761755485893417,3.385579937304075,hot_underforecast_clean,Ankara|2026-07-02|31|79238466070023470467115005427386999309848060231102841858896072262317629244151|route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,,
runtime/weather_edge_v1/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-07-02T09:34:49+00:00,blocked,ask_above_route_price_cap|soft_weight_to_ask_ratio_below_min|soft_size_below_min_shares,regime_routed_no_route_price_disciplined_tiny_live_v1,Ankara,2026-07-02,34,22088537343970220703374747866616707757283100015442260965148444650954467042064,2739344,capped_d2_no,d2_no,route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,2026-07-02T09:29:28Z,0.66,0.53,0.13,4.158,6.3,wide_gt_8c,small_2_5_to_5,thin_or_wide,0.2384318181818182,2.1458863636363636,hot_underforecast_clean,Ankara|2026-07-02|34|22088537343970220703374747866616707757283100015442260965148444650954467042064|route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,,
runtime/weather_edge_v1/regime_routed_no_tiny_live_v1/blocked_candidates.jsonl,2026-07-03T09:14:40+00:00,blocked,ask_above_route_price_cap|soft_weight_to_ask_ratio_below_min|soft_size_below_min_shares,regime_routed_no_route_price_disciplined_tiny_live_v1,Ankara,2026-07-03,29,83018942134739164941362939727223577588649279455175698024079653995560312592962,2751101,fresh_runway_current_no,current_bracket_no,route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,2026-07-03T09:09:04Z,0.999,0.992,0.007000000000000006,1570.7277,1572.3,tight_le_3c,usable_ge_5,not_thin_or_wide,0.36036036036036034,3.243243243243243,hot_underforecast_clean,Ankara|2026-07-03|29|83018942134739164941362939727223577588649279455175698024079653995560312592962|route_price_disciplined_no_pullback_row_risk_soft_weight_price_v2,,
