scope,variant,rows,dates,cities,win_rate,avg_ask,cost_net,pnl_net,roi_net,roi_net_ci_low,roi_net_ci_high,expr_mix
dev_cv,icon_d2,33,19,2,0.6666666666666666,0.5425757575757575,18.292853150000003,3.70714685,0.20265547531605257,-0.11163251245097414,0.5237170718184526,"{""d1_no"": 12, ""d2_no"": 21}"
dev_cv,meteofrance_arome_france_hd,52,19,3,0.6153846153846154,0.5699038461538461,30.21375795,1.7862420500000011,0.0591201548961903,-0.1352588572556562,0.2662019923285526,"{""current_no"": 4, ""d1_no"": 18, ""d2_no"": 30}"
dev_cv,original_tmax_model,373,19,36,0.6729222520107239,0.6341689008042896,240.46616534999998,10.53383465,0.04380589108936776,-0.002331023203194877,0.08500024634234708,"{""current_no"": 42, ""d1_no"": 133, ""d1_yes"": 23, ""d2_no"": 117, ""d2_yes"": 58}"
dev_cv,ncep_hrrr_conus,152,18,10,0.6776315789473685,0.6477894736842105,99.9199012,3.080098800000001,0.030825678998970037,-0.07797065834332648,0.1395576171462223,"{""current_no"": 15, ""d1_no"": 35, ""d1_yes"": 5, ""d2_no"": 88, ""d2_yes"": 9}"
dev_cv,best_asof_forecast_f,257,9,36,0.6381322957198443,0.6157392996108949,160.96823145000002,3.0317685500000016,0.018834577001249655,-0.09810538815741755,0.1152529089539444,"{""current_no"": 29, ""d1_no"": 79, ""d2_no"": 144, ""d2_yes"": 5}"
dev_cv,best_full_forecast_f,576,19,36,0.6232638888888888,0.6216371527777778,364.11718535,-5.117185350000001,-0.014053677101456262,-0.06395855684054928,0.040865249562003325,"{""current_no"": 52, ""d1_no"": 173, ""d1_yes"": 2, ""d2_no"": 336, ""d2_yes"": 13}"
dev_cv,ncep_nam_conus,157,18,10,0.6687898089171974,0.6693184713375796,106.52800624999999,-1.528006249999999,-0.014343704569238561,-0.11984387796249911,0.07895499071879367,"{""current_no"": 12, ""d1_no"": 50, ""d1_yes"": 1, ""d2_no"": 81, ""d2_yes"": 13}"
dev_cv,ncep_aigfs025,597,19,36,0.6180904522613065,0.628356783919598,381.46240535000004,-12.462405350000001,-0.03267007488867867,-0.09467351786139588,0.027093297754150158,"{""current_no"": 31, ""d1_no"": 177, ""d1_yes"": 1, ""d2_no"": 377, ""d2_yes"": 11}"
dev_cv,gfs_global,587,19,36,0.637137989778535,0.6494633730834753,387.16940325,-13.169403249999998,-0.034014576408808714,-0.08161936288068235,0.013884362447941832,"{""current_no"": 43, ""d1_no"": 177, ""d2_no"": 360, ""d2_yes"": 7}"
dev_cv,gfs_seamless,584,19,36,0.6198630136986302,0.6322003424657535,375.25888275,-13.258882749999996,-0.035332628645150965,-0.08528185249539083,0.01214005982996251,"{""current_no"": 43, ""d1_no"": 165, ""d1_yes"": 5, ""d2_no"": 362, ""d2_yes"": 9}"
dev_cv,gem_regional,210,19,13,0.6142857142857143,0.629004761904762,134.20717115,-5.207171149999999,-0.03879950009660865,-0.13759147924741372,0.04698166182054132,"{""current_no"": 19, ""d1_no"": 69, ""d1_yes"": 3, ""d2_no"": 108, ""d2_yes"": 11}"
dev_cv,gem_global,594,19,36,0.601010101010101,0.6216026936026936,375.51782149999997,-18.5178215,-0.049312763442307096,-0.1189324107802712,0.010109950177824725,"{""current_no"": 44, ""d1_no"": 155, ""d1_yes"": 4, ""d2_no"": 383, ""d2_yes"": 8}"
