model_key,model_label,rows,dates,cities,mae_f,bias_f,rmse_f
icon_d2,ICON-D2,62,33,2,1.1161290322580646,0.4612903225806452,1.4099874170108868
meteofrance_arome_france_hd,AROME HD,92,33,3,1.1641304347826087,-0.3706521739130435,1.4780642452354629
icon_eu,ICON-EU,236,33,8,1.19364406779661,0.7614406779661016,1.4587404597163813
ncep_hrrr_conus,HRRR,259,32,10,1.5216216216216216,0.5687258687258687,2.0774111450642274
icon_seamless,ICON,1008,34,36,1.8208333333333335,0.9464285714285714,2.34798545870406
ncep_nam_conus,NAM,259,32,10,1.8227799227799228,-0.8436293436293436,2.4307791464234794
ncep_nbm_conus,NBM,259,32,10,1.932818532818533,0.938996138996139,2.4655933523496083
gem_regional,RDPS,349,33,13,2.0131805157593123,0.23954154727793694,2.5932135367129727
gem_seamless,GEM,1008,34,36,2.145238095238095,0.9174603174603174,2.754977457920626
gfs_seamless,GFS,1008,34,36,2.18343253968254,0.6250992063492063,2.902173173155614
gem_global,GDPS,1008,34,36,2.2026785714285717,1.247718253968254,2.8355086187462253
gfs_global,GFS Global,1008,34,36,2.433531746031746,0.13531746031746034,3.2397641007597184
ecmwf_ifs025,ECMWF,1008,34,36,2.4819444444444447,0.8132936507936509,3.2060427816016923
ncep_aigfs025,AI-GFS,1008,34,36,2.6013888888888888,1.2742063492063493,3.188916196443003
ecmwf_aifs025_single,ECMWF AIFS,1008,34,36,2.7301587301587302,2.0123015873015873,3.512155761813262
jma_seamless,JMA,1008,34,36,3.494642857142857,2.898214285714286,4.501701618312509
