split,variant,rows,dates,cities,logloss,brier,top1,winner_prob,gfs_seamless_logloss,gfs_seamless_brier,logloss_delta_vs_gfs_seamless,brier_delta_vs_gfs_seamless
dev_train_pre_2026_06_21,icon_d2,232,19,2,0.7905831972049796,0.4703211589027459,0.6939655172413793,0.4892770535232019,1.443797772025718,0.5881977516442664,-0.6532145748207384,-0.11787659274152046
dev_train_pre_2026_06_21,icon_eu,887,19,8,0.8021480883484012,0.4659107824599813,0.685456595264938,0.49773700229218065,1.443797772025718,0.5881977516442664,-0.6416496836773168,-0.12228696918428505
dev_train_pre_2026_06_21,meteofrance_arome_france_hd,317,19,3,0.9925817037688841,0.5387473458890611,0.583596214511041,0.43311308598273296,1.443797772025718,0.5881977516442664,-0.4512160682568339,-0.04945040575520521
dev_train_pre_2026_06_21,best_full_forecast_f,3743,19,36,1.0310462048616766,0.5153547763198548,0.6069997328346246,0.500516955507024,1.443797772025718,0.5881977516442664,-0.4127515671640414,-0.07284297532441153
dev_train_pre_2026_06_21,best_asof_forecast_f,1627,9,36,1.2250477401485869,0.5594585201878645,0.5586969883220652,0.47721049799818693,1.443797772025718,0.5881977516442664,-0.21875003187713116,-0.028739231456401892
dev_train_pre_2026_06_21,ncep_hrrr_conus,1035,18,10,1.2271825043629323,0.4911617874662306,0.6376811594202898,0.5666061072750425,1.443797772025718,0.5881977516442664,-0.21661526766278572,-0.09703596417803573
dev_train_pre_2026_06_21,icon_seamless,3743,19,36,1.2485670830738855,0.5469110332549535,0.5877638258081752,0.49609922514780197,1.443797772025718,0.5881977516442664,-0.1952306889518325,-0.04128671838931286
dev_train_pre_2026_06_21,gfs_seamless,3743,19,36,1.443797772025718,0.5881977516442664,0.5567726422655623,0.48668588224187675,1.443797772025718,0.5881977516442664,0.0,0.0
dev_train_pre_2026_06_21,gem_global,3743,19,36,1.5283873887048927,0.5962286564282724,0.5458188618755009,0.4865268025738218,1.443797772025718,0.5881977516442664,0.08458961667917464,0.008030904784006032
dev_train_pre_2026_06_21,gem_seamless,3743,19,36,1.5374433426847594,0.6059170618956499,0.542078546620358,0.4754646827831604,1.443797772025718,0.5881977516442664,0.09364557065904133,0.017719310251383513
dev_train_pre_2026_06_21,ncep_nbm_conus,1035,18,10,1.664408327562832,0.5854938011720495,0.5507246376811594,0.5305911760196822,1.443797772025718,0.5881977516442664,0.22061055553711406,-0.0027039504722168317
dev_train_pre_2026_06_21,ecmwf_aifs025_single,3743,19,36,1.8535434063018377,0.6192657146804343,0.5434143734971948,0.4999028666201093,1.443797772025718,0.5881977516442664,0.40974563427611965,0.03106796303616799
dev_train_pre_2026_06_21,ncep_aigfs025,3743,19,36,1.857815890335629,0.6541184807949874,0.5028052364413572,0.47209307815139445,1.443797772025718,0.5881977516442664,0.414018118309911,0.065920729150721
dev_train_pre_2026_06_21,gfs_global,3743,19,36,1.9026559975032589,0.6482195439466455,0.5126903553299492,0.45476371859995574,1.443797772025718,0.5881977516442664,0.45885822547754085,0.06002179230237914
dev_train_pre_2026_06_21,ecmwf_ifs025,3743,19,36,1.9479500880347222,0.64831195557239,0.5052097248196634,0.46959258421850597,1.443797772025718,0.5881977516442664,0.5041523160090042,0.06011420392812361
dev_train_pre_2026_06_21,gem_regional,1387,19,13,1.9959990710708688,0.6241888517227758,0.5349675558759913,0.48037453650487283,1.443797772025718,0.5881977516442664,0.5522012990451508,0.035991100078509475
dev_train_pre_2026_06_21,ncep_nam_conus,1035,18,10,2.0348160175559378,0.6482449141016402,0.4859903381642512,0.4634507704915459,1.443797772025718,0.5881977516442664,0.5910182455302198,0.06004716245737385
dev_train_pre_2026_06_21,jma_seamless,3743,19,36,2.134584264319043,0.6818604874537317,0.5311247662302966,0.48044094789218045,1.443797772025718,0.5881977516442664,0.6907864922933249,0.09366273580946538
verified_2026_06_21_plus,icon_eu,493,14,8,0.7752326904652024,0.4540592970351055,0.5598377281947262,0.49795958271126983,1.7634449468284923,0.628091437827152,-0.9882122563632899,-0.17403214079204654
verified_2026_06_21_plus,icon_d2,130,14,2,0.854648691112442,0.49140736759472076,0.5692307692307692,0.4747825749214759,1.7634449468284923,0.628091437827152,-0.9087962557160503,-0.1366840702324313
verified_2026_06_21_plus,meteofrance_arome_france_hd,169,14,3,1.0232260544562366,0.5637508617341016,0.5562130177514792,0.4155537472535363,1.7634449468284923,0.628091437827152,-0.7402188923722557,-0.06434057609305044
verified_2026_06_21_plus,best_full_forecast_f,2048,15,36,1.0405664585647514,0.5270863560658512,0.59326171875,0.4876785032363685,1.7634449468284923,0.628091437827152,-0.7228784882637409,-0.10100508176130085
verified_2026_06_21_plus,best_asof_forecast_f,2048,15,36,1.2057070393601321,0.554598529774786,0.5439453125,0.47749972361653004,1.7634449468284923,0.628091437827152,-0.5577379074683602,-0.07349290805236608
verified_2026_06_21_plus,icon_seamless,2048,15,36,1.2182417301476234,0.5652514397542072,0.5419921875,0.48542545186252806,1.7634449468284923,0.628091437827152,-0.5452032166808689,-0.06283999807294482
verified_2026_06_21_plus,gem_global,2048,15,36,1.5137465266605525,0.611217739884022,0.53271484375,0.46234484994909525,1.7634449468284923,0.628091437827152,-0.24969842016793975,-0.016873697943130095
verified_2026_06_21_plus,gem_seamless,2048,15,36,1.579114988009223,0.6236280542675616,0.54150390625,0.4532329095630835,1.7634449468284923,0.628091437827152,-0.18432995881926928,-0.004463383559590417
