label,wallet,target_date_min,target_date_max,events,target_dates,buy_cost,pnl,lifetime_turnover_roi,mean_target_date_roi,median_target_date_roi,ci95_low,ci95_high,late_half_roi,latest_30_target_dates_roi,without_top_five_pnl_dates_roi,max_drawdown_by_target_date,yes_buy_cost_share,target_day_buy_cost_share,sell_event_share,median_first_buy_to_first_sell_hours,median_buy_sessions_gap_gt_5m,median_buy_span_minutes,median_unique_buy_transactions,sell_proceeds_share_ge_95c,sell_proceeds_share_ge_99c
opopv.,0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-03-16,2026-07-30,3658,130,804772.874664,35772.978365999996,0.044451023999703694,0.10033866502363856,0.038432404536706,0.019531743716060264,0.0733418288000258,0.033213966884643835,0.0586594568288873,0.02348286294509754,-7540.983512000001,0.518545036496441,0.3507520139178156,0.9534883720930233,7.622222222222222,23.0,1999.4,39.0,0.28926899504335735,0.260394787302116
balthazar,0x5a218c7ad04135830a45c41aaed7294df7809318,2026-05-28,2026-07-30,3013,64,806674.735935,30557.60531,0.03788094996502067,0.03949825171511513,0.03575661136462863,0.03385836542516927,0.041972826337876336,0.035311085051312474,0.036590725044235495,0.03541213999013462,0.0,0.1484907136426442,0.5233711111492821,0.884329563812601,8.899722222222222,6.0,1064.0,17.0,0.054861495736615695,0.030924107951728567
LMVM,0xc9ded4d5f6eec0a75907ebb924c164a4aea381d9,2026-05-11,2026-07-29,292,64,104038.407872,3522.8583409999987,0.033861132759107807,0.10831549439940852,0.07217564410916044,0.008030445701646167,0.057617259157396856,0.03131511502916848,0.03141119481344389,0.016207004250773375,-887.506744,0.9596143897738585,0.00892277654485509,0.9869706840390879,0.3686111111111111,2.0,13.058333333333334,4.0,0.0,0.0
neo7777,0xd25156e222c9b907b128e27c36821fdb41db4d37,2026-02-12,2026-07-30,1320,162,724700.607924,25129.733451,0.034676020933647925,0.09803993095979172,0.03756997922397282,0.017266012244685564,0.051658128829444996,0.037284704493376154,0.02838872944810224,0.023442226033502624,-3667.7492390000007,0.41929125234393744,0.22489006371097234,0.6277860326894502,6.02,4.0,402.14166666666665,6.0,0.1407651147539325,0.06507725370223919
macau.weather,0x4989bfed5900ba096b08ba1f9b718464527c983e,2026-06-10,2026-07-29,82,50,26078.60631,3613.578351,0.13856485688095807,0.14829452144936728,0.08274463683939161,-0.061743642302919205,0.36712061715798133,0.19965528336338254,0.18573389963906606,-0.06583909535979013,-1038.823005,0.8928971557056817,0.689946370056711,0.6470588235294118,29.44972222222222,14.0,1801.95,33.0,0.5648010387226854,0.43496200179941524
