evidence_layer,target_date,city,router_route,router_ask,router_payoff,base_weight,city_bias_soft_weight,city_bias_soft_shares,city_bias_effect,forecast_source,row_forecast_model,city_source_bias_regime,city_source_bias,city_source_hot_underforecast_rate
historical_best_ask_diagnostic,2026-05-20,Chengdu,capped_d2_no,0.69,1.0,0.19116000000000002,0.12425400000000002,0.9003913043478263,downweight,gfs_seamless,gfs,hot_underforecast_clean,1.0728,0.5084
historical_best_ask_diagnostic,2026-05-20,Istanbul,capped_d2_no,0.65,1.0,0.2016,0.21168,1.6283076923076922,upweight,gfs_seamless,gfs,cold_overforecast_noisy,-0.2309,0.236
historical_best_ask_diagnostic,2026-05-20,Munich,capped_d2_no,0.64,0.0,0.26189999999999997,0.19642499999999996,1.5345703124999996,downweight,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197
historical_best_ask_diagnostic,2026-05-20,Singapore,capped_d2_no,0.62,0.0,0.23662800000000003,0.15380820000000003,1.2403887096774198,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.8289,0.4073
historical_best_ask_diagnostic,2026-05-20,Wellington,capped_d2_no,0.68,1.0,0.17783999999999997,0.11559599999999999,0.8499705882352939,downweight,gfs_seamless,gfs,hot_underforecast_clean,1.181,0.6096
historical_best_ask_diagnostic,2026-05-21,Jeddah,capped_d2_no,0.6,1.0,0.30150000000000005,0.19597500000000004,1.6331250000000004,downweight,gfs_seamless,gfs,hot_underforecast_clean,1.4971,0.6966
historical_best_ask_diagnostic,2026-05-21,Manila,capped_d2_no,0.6,0.0,0.27135000000000004,0.17637750000000002,1.4698125000000004,downweight,gfs_seamless,gfs,hot_underforecast_clean,1.2891,0.6404
historical_best_ask_diagnostic,2026-05-21,Munich,capped_d2_no,0.56,0.0,0.34109999999999996,0.25582499999999997,2.2841517857142852,downweight,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197
historical_best_ask_diagnostic,2026-05-22,Chongqing,capped_d2_no,0.664,0.0,0.21432599999999996,0.1393119,1.049035391566265,downweight,gfs_seamless,gfs,hot_underforecast_clean,1.2798,0.5787
historical_best_ask_diagnostic,2026-05-22,Jeddah,capped_d2_no,0.68,1.0,0.22229999999999994,0.14449499999999996,1.0624632352941172,downweight,gfs_seamless,gfs,hot_underforecast_clean,1.4971,0.6966
historical_best_ask_diagnostic,2026-05-22,Manila,capped_d2_no,0.58,0.0,0.28917000000000004,0.18796050000000003,1.6203491379310349,downweight,gfs_seamless,gfs,hot_underforecast_clean,1.2891,0.6404
historical_best_ask_diagnostic,2026-05-22,Munich,capped_d2_no,0.55,0.0,0.351,0.26325,2.3931818181818176,downweight,gfs_seamless,gfs,hot_underforecast_noisy,0.6598,0.5197
historical_best_ask_diagnostic,2026-05-24,Chengdu,capped_d2_no,0.66,1.0,0.20336400000000002,0.13218660000000002,1.0014136363636366,downweight,gfs_seamless,gfs,hot_underforecast_clean,1.0728,0.5084
historical_best_ask_diagnostic,2026-05-25,Jeddah,capped_d2_no,0.65,0.0,0.252,0.1638,1.2599999999999998,downweight,gfs_seamless,gfs,hot_underforecast_clean,1.4971,0.6966
historical_best_ask_diagnostic,2026-05-28,Karachi,capped_d2_no,0.64,1.0,0.24094799999999997,0.15661619999999998,1.2235640625,downweight,gfs_seamless,gfs,hot_underforecast_clean,0.9132,0.5056
