policy,rows_seen,traded_rows,dates,cities,wins,win_rate,avg_ask,avg_weight,cost_usd,pnl_usd,roi,roi_ci_low,roi_ci_high,daily_negative_100pct,evidence_layer,window
original_weighted_no_min5,163,163,37,34,76,0.4662576687116564,0.42979141104294477,0.40693364809815963,331.6509232000001,102.76811861049158,0.3098683327002768,0.034096134751077346,0.5942618933636128,5,frozen_live_like_route_price,all
original_executable_min5,163,77,31,27,36,0.4675324675324675,0.34458441558441555,0.5390222285714286,207.523558,106.61281966931277,0.5137383952780569,0.09503775600747566,0.9088004601633566,11,frozen_live_like_route_price,all
original_plus_city_bias_soft_no_min5,163,163,37,34,76,0.4662576687116564,0.42979141104294477,0.38379886650306755,312.7960762000001,102.66065654984618,0.3282031469096995,0.03743617161795992,0.6231453339305713,5,frozen_live_like_route_price,all
original_plus_city_bias_soft_executable_min5,163,75,31,26,35,0.4666666666666667,0.3441733333333334,0.5392961546666667,202.236058,104.64225515318375,0.5174262996818487,0.08932962737002069,0.9250612093728073,11,frozen_live_like_route_price,all
v4_tail_shadow_city_bias_no_min5,163,127,34,31,56,0.4409448818897638,0.42899212598425185,0.4210143329133858,267.3441014,68.06274788676387,0.25458855284384396,-0.07489705057715769,0.5697842646784546,5,frozen_live_like_route_price,all
v4_tail_shadow_city_bias_executable_min5,163,65,29,24,27,0.4153846153846154,0.35158461538461533,0.5639332553846155,183.27830800000004,71.53731314691414,0.39032067639403417,-0.042798184416138176,0.8274123631357886,11,frozen_live_like_route_price,all
original_weighted_no_min5,14,14,6,10,6,0.42857142857142855,0.4599285714285714,0.3429057142857144,24.00340000000001,1.4608481695076054,0.06086005188879929,-0.35449745500873947,0.4717465008926959,1,frozen_live_like_route_price,forward_2026-06-21_plus
original_executable_min5,14,5,4,5,3,0.6,0.34199999999999997,0.4631891200000001,11.579728000000003,6.7157148909152315,0.5799544592856783,-0.456387527781749,2.0216047674009614,1,frozen_live_like_route_price,forward_2026-06-21_plus
original_plus_city_bias_soft_no_min5,14,14,6,10,6,0.42857142857142855,0.4599285714285714,0.3164106142857144,22.148743000000007,2.520384201765671,0.11379355486519799,-0.3370280130903286,0.4788129771721548,1,frozen_live_like_route_price,forward_2026-06-21_plus
original_plus_city_bias_soft_executable_min5,14,5,4,5,3,0.6,0.34199999999999997,0.43168912000000004,10.792228000000001,7.503214890915231,0.6952424365863314,-0.4499792154170228,2.035841161700242,1,frozen_live_like_route_price,forward_2026-06-21_plus
v4_tail_shadow_city_bias_no_min5,14,9,4,7,3,0.3333333333333333,0.4643333333333334,0.3853670000000001,17.341515000000005,-3.8551331689926034,-0.2223065959919074,-0.7988080664884375,0.2007339144711148,1,frozen_live_like_route_price,forward_2026-06-21_plus
v4_tail_shadow_city_bias_executable_min5,14,4,3,4,2,0.5,0.375,0.47361140000000007,9.472228000000001,2.537500605200947,0.2678884635379286,-1.0,1.1276595744680848,1,frozen_live_like_route_price,forward_2026-06-21_plus
original_weighted_no_min5,149,149,31,34,70,0.4697986577181208,0.4269597315436242,0.41294969557046984,307.6475232,101.30727044098396,0.3292965579154838,0.03487082153523924,0.6337290003016502,4,frozen_live_like_route_price,train_to_2026_06_20
original_executable_min5,149,72,27,25,33,0.4583333333333333,0.34476388888888887,0.5442884166666667,195.94383000000002,99.89710477839753,0.5098252125540137,0.08614698831543095,0.9474791648234457,10,frozen_live_like_route_price,train_to_2026_06_20
original_plus_city_bias_soft_no_min5,149,149,31,34,70,0.4697986577181208,0.4269597315436242,0.3901306485906041,290.64733320000005,100.14027234808052,0.34454220255711776,0.02970871242266646,0.6614471062556584,4,frozen_live_like_route_price,train_to_2026_06_20
original_plus_city_bias_soft_executable_min5,149,70,27,24,32,0.45714285714285713,0.3443285714285715,0.5469823714285716,191.44383000000008,97.13904026226851,0.5074023031312551,0.07318529902239918,0.9497893267658062,10,frozen_live_like_route_price,train_to_2026_06_20
v4_tail_shadow_city_bias_no_min5,149,118,30,30,53,0.4491525423728814,0.42629661016949144,0.4237331972881357,250.00258640000004,71.91788105575645,0.2876685481192943,-0.05153786472164297,0.6227402838020218,4,frozen_live_like_route_price,train_to_2026_06_20
v4_tail_shadow_city_bias_executable_min5,149,61,26,22,25,0.4098360655737705,0.35004918032786886,0.5698560000000003,173.80608000000007,68.9998125417132,0.39699308874415196,-0.06368102890397549,0.8450410112191473,10,frozen_live_like_route_price,train_to_2026_06_20
