target_date,rows,cost,pnl,expression
2026-06-19,13,8.32806,-0.32805999999999996,current_yes
2026-06-20,31,11.20045,-0.20045000000000002,current_yes
2026-06-21,37,15.15377,-3.1537699999999997,current_yes
2026-06-22,27,10.521560000000001,-0.52156,current_yes
2026-06-23,26,9.71213,1.2878699999999998,current_yes
2026-06-24,33,13.6691,-1.6690999999999998,current_yes
2026-06-25,43,14.941189999999999,-2.9411899999999997,current_yes
2026-06-26,33,8.70552,-1.70552,current_yes
2026-06-27,36,16.88413,-4.88413,current_yes
2026-06-28,1,0.04192,-0.04192,current_yes
2026-06-29,22,10.16199,-0.16198999999999986,current_yes
2026-06-30,51,17.88349,-3.8834899999999997,current_yes
2026-07-01,29,6.6044,0.39559999999999995,current_yes
2026-07-02,8,3.46436,-0.4643599999999999,current_yes
2026-07-03,21,7.64947,2.35053,current_yes
2026-07-04,5,2.03871,-0.03871000000000002,current_yes
2026-07-05,35,9.59733,-2.59733,current_yes
2026-07-06,22,6.1782699999999995,-3.17827,current_yes
2026-07-07,11,2.61787,-0.61787,current_yes
2026-07-08,5,0.7352399999999999,-0.7352399999999999,current_yes
2026-07-09,9,4.13322,-0.13322,current_yes
2026-07-10,4,1.96196,0.03804000000000003,current_yes
2026-06-19,14,6.74998,-1.7499799999999999,current_no
2026-06-20,33,22.49599,-2.49599,current_no
2026-06-21,37,25.111250000000002,0.8887499999999999,current_no
2026-06-22,27,18.7404,-0.7403999999999997,current_no
2026-06-23,26,17.70625,-2.70625,current_no
2026-06-24,34,21.6239,-0.6238999999999993,current_no
2026-06-25,40,28.69124,0.3087599999999999,current_no
2026-06-26,36,28.089579999999998,-1.08958,current_no
2026-06-27,33,19.60532,2.39468,current_no
2026-06-28,1,0.99335,0.006650000000000045,current_no
2026-06-29,22,13.74946,-1.74946,current_no
2026-06-30,50,35.88662,1.1133800000000007,current_no
2026-07-01,29,23.42451,-1.42451,current_no
2026-07-02,8,5.37758,-0.3775799999999998,current_no
2026-07-03,19,13.3638,-3.3638,current_no
2026-07-04,5,3.2027099999999997,-0.20270999999999992,current_no
2026-07-05,34,27.67615,0.3238500000000004,current_no
2026-07-06,21,16.03722,1.9627800000000002,current_no
2026-07-07,11,8.59075,0.40925000000000034,current_no
2026-07-08,6,4.74432,0.2556800000000001,current_no
2026-07-09,9,5.52921,-0.5292099999999998,current_no
2026-07-10,4,2.09038,-0.09037999999999999,current_no
2026-06-19,13,4.25786,-1.25786,d1_yes
2026-06-20,34,12.15557,-4.15557,d1_yes
2026-06-21,36,12.56426,-3.56426,d1_yes
2026-06-22,26,8.72486,-2.7248599999999996,d1_yes
2026-06-23,25,8.55485,-1.55485,d1_yes
2026-06-24,32,9.430489999999999,-0.4304899999999997,d1_yes
2026-06-25,39,10.69555,0.30444999999999967,d1_yes
2026-06-26,34,11.11463,-1.11463,d1_yes
2026-06-27,34,9.59008,0.40991999999999984,d1_yes
2026-06-28,1,0.08368,-0.08368,d1_yes
2026-06-29,21,6.9156200000000005,-0.91562,d1_yes
2026-06-30,50,14.72313,-3.72313,d1_yes
2026-07-01,22,4.2708,-0.2708000000000001,d1_yes
2026-07-03,19,8.07577,-3.07577,d1_yes
2026-07-04,5,1.57473,-1.57473,d1_yes
2026-07-05,32,8.85895,-2.85895,d1_yes
2026-07-06,11,2.87321,-0.87321,d1_yes
2026-06-19,14,10.84053,0.15947000000000022,d1_no
2026-06-20,31,22.30435,0.6956499999999999,d1_no
2026-06-21,36,27.72784,-1.7278399999999996,d1_no
2026-06-22,28,21.20007,-0.20006999999999964,d1_no
2026-06-23,27,20.11524,-1.1152400000000002,d1_no
2026-06-24,33,26.21997,-2.2199699999999996,d1_no
2026-06-25,42,33.61522,-4.61522,d1_no
2026-06-26,36,27.22467,-1.2246700000000004,d1_no
2026-06-27,36,28.50356,-3.5035599999999993,d1_no
2026-06-28,1,0.93325,0.06674999999999998,d1_no
2026-06-29,22,16.77178,-1.77178,d1_no
2026-06-30,50,38.34875,-0.3487499999999992,d1_no
2026-07-01,28,22.36183,-1.3618299999999999,d1_no
2026-07-02,8,6.02391,0.9760899999999999,d1_no
2026-07-03,20,14.07284,0.9271599999999998,d1_no
2026-07-04,5,3.89504,1.1049600000000002,d1_no
2026-07-05,34,27.31497,-1.3149699999999998,d1_no
2026-07-06,21,17.58528,0.4147200000000003,d1_no
2026-07-07,11,9.44961,-0.44960999999999973,d1_no
2026-07-08,6,4.14805,-0.1480499999999998,d1_no
2026-07-09,9,6.49531,0.5046900000000002,d1_no
2026-07-10,4,3.94007,0.05993000000000004,d1_no
2026-06-19,3,2.99715,0.002850000000000019,previous_no
2026-06-20,3,2.99715,0.002850000000000019,previous_no
2026-06-21,4,3.9962,0.0038000000000000256,previous_no
2026-06-22,2,1.9981,0.0019000000000000128,previous_no
2026-06-24,2,1.9981,0.0019000000000000128,previous_no
2026-06-25,17,16.98385,0.01615000000000011,previous_no
2026-06-26,1,0.99905,0.0009500000000000064,previous_no
2026-06-27,4,3.9962,0.0038000000000000256,previous_no
2026-06-29,17,16.9829,0.017100000000000115,previous_no
2026-06-30,29,28.9696,0.030400000000000205,previous_no
2026-07-01,8,7.9867,0.01330000000000009,previous_no
