expression,rows,dates,cities,avg_ask,win_rate,roi,roi_ci_low,roi_ci_high,same_band_initial_rows,same_band_initial_roi,date_equal_excess_roi,excess_ci_low,excess_ci_high,recent_4_dates,recent_roi
current_yes,502,22,40,0.35818725099601595,0.31673306772908366,-0.12725663166947462,-0.19310014761447342,-0.045637540408277444,945,-0.05528798651464872,-0.12523464913797386,-0.2540597680565032,-0.031087000026496746,"2026-07-07,2026-07-08,2026-07-09,2026-07-10",-0.1532859385137416
current_no,499,22,40,0.695879759519038,0.6813627254509018,-0.027125932281612586,-0.07083196197526954,0.008555246196231726,934,-0.03557422255227014,-0.005504234297296445,-0.036866534571869364,0.02123217213855113,"2026-07-07,2026-07-08,2026-07-09,2026-07-10",0.002163719191817027
d1_yes,434,17,40,0.30205990783410136,0.2465437788018433,-0.2042482138719021,-0.2775935502113287,-0.1305605911295868,855,-0.22337498901803698,-0.024897144767599865,-0.1438304319050625,0.08698353686941875,"2026-07-03,2026-07-04,2026-07-05,2026-07-06",-0.39203073892583995
d1_no,502,22,39,0.7684362549800797,0.7450199203187251,-0.038788087572265005,-0.06663069518925671,-0.006894207711275912,939,-0.013694323234220726,0.008655655659319172,-0.02285404522398552,0.046576811619528966,"2026-07-07,2026-07-08,2026-07-09,2026-07-10",-0.0013747740610426018
previous_no,105,15,26,0.9988761904761905,1.0,0.0010687600762337766,0.0009741094291756199,0.0012145502659765043,114,0.0012432103194800293,-0.0002788672612358438,-0.0005016940770425308,-7.474356755123748e-05,"2026-07-03,2026-07-04,2026-07-05,2026-07-06",0.0011413010832348955
previous_yes,131,15,29,0.002587786259541985,0.0,-1.0,-1.0,-1.0,140,-1.0,0.0,0.0,0.0,"2026-07-03,2026-07-04,2026-07-05,2026-07-06",-1.0
