policy,scope,rows,dates,cities,closes,reopens,cost_net,pnl_net,roi_net,roi_net_ci_low,roi_net_ci_high,daily_positive,daily_negative,worst_day_roi_net,best_day_roi_net
first_lock_no_current_yes,dev_cv,373,19,36,0,0,240.46616534999998,10.53383465,0.04380589108936776,0.0018631502703419958,0.08828486270339685,13,6,-0.17806628792646156,0.20831676778594208
target_book_close_only_ev0,dev_cv,373,19,36,33,0,263.0455232,-0.04552320000000165,-0.00017306205954848827,-0.04266500958493979,0.046233936488489516,10,9,-0.1400102416962125,0.19741271442555933
target_book_rebalance_ev0,dev_cv,373,19,36,66,66,310.5478409,5.452159099999996,0.017556583501592126,-0.021355909288317466,0.05903209155908505,11,8,-0.15918580009196165,0.1943159721833744
target_book_rebalance_ev02,dev_cv,373,19,36,57,57,300.93796535,6.062034649999999,0.02014380154045924,-0.022588209886833452,0.06530833118090282,11,8,-0.1764293444876476,0.1751984279605669
first_lock_no_current_yes,verified_forward,126,12,35,0,0,81.1013944,7.898605600000002,0.09739173609079158,-0.01475565514345629,0.2142891987104285,9,3,-0.43906256135253235,0.44952137990007734
target_book_close_only_ev0,verified_forward,126,12,35,11,0,88.09533939999999,6.9046606000000015,0.07837713830296002,-0.026185758525109404,0.19757390275159453,8,4,-0.43906256135253235,0.44952137990007734
target_book_rebalance_ev0,verified_forward,126,12,35,22,22,105.98464990000001,5.015350100000001,0.04732147631503381,-0.03960855435902957,0.14881030973555678,8,4,-0.31394935345443653,0.44952137990007734
target_book_rebalance_ev02,verified_forward,126,12,35,17,17,100.39241595000001,5.607584050000002,0.055856650095888055,-0.03407194645388079,0.164364013697609,8,4,-0.31394935345443653,0.44952137990007734
