target_date,current_x,probability,scenario,decision_ts_utc,p_win,midpoint,entry_price_proxy,effective_cost_per_share,won,cash_cost,pnl
2026-07-15,21,p_break_v7,midpoint,2026-07-15T06:33:27.771861+00:00,0.9998614463374856,0.9995,0.9995,0.9995249875000001,True,4.9976249375,0.002375062499999636
2026-07-15,22,p_break_v7,midpoint,2026-07-15T08:02:53.626287+00:00,0.9993704997883236,0.9975,0.9975,0.9976246875,True,4.9881234375,0.011876562500000354
2026-07-15,24,p_break_v7,midpoint,2026-07-15T10:31:50.143275+00:00,0.9923008738472384,0.9885,0.9885,0.9890683875,True,4.9453419375,0.054658062499999716
2026-07-15,26,p_break_v7,midpoint,2026-07-15T13:02:25.188618+00:00,0.2044024279222659,0.165,0.165,0.17188875,False,0.8594437500000001,-0.8594437500000001
2026-07-16,19,p_break_v7,midpoint,2026-07-16T05:03:34.531189+00:00,0.9999882202445166,0.997,0.997,0.99714955,True,4.98574775,0.014252250000000188
2026-07-16,20,p_break_v7,midpoint,2026-07-16T06:03:21.476849+00:00,0.999933920161146,0.9815,0.9815,0.9824078875000001,True,4.912039437500001,0.08796056249999928
2026-07-16,21,p_break_v7,midpoint,2026-07-16T06:32:19.191202+00:00,0.9958253353508036,0.925,0.925,0.9284687500000001,True,4.64234375,0.3576562499999998
2026-07-16,22,p_break_v7,midpoint,2026-07-16T08:02:35.167394+00:00,0.9290914983725004,0.51,0.51,0.522495,False,2.6124750000000003,-2.6124750000000003
2026-07-17,19,p_break_v7,midpoint,2026-07-17T05:31:54.667004+00:00,0.9999923123230215,0.999,0.999,0.99904995,True,4.99524975,0.004750249999999845
2026-07-17,20,p_break_v7,midpoint,2026-07-17T06:02:08.900886+00:00,0.999824718734728,0.997,0.997,0.99714955,True,4.98574775,0.014252250000000188
2026-07-17,21,p_break_v7,midpoint,2026-07-17T07:31:52.210210+00:00,0.999894071823864,0.9925,0.9925,0.9928721875000001,True,4.9643609375,0.035639062499999596
2026-07-17,22,p_break_v7,midpoint,2026-07-17T08:33:28.624714+00:00,0.994684337041404,0.988,0.988,0.9885927999999999,True,4.942964,0.05703600000000009
