any_fill,bracket,city,cost_usd,fill_fraction,filled_shares,final_yes,first_fill_wait_min,full_fill,intended_shares,last_fill_wait_min,missed_winner_cost_usd,order_id,pnl_usd,posted_price,scenario_model,scenario_notional_usd,settled,sizing_mode,target_date,unfilled_shares
True,104-105,NYC,1.0,1.0,20.0,0.0,0.0,True,20.0,0.0,0.0,0x5eb9b1af61548c8426b00d1b285e7f86fb04776fe3aa9fb78bdee7c1bd3b9bc0,-1.0,0.05,absolute_fill_cap,1.0,True,notional,2026-07-02,0.0
True,104-105,NYC,1.0,1.0,20.0,0.0,0.0,True,20.0,0.0,0.0,0x5eb9b1af61548c8426b00d1b285e7f86fb04776fe3aa9fb78bdee7c1bd3b9bc0,-1.0,0.05,proportional_fill_fraction,1.0,True,notional,2026-07-02,0.0
True,104-105,NYC,1.5,0.5,30.0,0.0,0.0,False,60.0,0.0,0.0,0x5eb9b1af61548c8426b00d1b285e7f86fb04776fe3aa9fb78bdee7c1bd3b9bc0,-1.5,0.05,absolute_fill_cap,3.0,True,notional,2026-07-02,30.0
True,104-105,NYC,3.0,1.0,60.0,0.0,0.0,True,60.0,0.0,0.0,0x5eb9b1af61548c8426b00d1b285e7f86fb04776fe3aa9fb78bdee7c1bd3b9bc0,-3.0,0.05,proportional_fill_fraction,3.0,True,notional,2026-07-02,0.0
True,104-105,NYC,1.5,0.3,30.0,0.0,0.0,False,100.0,0.0,0.0,0x5eb9b1af61548c8426b00d1b285e7f86fb04776fe3aa9fb78bdee7c1bd3b9bc0,-1.5,0.05,absolute_fill_cap,5.0,True,notional,2026-07-02,70.0
True,104-105,NYC,5.0,1.0,100.0,0.0,0.0,True,100.0,0.0,0.0,0x5eb9b1af61548c8426b00d1b285e7f86fb04776fe3aa9fb78bdee7c1bd3b9bc0,-5.0,0.05,proportional_fill_fraction,5.0,True,notional,2026-07-02,0.0
True,98-99,Chicago,1.0,1.0,16.666666666666668,0.0,0.0,True,16.666666666666668,0.0,0.0,0x53a7d1955505ec4e41327d941a390d0425f23be6cc11b52aa7be2c983f57a52d,-1.0,0.06,absolute_fill_cap,1.0,True,notional,2026-07-02,0.0
True,98-99,Chicago,1.0,1.0,16.666666666666668,0.0,0.0,True,16.666666666666668,0.0,0.0,0x53a7d1955505ec4e41327d941a390d0425f23be6cc11b52aa7be2c983f57a52d,-1.0,0.06,proportional_fill_fraction,1.0,True,notional,2026-07-02,0.0
True,98-99,Chicago,1.5,0.5,25.0,0.0,0.0,False,50.0,0.0,0.0,0x53a7d1955505ec4e41327d941a390d0425f23be6cc11b52aa7be2c983f57a52d,-1.5,0.06,absolute_fill_cap,3.0,True,notional,2026-07-02,25.0
True,98-99,Chicago,3.0,1.0,50.0,0.0,0.0,True,50.0,0.0,0.0,0x53a7d1955505ec4e41327d941a390d0425f23be6cc11b52aa7be2c983f57a52d,-3.0,0.06,proportional_fill_fraction,3.0,True,notional,2026-07-02,0.0
True,98-99,Chicago,1.5,0.3,25.0,0.0,0.0,False,83.33333333333334,0.0,0.0,0x53a7d1955505ec4e41327d941a390d0425f23be6cc11b52aa7be2c983f57a52d,-1.5,0.06,absolute_fill_cap,5.0,True,notional,2026-07-02,58.33333333333334
True,98-99,Chicago,5.0,1.0,83.33333333333334,0.0,0.0,True,83.33333333333334,0.0,0.0,0x53a7d1955505ec4e41327d941a390d0425f23be6cc11b52aa7be2c983f57a52d,-5.0,0.06,proportional_fill_fraction,5.0,True,notional,2026-07-02,0.0
False,32,TelAviv,0.0,0.0,0.0,0.0,,False,7.142857142857142,,0.0,,-0.0,0.14,absolute_fill_cap,1.0,True,notional,2026-07-03,7.142857142857142
False,32,TelAviv,0.0,0.0,0.0,0.0,,False,7.142857142857142,,0.0,,-0.0,0.14,proportional_fill_fraction,1.0,True,notional,2026-07-03,7.142857142857142
False,32,TelAviv,0.0,0.0,0.0,0.0,,False,21.428571428571427,,0.0,,-0.0,0.14,absolute_fill_cap,3.0,True,notional,2026-07-03,21.428571428571427
False,32,TelAviv,0.0,0.0,0.0,0.0,,False,21.428571428571427,,0.0,,-0.0,0.14,proportional_fill_fraction,3.0,True,notional,2026-07-03,21.428571428571427
False,32,TelAviv,0.0,0.0,0.0,0.0,,False,35.71428571428571,,0.0,,-0.0,0.14,absolute_fill_cap,5.0,True,notional,2026-07-03,35.71428571428571
False,32,TelAviv,0.0,0.0,0.0,0.0,,False,35.71428571428571,,0.0,,-0.0,0.14,proportional_fill_fraction,5.0,True,notional,2026-07-03,35.71428571428571
True,28,London,1.0,1.0,12.5,0.0,0.0,True,12.5,0.0,0.0,0x3728c81e39a5fff89d3f27aaab9be9e81d61d2eaadb3cc102e90924d103521da,-1.0,0.08,absolute_fill_cap,1.0,True,notional,2026-07-03,0.0
True,28,London,1.0,1.0,12.5,0.0,0.0,True,12.5,0.0,0.0,0x3728c81e39a5fff89d3f27aaab9be9e81d61d2eaadb3cc102e90924d103521da,-1.0,0.08,proportional_fill_fraction,1.0,True,notional,2026-07-03,0.0
True,28,London,1.0,0.3333333333333333,12.5,0.0,0.0,False,37.5,0.0,0.0,0x3728c81e39a5fff89d3f27aaab9be9e81d61d2eaadb3cc102e90924d103521da,-1.0,0.08,absolute_fill_cap,3.0,True,notional,2026-07-03,25.0
True,28,London,3.0,1.0,37.5,0.0,0.0,True,37.5,0.0,0.0,0x3728c81e39a5fff89d3f27aaab9be9e81d61d2eaadb3cc102e90924d103521da,-3.0,0.08,proportional_fill_fraction,3.0,True,notional,2026-07-03,0.0
True,28,London,1.0,0.2,12.5,0.0,0.0,False,62.5,0.0,0.0,0x3728c81e39a5fff89d3f27aaab9be9e81d61d2eaadb3cc102e90924d103521da,-1.0,0.08,absolute_fill_cap,5.0,True,notional,2026-07-03,50.0
True,28,London,5.0,1.0,62.5,0.0,0.0,True,62.5,0.0,0.0,0x3728c81e39a5fff89d3f27aaab9be9e81d61d2eaadb3cc102e90924d103521da,-5.0,0.08,proportional_fill_fraction,5.0,True,notional,2026-07-03,0.0
True,32,TelAviv,1.0,1.0,7.142857142857142,0.0,0.0,True,7.142857142857142,0.0,0.0,0x8ebd9afd9a4ac735052c027432b19518d25519552e350557d01c67642630f633,-1.0,0.14,absolute_fill_cap,1.0,True,notional,2026-07-03,0.0
True,32,TelAviv,1.0,1.0,7.142857142857142,0.0,0.0,True,7.142857142857142,0.0,0.0,0x8ebd9afd9a4ac735052c027432b19518d25519552e350557d01c67642630f633,-1.0,0.14,proportional_fill_fraction,1.0,True,notional,2026-07-03,0.0
True,32,TelAviv,1.0010000000000001,0.3336666666666667,7.15,0.0,0.0,False,21.428571428571427,0.0,0.0,0x8ebd9afd9a4ac735052c027432b19518d25519552e350557d01c67642630f633,-1.0010000000000001,0.14,absolute_fill_cap,3.0,True,notional,2026-07-03,14.278571428571427
True,32,TelAviv,3.0,1.0,21.428571428571427,0.0,0.0,True,21.428571428571427,0.0,0.0,0x8ebd9afd9a4ac735052c027432b19518d25519552e350557d01c67642630f633,-3.0,0.14,proportional_fill_fraction,3.0,True,notional,2026-07-03,0.0
